"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Pangasinan","0 - ALL ITEMS",3.6,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",4.9,5.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1 - FOOD",5.0,5.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1 - Cereals and cereal products (ND)",8.4,7.5,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",8.3,7.5,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.2 - Flour of cereals (ND)",6.4,6.1,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.3 - Bread and bakery products (ND)",8.0,7.4,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.4 - Breakfast cereals (ND)",7.6,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",8.4,6.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.1.9 - Other cereal and grain mill products (ND)",9.9,9.5,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",6.0,6.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-0.9,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",7.2,7.7,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.3 - Fish and other seafood (ND)",7.9,9.2,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",6.1,6.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.3.3 - Fish preparations (ND)",8.9,9.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",9.3,11.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.3.6 - Other seafood preparations (ND)",1.0,1.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4 - Milk, other dairy products and eggs (ND)",4.9,5.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.3 - Other milk and cream (ND)",2.7,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.5 - Cheese (ND)",8.1,6.7,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.4.8 - Eggs (ND)",7.5,7.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.5 - Oils and fats (ND)",-0.2,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.5.1 - Vegetable oils (ND)",-0.9,2.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",14.1,16.6,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.5.3 - Margarine and similar preparations (ND)",1.4,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6 - Fruits and nuts (ND)",7.3,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.2 - Citrus fruits, fresh (ND)",-14.0,-11.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",3.4,-4.2,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.7 - Fruit, dried and dehydrated (ND)",9.2,6.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.8 - Nuts, in shell or shelled (ND)",19.6,7.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",5.5,5.1,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",7.5,0.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-5.8,-12.7,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",3.9,-0.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",39.9,31.2,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",2.3,0.4,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8 - Sugar, confectionery and desserts (ND)",-8.5,-7.7,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.1 - Cane and beet sugar (ND)",-17.8,-16.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",8.7,6.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",7.4,11.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",10.7,9.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.6 - Ice, ice cream and sorbet (ND)",1.8,1.8,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",9.9,10.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.9 - Ready-made food and other food products n.e.c. (ND)",6.3,8.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.9.2 - Baby food (ND)",2.5,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.9.3 - Salt, condiments and sauces (ND)",9.1,11.9,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.9.4 - Spices, culinary herbs and seeds (ND)",5.9,8.4,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.1.9.9 - Other food products n.e.c. (ND)",2.7,2.5,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.2 - NON-ALCOHOLIC BEVERAGES",5.0,5.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.2.1 - Fruit and vegetable juices (ND)",4.2,2.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.2.1.0 - Fruit and vegetable juices (ND)",4.3,2.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.2.2 - Coffee and coffee substitutes (ND)",3.7,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","01.2.2.0 - Coffee and coffee substitutes (ND)",3.7,4.0,..,..,..,..,..,..,..,..,..,..,..
