"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"..Region XIII (Caraga)","0 - ALL ITEMS",3.9,3.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",4.1,3.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1 - FOOD",4.4,3.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1 - Cereals and cereal products (ND)",5.3,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.2,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.2 - Flour of cereals (ND)",4.1,3.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.3 - Bread and bakery products (ND)",5.2,4.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.4 - Breakfast cereals (ND)",5.8,5.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.9,5.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.1.9 - Other cereal and grain mill products (ND)",3.7,5.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",4.0,2.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-2.4,-3.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",4.7,3.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.3 - Fish and other seafood (ND)",2.4,0.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",1.5,-4.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.3.3 - Fish preparations (ND)",9.6,9.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-2.8,-2.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.3.6 - Other seafood preparations (ND)",10.2,7.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4 - Milk, other dairy products and eggs (ND)",9.1,8.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.1 - Raw and whole milk (ND)",5.7,2.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.3 - Other milk and cream (ND)",4.9,4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.4 - Non-animal milk (ND)",8.8,8.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.5 - Cheese (ND)",3.7,4.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.6 - Yoghurt and similar products (ND)",-0.7,-3.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.7 - Milk-based dessert and beverages (ND)",2.0,1.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.4.8 - Eggs (ND)",14.6,13.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.5 - Oils and fats (ND)",-2.5,-3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.5.1 - Vegetable oils (ND)",-2.4,-3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",-0.4,-2.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.5.3 - Margarine and similar preparations (ND)",-2.8,-2.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.5.9 - Other animal oils and fats (ND)",-6.1,-6.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6 - Fruits and nuts (ND)",5.0,5.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.2 - Citrus fruits, fresh (ND)",-6.5,-1.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",5.9,3.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.5 - Other fruits, fresh (ND)",14.8,11.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.7 - Fruit, dried and dehydrated (ND)",6.5,5.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.8 - Nuts, in shell or shelled (ND)",12.0,11.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",11.8,10.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",5.6,2.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",0.8,0.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",0.5,-7.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",14.9,5.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",2.9,3.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8 - Sugar, confectionery and desserts (ND)",-6.9,-8.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.1 - Cane and beet sugar (ND)",-13.2,-15.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",4.4,3.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",10.8,9.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",1.2,1.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.6 - Ice, ice cream and sorbet (ND)",3.6,2.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",8.3,6.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.9 - Ready-made food and other food products n.e.c. (ND)",5.4,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.9.2 - Baby food (ND)",4.8,4.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.9.3 - Salt, condiments and sauces (ND)",5.8,4.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.9.4 - Spices, culinary herbs and seeds (ND)",5.5,5.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.1.9.9 - Other food products n.e.c. (ND)",10.1,8.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2 - NON-ALCOHOLIC BEVERAGES",3.0,3.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.1 - Fruit and vegetable juices (ND)",3.9,3.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.1.0 - Fruit and vegetable juices (ND)",3.9,3.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.2 - Coffee and coffee substitutes (ND)",4.4,4.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.2.0 - Coffee and coffee substitutes (ND)",4.4,4.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.3 - Tea, maté and other plant products for infusion (ND)",3.6,4.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",3.6,4.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.4 - Cocoa drinks (ND)",5.6,5.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.4.0 - Cocoa drinks (ND)",5.6,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.5 - Water (ND)",0.0,1.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.5.0 - Water (ND)",0.0,1.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.6 - Soft drinks (ND)",1.4,1.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.6.0 - Soft drinks (ND)",1.4,1.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.9 - Other non-alcoholic beverages (ND)",4.6,3.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","01.2.9.0 - Other non-alcoholic beverages (ND)",4.7,3.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02 - ALCOHOLIC BEVERAGES AND TOBACCO",8.8,8.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1 - ALCOHOLIC BEVERAGES",6.4,4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.1 - Spirits and liquors (ND)",7.7,6.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.1.0 - Spirits and liquors (ND)",7.7,6.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.2 - Wine (ND)",8.3,5.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.2.1 - Wine from grapes (ND)",2.7,1.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.2.2 - Wine from other sources (ND)",9.5,6.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.3 - Beer (ND)",4.7,3.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.1.3.0 - Beer (ND)",4.8,3.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.3 - TOBACCO",10.6,10.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.3.0 - Tobacco (ND)",10.6,10.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.3.0.1 - Cigarettes (ND)",11.7,11.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.3.0.2 - Cigars (ND)",5.6,5.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.3.0.9 - Other tobacco products (ND)",-19.0,-17.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XIII (Caraga)","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
