"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....South Cotabato","0 - ALL ITEMS",6.6,6.5,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",4.2,3.5,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1 - FOOD",4.0,3.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1 - Cereals and cereal products (ND)",5.2,4.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.2,4.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.2 - Flour of cereals (ND)",27.7,23.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.3 - Bread and bakery products (ND)",3.3,3.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.4 - Breakfast cereals (ND)",8.3,6.6,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.5,4.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.9 - Other cereal and grain mill products (ND)",13.4,7.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.9,2.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",4.7,4.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.7,2.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3 - Fish and other seafood (ND)",-0.7,1.5,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-6.3,-8.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3.3 - Fish preparations (ND)",2.8,1.6,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",1.1,12.5,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3.6 - Other seafood preparations (ND)",4.7,4.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4 - Milk, other dairy products and eggs (ND)",8.5,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.3 - Other milk and cream (ND)",4.2,2.2,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.5 - Cheese (ND)",2.4,2.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.8 - Eggs (ND)",14.2,6.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.5 - Oils and fats (ND)",-3.1,-2.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.5.1 - Vegetable oils (ND)",-2.4,-1.6,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",4.7,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.5.3 - Margarine and similar preparations (ND)",-8.7,-8.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6 - Fruits and nuts (ND)",-3.3,-4.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.2 - Citrus fruits, fresh (ND)",-9.1,-17.2,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-4.2,-2.9,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.5 - Other fruits, fresh (ND)",-9.1,-8.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.7 - Fruit, dried and dehydrated (ND)",4.1,4.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.8 - Nuts, in shell or shelled (ND)",2.0,1.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",-1.7,-1.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",6.0,8.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",7.6,11.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",15.0,19.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",2.4,1.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",2.2,0.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8 - Sugar, confectionery and desserts (ND)",-5.4,-4.2,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.1 - Cane and beet sugar (ND)",-15.9,-14.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",7.9,7.9,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",6.1,6.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",8.7,8.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.6 - Ice, ice cream and sorbet (ND)",10.7,10.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",6.1,6.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.9 - Ready-made food and other food products n.e.c. (ND)",8.6,9.9,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.9.2 - Baby food (ND)",2.8,5.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.9.3 - Salt, condiments and sauces (ND)",8.8,8.9,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.9.4 - Spices, culinary herbs and seeds (ND)",23.3,24.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.9.9 - Other food products n.e.c. (ND)",10.7,8.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2 - NON-ALCOHOLIC BEVERAGES",4.8,4.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.1 - Fruit and vegetable juices (ND)",11.4,13.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.1.0 - Fruit and vegetable juices (ND)",11.4,13.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.2 - Coffee and coffee substitutes (ND)",3.1,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.2.0 - Coffee and coffee substitutes (ND)",3.1,3.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.3 - Tea, maté and other plant products for infusion (ND)",17.3,17.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",17.3,17.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.4 - Cocoa drinks (ND)",5.4,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.4.0 - Cocoa drinks (ND)",5.4,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.5 - Water (ND)",0.8,0.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.5.0 - Water (ND)",0.8,0.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.6 - Soft drinks (ND)",5.0,2.6,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.6.0 - Soft drinks (ND)",5.0,2.6,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.9 - Other non-alcoholic beverages (ND)",5.2,8.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.2.9.0 - Other non-alcoholic beverages (ND)",5.2,8.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02 - ALCOHOLIC BEVERAGES AND TOBACCO",6.4,6.5,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1 - ALCOHOLIC BEVERAGES",2.7,2.9,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.1 - Spirits and liquors (ND)",2.5,2.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.1.0 - Spirits and liquors (ND)",2.6,2.7,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.2 - Wine (ND)",3.6,4.0,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.2.1 - Wine from grapes (ND)",5.4,4.3,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.2.2 - Wine from other sources (ND)",2.6,3.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.3 - Beer (ND)",2.8,2.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.1.3.0 - Beer (ND)",2.8,2.8,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.3 - TOBACCO",8.1,8.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.3.0 - Tobacco (ND)",8.1,8.1,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.3.0.1 - Cigarettes (ND)",8.2,8.2,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.3.0.9 - Other tobacco products (ND)",0.2,1.4,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
