"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Tarlac","0 - ALL ITEMS",3.2,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.5,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1 - FOOD",2.4,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1 - Cereals and cereal products (ND)",5.3,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.3,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.2 - Flour of cereals (ND)",12.0,9.8,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.3 - Bread and bakery products (ND)",4.6,5.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.4 - Breakfast cereals (ND)",4.2,0.5,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.5,5.1,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.1.9 - Other cereal and grain mill products (ND)",6.4,10.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.1,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",5.1,7.2,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",1.8,4.4,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.1,3.9,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.3 - Fish and other seafood (ND)",0.4,0.8,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",0.2,0.9,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.3.3 - Fish preparations (ND)",3.3,2.1,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-3.5,-2.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.3.6 - Other seafood preparations (ND)",11.6,12.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4 - Milk, other dairy products and eggs (ND)",9.2,3.9,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.1 - Raw and whole milk (ND)",2.6,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.3 - Other milk and cream (ND)",9.5,6.0,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.4 - Non-animal milk (ND)",12.1,10.3,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.5 - Cheese (ND)",10.7,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.7 - Milk-based dessert and beverages (ND)",2.4,-0.2,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.4.8 - Eggs (ND)",10.3,2.7,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.5 - Oils and fats (ND)",-11.9,-11.5,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.5.1 - Vegetable oils (ND)",-13.7,-12.8,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",-5.9,-7.5,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.5.3 - Margarine and similar preparations (ND)",-7.4,-7.8,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.6 - Fruits and nuts (ND)",8.5,21.6,..,..,..,..,..,..,..,..,..,..,..
"....Tarlac","01.1.6.2 - Citrus fruits, fresh (ND)",3.5,23.5,..,..,..,..,..,..,..,..,..,..,..
