"Geolocation","Commodity Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"....Ilocos Norte","0 - ALL ITEMS",4.0,3.6,3.1,1.8,2.5,3.1,3.1,3.8,3.4,3.8,3.4,2.6,3.2
"....Ilocos Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.3,4.8,4.0,0.8,0.9,3.1,3.6,4.9,5.0,4.2,2.2,0.7,3.3
"....Ilocos Norte","01.1 - FOOD",5.4,5.0,4.1,0.9,0.9,3.3,3.8,5.2,5.3,4.5,2.2,0.7,3.4
"....Ilocos Norte","01.1.1 - Cereals and cereal products (ND)",3.0,3.4,2.1,1.4,2.4,2.5,1.7,1.6,3.0,2.1,1.4,0.3,2.1
"....Ilocos Norte","01.1.1.1 - Cereals (ND)",3.4,4.0,2.3,1.8,3.2,3.3,2.3,2.0,3.8,2.5,1.3,-0.1,2.5
"....Ilocos Norte","01.1.1.12 - Rice",3.5,4.1,2.5,2.0,3.3,3.4,2.4,2.1,4.0,2.6,1.4,-0.1,2.6
"....Ilocos Norte","01.1.1.16 - Corn",0.1,-2.3,-17.6,-18.4,-11.9,-9.1,-17.1,-10.7,-8.8,-8.6,-9.3,-9.1,-10.4
"....Ilocos Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.8,2.0,2.0,0.3,0.3,0.3,0.3,0.3,0.5,1.1,1.3,1.5,1.0
"....Ilocos Norte","01.1.1.2 - Flour of cereals (ND)",3.5,3.5,1.2,1.1,1.8,1.9,1.9,1.9,2.1,2.3,2.4,2.4,2.1
"....Ilocos Norte","01.1.1.3 - Bread and bakery products (ND)",1.4,1.7,1.5,0.3,0.3,0.3,0.3,0.3,0.4,0.8,0.8,0.8,0.7
"....Ilocos Norte","01.1.1.4 - Breakfast cereals (ND)",9.8,9.8,9.8,9.8,5.1,0.3,0.3,0.3,0.1,0.2,2.2,0.2,3.8
"....Ilocos Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",1.3,1.5,1.9,0.1,0.4,0.4,0.4,0.4,0.4,0.9,1.1,1.1,0.8
"....Ilocos Norte","01.1.1.9 - Other cereal and grain mill products (ND)",3.8,4.0,4.0,0.2,0.2,0.2,0.2,0.2,1.0,2.8,4.1,5.6,2.2
"....Ilocos Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.2,2.0,3.2,5.8,4.6,5.9,6.3,5.4,8.0,11.3,13.9,18.3,7.0
"....Ilocos Norte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-1.7,2.3,3.5,7.0,5.4,7.1,7.6,6.5,9.9,14.3,17.6,23.2,8.6
"....Ilocos Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",-1.4,-1.4,-0.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1
"....Ilocos Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",3.4,6.4,6.8,6.5,5.8,6.6,5.2,2.7,4.4,4.1,12.9,8.2,6.1
"....Ilocos Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",0.0,0.6,1.8,2.2,2.2,2.3,2.4,2.2,3.1,3.3,3.3,5.1,2.4
"....Ilocos Norte","01.1.3 - Fish and other seafood (ND)",8.7,5.2,4.4,1.2,-0.2,3.8,3.5,1.3,0.8,-0.9,-0.8,-1.8,2.0
"....Ilocos Norte","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",9.2,5.2,4.5,1.2,-0.7,3.9,3.6,1.3,0.6,-1.7,-1.6,-2.8,1.8
"....Ilocos Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","01.1.3.3 - Fish preparations (ND)",6.3,4.6,4.4,2.8,3.7,4.2,4.3,1.5,2.4,4.8,6.1,6.6,4.3
"....Ilocos Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",0.7,5.6,2.8,-1.0,-0.6,0.0,-0.2,0.4,1.9,2.2,0.7,1.2,1.1
"....Ilocos Norte","01.1.3.6 - Other seafood preparations (ND)",13.0,8.4,4.5,1.8,3.7,3.7,3.7,3.7,0.8,0.8,0.8,1.5,3.8
"....Ilocos Norte","01.1.4 - Milk, other dairy products and eggs (ND)",4.8,5.0,3.7,1.6,1.8,1.8,1.9,-0.2,0.4,0.0,-0.5,-0.7,1.6
"....Ilocos Norte","01.1.4.1 - Raw and whole milk (ND)",13.0,8.4,4.5,1.8,3.7,3.7,3.7,3.7,0.8,0.8,0.8,0.8,3.7
