"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Davao Occidental","0 - ALL ITEMS",1.9,1.4,2.0,3.5,5.1,7.0,8.1,8.7,8.4,8.5,8.7,9.2,6.0
"....Davao Occidental","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.0,-1.2,-0.4,0.5,4.1,6.3,8.3,9.8,8.5,9.1,10.7,11.8,5.6
"....Davao Occidental","01.1 - FOOD",0.0,-1.3,-0.5,0.5,4.2,6.5,8.5,9.9,8.7,9.1,10.9,12.0,5.7
"....Davao Occidental","01.1.1 - Cereals and cereal products (ND)",3.0,2.3,0.8,0.8,2.4,3.3,4.6,6.8,3.7,2.6,6.4,8.1,3.7
"....Davao Occidental","01.1.1.1 - Cereals (ND)",3.0,2.0,0.2,0.2,2.0,3.1,4.6,6.7,3.0,1.5,5.7,7.6,3.3
"....Davao Occidental","01.1.1.12 - Rice",-1.1,-2.0,-2.4,-0.3,1.7,3.3,3.4,6.5,1.6,1.0,5.8,7.3,2.0
"....Davao Occidental","01.1.1.16 - Corn",20.6,19.7,11.1,2.3,3.1,2.2,9.0,7.6,8.1,3.2,5.5,8.7,8.0
"....Davao Occidental","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",3.8,4.4,4.5,4.7,4.7,5.0,5.1,7.0,7.3,9.4,9.9,10.3,6.3
"....Davao Occidental","01.1.1.2 - Flour of cereals (ND)",3.9,4.2,5.6,5.6,5.3,7.6,7.5,8.1,8.1,8.1,12.1,13.3,7.5
"....Davao Occidental","01.1.1.3 - Bread and bakery products (ND)",1.2,1.6,1.8,1.8,1.8,3.0,3.3,4.2,4.4,4.8,5.2,5.6,3.2
"....Davao Occidental","01.1.1.4 - Breakfast cereals (ND)",0.4,0.4,0.4,0.4,0.1,1.5,1.4,2.9,7.7,18.1,18.1,19.9,6.0
"....Davao Occidental","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.8,6.7,6.7,7.1,7.1,6.1,6.6,9.2,9.8,13.5,14.0,14.1,8.9
"....Davao Occidental","01.1.1.9 - Other cereal and grain mill products (ND)",8.3,8.3,7.8,7.8,7.8,9.0,6.7,9.7,9.3,13.1,13.3,14.5,9.7
"....Davao Occidental","01.1.2 - Meat and other parts of slaughtered land animals (ND)",0.8,2.8,2.8,2.2,4.2,10.9,13.5,14.0,10.7,9.8,10.5,8.4,7.4
"....Davao Occidental","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",0.7,3.1,2.6,1.4,4.0,12.6,16.0,16.4,11.7,10.3,11.4,8.5,8.1
"....Davao Occidental","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.1,1.7,3.5,4.5,4.9,5.6,6.2,7.4,7.8,8.3,7.9,8.4,5.6
"....Davao Occidental","01.1.3 - Fish and other seafood (ND)",4.8,0.2,-3.4,-5.4,-1.2,-1.4,5.8,3.8,6.4,8.6,6.4,8.3,2.6
"....Davao Occidental","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",10.0,0.6,-6.7,-9.4,-3.4,-4.0,5.2,-0.3,3.7,6.0,1.7,4.6,0.4
"....Davao Occidental","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-9.0,-2.9,1.6,-0.4,2.5,2.7,7.0,9.6,9.7,10.2,11.9,12.8,4.5
"....Davao Occidental","01.1.3.3 - Fish preparations (ND)",2.5,2.2,3.7,4.0,3.8,4.6,8.6,12.2,13.1,13.3,14.3,14.3,8.1
"....Davao Occidental","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-15.0,-14.1,-19.6,-19.4,-18.7,-24.6,-16.8,-15.7,-19.0,11.1,16.7,16.7,-11.7
"....Davao Occidental","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4 - Milk, other dairy products and eggs (ND)",-4.0,-3.9,2.6,6.6,7.5,8.0,9.3,9.5,8.1,8.4,11.6,12.1,6.2
"....Davao Occidental","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4.3 - Other milk and cream (ND)",1.7,3.3,2.2,7.9,9.9,11.0,12.1,12.2,13.2,13.8,15.0,16.1,9.9
"....Davao Occidental","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4.5 - Cheese (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.4.8 - Eggs (ND)",-8.4,-9.3,2.9,5.6,5.6,5.6,6.9,7.1,3.8,3.8,8.8,8.8,3.3
"....Davao Occidental","01.1.5 - Oils and fats (ND)",0.2,0.5,7.1,20.4,29.7,31.8,32.1,29.1,26.7,26.7,21.3,19.6,20.4
"....Davao Occidental","01.1.5.1 - Vegetable oils (ND)",0.2,0.5,7.1,20.5,29.7,31.8,32.1,29.2,26.7,26.7,21.3,19.6,20.4
"....Davao Occidental","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.6 - Fruits and nuts (ND)",-33.1,-27.8,-7.4,-7.4,2.8,14.2,14.2,14.2,10.8,10.8,10.8,10.8,-1.1
"....Davao Occidental","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao Occidental","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
