"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....South Cotabato","0 - ALL ITEMS",5.6,4.3,2.9,3.7,4.0,4.8,6.0,6.6,6.9,6.4,6.9,7.1,5.4
"....South Cotabato","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.0,3.0,0.2,1.2,0.6,2.3,3.9,4.4,5.0,5.6,7.3,7.3,3.8
"....South Cotabato","01.1 - FOOD",5.2,3.0,0.0,1.2,0.5,2.3,4.0,4.4,5.1,5.7,7.6,7.4,3.8
"....South Cotabato","01.1.1 - Cereals and cereal products (ND)",0.8,3.4,0.8,0.7,-2.2,-1.6,0.8,2.3,1.1,2.0,3.6,4.0,1.3
"....South Cotabato","01.1.1.1 - Cereals (ND)",0.3,3.6,0.3,0.2,-3.5,-2.9,0.0,1.2,-0.6,0.6,2.6,3.1,0.3
"....South Cotabato","01.1.1.12 - Rice",0.3,3.6,-0.1,0.1,-3.7,-3.1,-0.3,1.0,-0.9,0.3,2.5,3.0,0.2
"....South Cotabato","01.1.1.16 - Corn",1.0,1.0,14.1,5.1,2.9,3.4,7.9,8.2,8.9,9.4,7.1,7.0,6.3
"....South Cotabato","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.7,2.8,2.6,2.2,2.5,3.2,4.0,6.4,7.0,7.2,6.6,6.7,4.5
"....South Cotabato","01.1.1.2 - Flour of cereals (ND)",0.7,0.7,1.4,1.4,2.0,3.1,4.9,6.0,4.9,4.9,4.4,4.4,3.2
"....South Cotabato","01.1.1.3 - Bread and bakery products (ND)",3.5,3.5,3.1,2.3,2.6,3.6,4.1,7.5,7.5,7.5,6.6,6.1,4.8
"....South Cotabato","01.1.1.4 - Breakfast cereals (ND)",1.2,1.2,1.2,1.2,0.4,0.4,0.4,0.6,0.6,0.6,0.2,0.5,0.7
"....South Cotabato","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.0,2.1,2.1,2.6,3.4,3.5,6.0,7.4,10.0,10.9,10.9,12.1,6.1
"....South Cotabato","01.1.1.9 - Other cereal and grain mill products (ND)",0.9,1.3,1.2,1.2,1.1,1.2,0.9,1.0,1.3,1.3,1.3,2.4,1.3
"....South Cotabato","01.1.2 - Meat and other parts of slaughtered land animals (ND)",16.3,7.2,3.8,3.4,4.9,7.7,10.8,10.2,11.1,10.3,10.4,10.5,8.8
"....South Cotabato","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",20.1,8.4,3.7,3.6,5.4,9.0,12.8,11.4,12.3,11.3,11.6,11.6,9.9
"....South Cotabato","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",9.1,2.6,2.6,3.5,3.6,4.1,10.7,15.7,18.4,14.0,13.4,13.5,9.0
"....South Cotabato","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",5.0,3.4,4.2,3.0,2.7,3.1,3.7,5.8,6.7,6.8,6.5,6.4,4.8
"....South Cotabato","01.1.3 - Fish and other seafood (ND)",9.7,3.7,-3.7,-0.3,-1.3,4.1,9.2,4.6,6.5,5.9,8.4,1.0,3.8
"....South Cotabato","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",11.1,4.3,-4.7,-0.4,-2.0,4.4,8.7,2.3,4.3,4.0,6.8,-2.8,2.9
"....South Cotabato","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",4.6,4.5,0.4,1.4,2.8,10.6,4.7,4.1,8.5,11.9,13.0,13.7,6.6
"....South Cotabato","01.1.3.3 - Fish preparations (ND)",0.7,0.6,2.9,3.4,2.8,2.7,5.6,7.1,6.6,6.6,7.3,6.2,4.4
"....South Cotabato","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",9.6,0.3,-4.9,-4.7,-2.8,-4.0,25.4,28.0,29.8,19.1,21.7,23.1,10.6
"....South Cotabato","01.1.3.6 - Other seafood preparations (ND)",0.3,0.7,-0.3,0.5,1.4,1.8,3.1,3.2,5.1,6.1,6.6,7.2,3.0
"....South Cotabato","01.1.4 - Milk, other dairy products and eggs (ND)",4.0,5.0,2.7,-0.5,-2.3,-1.3,1.7,2.7,6.5,7.0,7.2,7.1,3.3
"....South Cotabato","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.3 - Other milk and cream (ND)",3.0,3.0,3.4,2.8,2.3,2.0,4.0,4.4,3.9,5.2,5.2,6.1,3.8
"....South Cotabato","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.5 - Cheese (ND)",0.2,0.0,0.0,0.4,1.4,3.3,4.1,4.3,4.3,6.9,6.3,9.8,3.4
"....South Cotabato","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.4.8 - Eggs (ND)",5.2,7.7,2.0,-4.7,-7.7,-5.6,-1.2,0.5,9.8,9.3,10.1,8.5,2.5
"....South Cotabato","01.1.5 - Oils and fats (ND)",2.5,2.6,3.2,3.9,5.8,6.8,12.1,15.7,15.6,15.1,14.5,16.2,9.5
"....South Cotabato","01.1.5.1 - Vegetable oils (ND)",2.6,2.7,3.4,4.4,6.2,7.3,13.9,17.6,17.5,16.9,16.2,17.8,10.6
"....South Cotabato","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",3.3,3.3,3.3,3.3,4.2,4.6,0.8,2.4,3.3,4.2,4.5,6.1,3.6
"....South Cotabato","01.1.5.3 - Margarine and similar preparations (ND)",1.5,1.5,1.5,1.5,3.4,3.6,3.8,5.8,5.8,5.6,5.6,8.1,4.0
"....South Cotabato","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.6 - Fruits and nuts (ND)",-7.5,-3.4,-5.0,-11.1,-7.2,-2.6,0.7,-2.8,-5.0,-2.7,1.7,5.1,-3.4
"....South Cotabato","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",-8.1,-3.8,-5.5,-12.9,-9.1,-4.0,-0.6,-4.1,-5.9,-3.9,1.7,5.4,-4.4
"....South Cotabato","01.1.6.2 - Citrus fruits, fresh (ND)",-43.0,-38.8,-37.1,-16.6,-8.6,-14.7,-3.4,-0.6,-5.7,1.4,-11.2,-13.2,-17.3
"....South Cotabato","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",34.4,31.5,32.5,28.1,24.4,34.6,30.3,41.3,21.8,22.9,23.1,18.3,28.3
"....South Cotabato","01.1.6.5 - Other fruits, fresh (ND)",-2.6,-2.9,-14.9,-15.9,6.4,26.1,26.2,25.8,1.6,21.9,17.9,18.9,8.6
"....South Cotabato","01.1.6.7 - Fruit, dried and dehydrated (ND)",1.9,1.9,1.9,0.0,1.9,1.9,0.0,1.2,1.2,2.3,2.3,4.5,1.8
"....South Cotabato","01.1.6.8 - Nuts, in shell or shelled (ND)",44.8,43.2,36.8,34.8,28.3,20.4,19.5,1.5,-0.4,-1.7,0.0,2.0,16.6
"....South Cotabato","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",2.0,2.4,1.7,3.0,4.4,5.0,2.9,5.0,6.1,5.0,6.5,5.2,4.1
"....South Cotabato","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",5.8,-3.9,-2.7,11.5,13.7,9.4,-9.3,0.3,2.4,5.5,11.2,20.0,5.1
"....South Cotabato","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",3.3,-3.8,0.6,5.9,3.6,3.5,1.0,-2.3,12.5,6.2,9.8,13.2,4.3
"....South Cotabato","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-11.3,-6.9,10.3,31.3,36.7,14.5,-21.2,-4.6,-8.8,-18.3,-0.5,6.2,0.5
"....South Cotabato","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-10.8,-4.4,1.5,3.5,0.0,-5.1,-15.1,-10.3,-9.2,-3.8,2.8,-1.3,-4.6
"....South Cotabato","01.1.7.4 - Other vegetables, fresh or chilled (ND)",34.7,-4.6,-24.0,-10.0,-7.4,6.5,-9.8,3.6,6.0,36.4,23.9,40.7,9.0
"....South Cotabato","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",10.2,15.8,14.6,15.7,18.8,14.3,24.4,20.8,17.8,17.2,14.3,17.4,16.7
"....South Cotabato","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.1,3.1,7.3,1.6,3.4,4.9,7.2,7.2,7.5,7.6,6.4,7.4,5.6
"....South Cotabato","01.1.8 - Sugar, confectionery and desserts (ND)",3.4,5.2,5.7,6.3,6.8,9.9,24.6,30.2,31.1,36.5,39.1,43.9,20.4
"....South Cotabato","01.1.8.1 - Cane and beet sugar (ND)",4.5,8.9,10.3,11.1,12.4,18.5,52.0,62.5,65.6,78.1,83.2,90.4,41.8
"....South Cotabato","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",5.5,2.6,2.6,1.7,1.7,3.5,3.5,5.2,5.2,5.2,5.2,9.7,4.3
"....South Cotabato","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",5.0,4.7,4.7,6.2,6.1,5.3,4.7,5.3,5.6,5.3,7.0,11.0,5.9
"....South Cotabato","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",2.7,2.8,1.3,1.3,1.3,1.8,2.6,2.2,-0.1,-1.2,-1.2,-0.7,1.1
"....South Cotabato","01.1.8.6 - Ice, ice cream and sorbet (ND)",1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.9,2.4,2.4,3.3,5.9,2.4
"....South Cotabato","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",1.1,1.1,1.3,2.2,2.2,5.6,5.6,6.6,7.8,8.1,7.0,8.0,4.7
"....South Cotabato","01.1.9 - Ready-made food and other food products n.e.c. (ND)",1.1,0.5,-0.8,0.9,1.1,2.7,1.9,3.7,4.2,4.7,4.6,5.3,2.5
"....South Cotabato","01.1.9.2 - Baby food (ND)",-0.2,-0.2,-0.2,2.2,2.4,3.9,2.7,5.3,5.5,6.2,6.4,6.4,3.4
"....South Cotabato","01.1.9.3 - Salt, condiments and sauces (ND)",3.1,3.1,2.9,3.0,4.2,5.4,5.2,6.6,6.5,6.4,5.9,7.1,5.0
"....South Cotabato","01.1.9.4 - Spices, culinary herbs and seeds (ND)",-0.2,-3.8,-10.8,-6.5,-8.2,-6.2,-6.4,-6.2,-3.7,-2.6,-2.8,-2.6,-5.0
"....South Cotabato","01.1.9.9 - Other food products n.e.c. (ND)",2.0,2.0,2.1,2.1,2.9,3.9,3.9,4.1,4.7,4.7,5.1,11.4,4.1
"....South Cotabato","01.2 - NON-ALCOHOLIC BEVERAGES",2.3,2.4,1.7,1.4,1.5,1.9,2.1,3.5,3.5,3.5,4.2,5.2,2.8
"....South Cotabato","01.2.1 - Fruit and vegetable juices (ND)",1.9,1.9,2.0,2.5,2.0,2.2,3.0,4.0,3.8,4.0,3.8,2.3,2.8
"....South Cotabato","01.2.1.0 - Fruit and vegetable juices (ND)",1.9,1.9,2.0,2.6,2.0,2.2,2.9,3.9,3.8,4.0,3.8,2.3,2.8
"....South Cotabato","01.2.2 - Coffee and coffee substitutes (ND)",3.8,4.0,2.2,1.2,1.0,1.1,1.5,1.9,1.6,1.6,1.6,2.2,2.0
"....South Cotabato","01.2.2.0 - Coffee and coffee substitutes (ND)",3.9,4.1,2.2,1.1,1.0,1.1,1.5,2.0,1.6,1.6,1.6,2.2,2.0
"....South Cotabato","01.2.3 - Tea, maté and other plant products for infusion (ND)",4.1,4.1,4.7,5.0,5.7,5.9,11.9,13.2,12.3,10.9,10.1,10.1,8.2
"....South Cotabato","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",4.2,4.2,4.7,5.0,5.7,5.9,11.9,13.3,12.2,10.9,10.1,10.1,8.2
"....South Cotabato","01.2.4 - Cocoa drinks (ND)",2.4,2.8,2.2,2.5,2.6,3.6,4.2,8.8,9.0,9.4,9.5,12.6,5.8
"....South Cotabato","01.2.4.0 - Cocoa drinks (ND)",2.3,2.9,2.2,2.4,2.6,3.5,4.2,8.9,9.1,9.4,9.5,12.5,5.8
"....South Cotabato","01.2.5 - Water (ND)",1.6,1.7,1.9,1.5,2.6,2.6,2.8,3.0,3.1,2.5,1.9,2.8,2.3
"....South Cotabato","01.2.5.0 - Water (ND)",1.6,1.7,1.8,1.5,2.7,2.7,2.9,3.0,3.2,2.6,2.0,2.9,2.4
"....South Cotabato","01.2.6 - Soft drinks (ND)",0.5,0.5,0.5,0.5,0.5,0.9,0.3,1.5,1.5,1.5,4.7,5.5,1.5
