"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Southern Leyte","0 - ALL ITEMS",5.7,7.1,8.5,8.3,8.7,8.2,9.8,9.6,9.5,10.6,10.8,10.7,9.0
"....Southern Leyte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",7.0,8.5,7.2,6.6,8.6,7.3,9.5,9.2,9.9,9.7,10.5,11.2,8.8
"....Southern Leyte","01.1 - FOOD",7.6,9.1,7.7,7.1,9.3,7.9,10.1,9.8,10.5,10.4,11.1,12.0,9.4
"....Southern Leyte","01.1.1 - Cereals and cereal products (ND)",4.1,2.6,-0.8,-1.3,2.1,2.0,2.9,4.7,5.2,3.9,3.7,4.0,2.8
"....Southern Leyte","01.1.1.1 - Cereals (ND)",5.1,2.8,-2.1,-2.8,1.8,1.4,2.5,2.8,3.3,1.6,1.2,1.2,1.5
"....Southern Leyte","01.1.1.12 - Rice",5.1,2.8,-2.1,-2.8,1.8,1.5,2.5,2.9,3.4,1.6,1.2,1.2,1.6
"....Southern Leyte","01.1.1.16 - Corn",3.4,5.3,-7.7,-7.7,-5.3,-3.4,-5.1,-3.7,-3.7,-3.7,-2.9,4.4,-2.5
"....Southern Leyte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.1,1.8,3.3,3.6,3.4,3.7,4.0,10.9,11.3,11.5,11.7,13.1,6.6
"....Southern Leyte","01.1.1.2 - Flour of cereals (ND)",-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Southern Leyte","01.1.1.3 - Bread and bakery products (ND)",1.1,2.0,3.8,4.1,3.8,3.8,3.8,12.9,13.5,13.6,13.7,15.1,7.6
"....Southern Leyte","01.1.1.4 - Breakfast cereals (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Southern Leyte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",0.8,0.7,0.9,0.9,0.9,2.1,2.1,2.1,2.1,2.7,3.4,4.9,2.0
"....Southern Leyte","01.1.1.9 - Other cereal and grain mill products (ND)",2.7,3.8,4.9,7.4,7.4,8.4,13.1,15.7,15.7,16.2,16.8,18.1,10.8
"....Southern Leyte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",11.3,21.6,23.7,21.6,19.1,19.1,23.1,26.9,29.7,29.1,29.7,29.6,23.7
"....Southern Leyte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",13.6,26.3,28.9,26.2,22.8,22.8,28.1,31.0,34.5,33.6,34.8,34.3,28.1
"....Southern Leyte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",0.0,0.0,4.5,4.5,4.5,4.5,4.5,10.3,10.3,10.3,10.3,10.7,6.2
"....Southern Leyte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",12.4,8.0,13.3,11.5,11.1,12.4,12.4,16.3,18.0,17.4,7.5,6.0,12.2
"....Southern Leyte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.4,3.6,3.8,4.1,4.6,4.6,3.6,11.4,11.4,11.5,11.6,13.6,7.2
"....Southern Leyte","01.1.3 - Fish and other seafood (ND)",18.3,20.9,16.0,14.8,15.8,7.2,13.5,5.6,5.8,5.9,8.0,9.7,11.8
"....Southern Leyte","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",21.3,23.5,16.7,15.1,16.3,6.4,14.5,5.1,4.8,4.6,7.1,10.1,12.1
"....Southern Leyte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",4.4,1.2,-5.7,-4.8,-4.1,-7.1,-7.4,-10.0,-6.3,-4.2,-1.8,-5.9,-4.3
"....Southern Leyte","01.1.3.3 - Fish preparations (ND)",3.8,5.0,8.8,8.9,8.9,9.4,9.4,9.4,9.4,10.9,12.4,15.6,9.3
"....Southern Leyte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",13.1,28.9,36.9,37.0,37.7,26.6,26.5,21.9,25.5,24.2,21.6,11.4,26.0
"....Southern Leyte","01.1.3.6 - Other seafood preparations (ND)",0.0,5.7,12.7,16.5,16.5,16.5,20.3,20.3,20.3,20.3,20.3,20.3,15.8
"....Southern Leyte","01.1.4 - Milk, other dairy products and eggs (ND)",4.6,4.7,6.5,6.5,6.5,6.5,6.5,4.7,3.0,3.1,1.9,2.1,4.7
"....Southern Leyte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.4.3 - Other milk and cream (ND)",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.5,1.1,0.2
"....Southern Leyte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.4.5 - Cheese (ND)",0.0,0.0,0.1,0.1,0.1,0.1,0.1,9.0,9.0,8.6,8.1,8.1,3.6
"....Southern Leyte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.4.8 - Eggs (ND)",10.7,10.7,14.8,14.8,14.8,14.8,14.8,10.2,6.2,6.2,3.3,3.2,10.4
"....Southern Leyte","01.1.5 - Oils and fats (ND)",0.0,0.3,3.7,5.8,6.1,25.0,25.0,25.0,28.3,32.0,32.3,32.5,18.0
"....Southern Leyte","01.1.5.1 - Vegetable oils (ND)",0.0,0.3,4.3,7.0,7.0,30.4,30.4,30.4,34.5,38.9,39.1,39.1,21.8
"....Southern Leyte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.3,13.6,1.5
"....Southern Leyte","01.1.5.3 - Margarine and similar preparations (ND)",0.2,0.2,0.9,0.9,2.5,4.2,4.2,4.2,4.8,5.8,6.2,6.0,3.3
"....Southern Leyte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.6 - Fruits and nuts (ND)",1.3,11.5,6.4,6.2,6.1,3.1,3.3,1.8,2.2,8.4,8.5,5.0,5.3
"....Southern Leyte","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",0.5,12.3,6.8,6.5,6.4,3.3,4.2,2.6,3.0,10.2,10.6,6.9,6.0
"....Southern Leyte","01.1.6.2 - Citrus fruits, fresh (ND)",11.8,9.7,7.3,7.3,7.3,7.3,0.0,0.0,0.0,-2.5,-6.9,-13.6,2.1
"....Southern Leyte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",36.7,36.7,41.4,41.4,36.4,36.4,36.4,36.4,7.1,0.0,-3.5,-3.5,22.6
"....Southern Leyte","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Southern Leyte","01.1.6.7 - Fruit, dried and dehydrated (ND)",0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.5,3.8,1.5
"....Southern Leyte","01.1.6.8 - Nuts, in shell or shelled (ND)",3.9,-20.6,-18.4,-16.3,-16.3,-23.8,-32.8,-32.8,-28.3,-28.3,-28.3,-24.0,-22.1
"....Southern Leyte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",2.0,2.0,2.7,2.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.2
"....Southern Leyte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",7.7,-1.7,-2.8,-1.8,19.1,12.9,12.5,0.9,1.2,1.3,13.2,22.7,6.5
"....Southern Leyte","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",7.4,-0.7,-3.0,1.4,15.4,14.2,12.6,5.4,0.1,-0.9,6.7,15.8,5.9
"....Southern Leyte","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",18.8,3.8,-0.7,0.3,32.7,22.6,20.5,-0.6,-1.2,-2.6,17.0,15.8,9.8
"....Southern Leyte","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",28.9,3.2,8.8,14.9,32.0,10.5,29.4,13.1,16.3,7.4,15.0,9.6,15.5
"....Southern Leyte","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-0.8,-10.6,-6.1,-10.4,4.7,-3.4,-0.3,-4.5,3.7,6.1,20.2,46.5,2.7
"....Southern Leyte","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-2.3,-0.8,-2.5,2.2,23.9,20.9,21.2,4.0,3.7,5.1,7.8,8.0,7.4
