"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Basilan","0 - ALL ITEMS",11.7,9.5,9.5,9.4,7.0,5.7,4.6,3.5,7.5,6.1,7.1,5.5,7.2
"....Basilan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",15.4,11.7,12.4,12.5,9.4,8.0,5.7,4.7,11.4,7.5,8.7,5.7,9.4
"....Basilan","01.1 - FOOD",16.3,12.3,13.1,13.1,9.7,8.3,5.8,4.7,11.9,7.8,9.0,5.8,9.8
"....Basilan","01.1.1 - Cereals and cereal products (ND)",6.8,7.1,7.3,7.7,8.5,7.0,5.2,8.3,28.1,27.6,30.9,23.7,14.2
"....Basilan","01.1.1.1 - Cereals (ND)",5.7,5.7,6.2,6.7,7.7,6.1,3.8,8.1,34.4,34.1,38.2,28.4,15.6
"....Basilan","01.1.1.12 - Rice",5.7,5.7,6.2,6.7,7.7,6.1,3.8,8.1,34.4,34.1,38.2,28.4,15.6
"....Basilan","01.1.1.16 - Corn",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",10.2,11.3,10.6,10.5,10.6,9.7,10.0,9.2,9.2,8.5,9.5,9.4,9.9
"....Basilan","01.1.1.2 - Flour of cereals (ND)",15.2,15.2,15.2,15.2,15.2,9.1,8.5,6.8,6.8,6.2,6.2,6.2,10.4
"....Basilan","01.1.1.3 - Bread and bakery products (ND)",12.9,14.6,14.8,14.2,14.2,13.6,13.9,14.0,14.1,13.4,14.9,15.2,14.2
"....Basilan","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.1,3.5,3.7,4.3,4.8,5.1,5.6,6.1,5.7,5.1,6.3,6.0,4.9
"....Basilan","01.1.1.9 - Other cereal and grain mill products (ND)",9.0,9.9,5.6,6.0,6.3,5.6,6.0,2.2,2.4,1.6,1.4,1.0,4.7
"....Basilan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",3.2,10.6,10.6,9.9,9.9,0.0,-2.9,-2.9,-1.6,-0.3,3.1,4.3,3.4
"....Basilan","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",3.1,12.1,12.2,11.1,11.1,-0.8,-3.9,-3.9,-2.6,-1.3,2.6,3.8,3.3
"....Basilan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.5,3.3,3.3,4.4,4.2,3.6,2.4,2.4,3.9,4.9,5.1,6.6,4.0
"....Basilan","01.1.3 - Fish and other seafood (ND)",16.0,11.6,13.9,7.1,-1.0,-1.8,-5.7,-8.7,-11.0,-13.9,-14.4,-17.8,-2.8
"....Basilan","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",18.0,12.8,15.7,7.5,-2.5,-2.7,-7.1,-10.5,-13.0,-17.0,-17.7,-21.9,-4.0
"....Basilan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",7.5,4.0,5.7,2.9,1.2,-3.2,-5.9,-8.3,-7.1,-4.3,-4.3,-5.4,-1.6
"....Basilan","01.1.3.3 - Fish preparations (ND)",15.2,15.4,15.0,16.8,16.6,16.6,16.6,16.6,5.0,6.0,9.6,9.6,13.0
"....Basilan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",7.6,7.6,7.6,4.1,1.1,-1.8,-4.2,-5.4,-5.4,-5.4,-6.1,-7.0,-0.8
"....Basilan","01.1.3.6 - Other seafood preparations (ND)",5.9,5.9,5.9,5.9,5.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.6
"....Basilan","01.1.4 - Milk, other dairy products and eggs (ND)",1.8,2.7,3.1,3.6,4.0,4.0,4.0,4.0,4.0,2.9,10.0,8.5,4.4
"....Basilan","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.3 - Other milk and cream (ND)",0.0,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,0.6,0.4,0.6
"....Basilan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.5 - Cheese (ND)",6.8,7.2,7.2,7.2,7.2,7.2,7.2,7.2,4.6,6.4,7.2,7.4,6.9
"....Basilan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.8 - Eggs (ND)",3.2,4.4,5.1,6.0,6.6,6.6,6.6,6.6,6.6,4.4,17.7,15.3,7.4
"....Basilan","01.1.5 - Oils and fats (ND)",7.1,6.8,6.5,5.1,4.1,-0.1,-1.6,-4.6,-5.1,-6.1,-7.1,-7.5,-0.4
"....Basilan","01.1.5.1 - Vegetable oils (ND)",9.0,8.4,8.3,6.2,4.8,-1.1,-3.3,-7.4,-7.0,-7.7,-9.1,-9.6,-1.0
"....Basilan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5.3 - Margarine and similar preparations (ND)",3.1,3.1,2.4,2.4,2.4,2.4,2.4,2.4,-0.3,-2.3,-2.3,-2.7,1.0
"....Basilan","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6 - Fruits and nuts (ND)",-3.9,-3.8,-5.1,-2.6,0.5,5.4,1.5,1.3,1.5,12.5,10.7,11.3,2.3
"....Basilan","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",-3.8,-3.8,-5.2,-2.6,0.5,5.4,1.5,1.3,1.5,12.5,10.7,11.4,2.3
"....Basilan","01.1.6.2 - Citrus fruits, fresh (ND)",-0.5,0.1,-2.3,-2.3,-3.6,-0.1,-0.1,-0.2,0.3,-1.7,-1.0,0.9,-0.9
"....Basilan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",56.7,32.7,37.0,50.3,35.0,34.7,33.6,28.8,33.7,6.0,5.8,7.1,29.0
"....Basilan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",12.4,18.0,17.3,19.2,19.6,17.9,18.1,17.3,17.3,20.8,22.0,21.0,18.4
"....Basilan","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",10.4,10.5,17.4,20.0,11.9,7.9,9.3,8.8,15.7,26.8,27.4,24.6,15.7
"....Basilan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",15.2,13.2,11.7,12.5,10.7,10.3,10.3,9.6,20.4,23.7,12.3,9.2,13.3
"....Basilan","01.1.7.4 - Other vegetables, fresh or chilled (ND)",101.5,52.0,59.0,94.1,62.3,66.0,62.1,50.7,53.8,-8.2,-9.0,-5.3,42.1
"....Basilan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",11.9,12.0,15.2,16.3,14.4,14.6,14.6,14.6,22.2,25.2,22.9,21.1,17.1
"....Basilan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8 - Sugar, confectionery and desserts (ND)",45.7,45.1,41.5,41.3,39.6,31.2,24.5,3.9,2.9,-2.9,-5.8,-6.0,18.6
"....Basilan","01.1.8.1 - Cane and beet sugar (ND)",62.9,61.9,56.7,56.4,54.1,41.7,31.9,4.5,2.9,-4.3,-7.9,-8.1,23.7
"....Basilan","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,0.9
"....Basilan","01.1.8.6 - Ice, ice cream and sorbet (ND)",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0,0.0,-0.6
"....Basilan","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",5.8,7.3,7.4,7.4,7.1,7.1,7.1,7.1,9.0,9.8,8.3,8.1,7.6
"....Basilan","01.1.9 - Ready-made food and other food products n.e.c. (ND)",2.7,2.6,2.7,2.3,2.1,1.1,1.3,1.3,1.4,4.1,3.2,3.1,2.3
"....Basilan","01.1.9.2 - Baby food (ND)",6.8,7.4,7.5,7.7,9.2,9.2,11.1,11.1,11.0,11.5,13.5,13.5,10.0
"....Basilan","01.1.9.3 - Salt, condiments and sauces (ND)",7.6,8.5,8.6,9.1,9.5,6.6,6.5,6.5,6.7,9.0,10.8,10.5,8.3
"....Basilan","01.1.9.4 - Spices, culinary herbs and seeds (ND)",-1.6,-2.9,-2.9,-3.9,-5.0,-5.0,-5.0,-5.0,-5.0,-1.6,-5.2,-5.2,-4.0
"....Basilan","01.1.9.9 - Other food products n.e.c. (ND)",4.0,10.5,10.5,11.6,12.8,12.8,12.8,12.8,12.8,19.0,24.2,24.2,14.0
"....Basilan","01.2 - NON-ALCOHOLIC BEVERAGES",1.8,3.3,4.0,4.1,4.4,4.4,4.3,4.3,4.3,4.4,4.8,4.4,4.0
"....Basilan","01.2.1 - Fruit and vegetable juices (ND)",0.0,1.0,2.5,2.3,2.0,2.0,2.2,2.2,2.2,2.2,4.3,4.3,2.3
"....Basilan","01.2.1.0 - Fruit and vegetable juices (ND)",0.0,1.0,2.5,2.3,2.0,2.0,2.2,2.2,2.2,2.2,4.3,4.3,2.3
"....Basilan","01.2.2 - Coffee and coffee substitutes (ND)",1.6,2.8,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.1,4.9,4.9,4.4
"....Basilan","01.2.2.0 - Coffee and coffee substitutes (ND)",1.6,2.8,3.9,4.5,5.0,5.0,5.0,5.0,5.0,5.2,5.0,5.0,4.4
"....Basilan","01.2.3 - Tea, maté and other plant products for infusion (ND)",0.8,1.4,1.4,2.9,2.9,2.9,2.9,3.1,3.1,4.1,5.8,5.8,3.1
"....Basilan","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",0.8,1.4,1.4,2.9,2.9,2.9,2.9,3.1,3.1,4.1,5.8,5.8,3.1
"....Basilan","01.2.4 - Cocoa drinks (ND)",0.0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
"....Basilan","01.2.4.0 - Cocoa drinks (ND)",0.0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3
"....Basilan","01.2.5 - Water (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Basilan","01.2.5.0 - Water (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Basilan","01.2.6 - Soft drinks (ND)",7.1,13.6,13.6,12.8,13.2,12.8,12.3,12.4,12.4,12.4,12.8,10.1,12.1
"....Basilan","01.2.6.0 - Soft drinks (ND)",7.0,13.6,13.6,12.8,13.2,12.8,12.2,12.4,12.4,12.4,12.8,10.1,12.1
"....Basilan","01.2.9 - Other non-alcoholic beverages (ND)",0.2,0.2,0.2,0.2,0.2,-0.3,-0.3,-0.3,-0.3,-0.3,1.3,1.3,0.2
"....Basilan","01.2.9.0 - Other non-alcoholic beverages (ND)",0.1,0.1,0.1,0.1,0.1,-0.3,-0.3,-0.3,-0.3,-0.3,1.2,1.2,0.1
