"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Kalinga","0 - ALL ITEMS",11.4,10.1,7.6,5.2,4.1,2.2,2.0,3.5,4.2,3.0,0.7,0.7,4.5
"....Kalinga","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",13.6,11.7,8.5,6.3,5.4,4.6,4.3,8.1,9.8,6.1,3.2,2.3,6.9
"....Kalinga","01.1 - FOOD",13.9,11.8,8.5,6.1,5.2,4.4,4.2,8.1,9.8,5.9,3.0,2.1,6.8
"....Kalinga","01.1.1 - Cereals and cereal products (ND)",5.9,6.5,6.0,5.4,4.0,3.0,2.3,4.4,9.1,5.0,3.3,6.6,5.1
"....Kalinga","01.1.1.1 - Cereals (ND)",3.9,4.7,4.2,3.5,2.0,1.1,0.8,4.0,10.6,5.9,4.0,8.3,4.4
"....Kalinga","01.1.1.12 - Rice",3.8,4.4,3.9,3.3,1.8,0.8,0.6,3.8,10.6,5.8,3.9,8.2,4.2
"....Kalinga","01.1.1.16 - Corn",24.5,30.6,31.2,29.7,28.5,28.6,23.1,20.7,15.2,12.2,11.1,10.1,21.5
"....Kalinga","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",13.2,13.4,12.6,12.6,11.6,10.1,7.7,6.4,3.5,2.1,1.1,1.1,7.7
"....Kalinga","01.1.1.2 - Flour of cereals (ND)",19.9,19.5,18.1,16.5,14.8,11.8,8.2,8.0,4.8,2.7,0.9,0.3,10.0
"....Kalinga","01.1.1.3 - Bread and bakery products (ND)",14.2,14.2,13.7,13.7,12.3,11.3,8.6,7.4,3.4,1.3,0.0,0.2,8.1
"....Kalinga","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",6.4,7.0,5.8,6.6,6.4,5.3,4.6,4.7,4.4,4.3,2.5,2.3,5.0
"....Kalinga","01.1.1.9 - Other cereal and grain mill products (ND)",22.2,22.8,21.9,20.8,19.5,15.7,11.0,5.6,1.4,0.3,2.9,2.9,11.5
"....Kalinga","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.9,2.9,2.2,-0.5,-2.5,-4.8,-8.2,-6.3,-4.8,-4.4,-4.8,-4.2,-2.8
"....Kalinga","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",2.7,2.6,1.6,-1.6,-3.9,-6.5,-10.3,-8.2,-6.4,-6.0,-6.3,-5.5,-4.1
"....Kalinga","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.8,4.2,4.9,5.1,4.9,4.0,3.3,3.7,3.3,3.5,2.7,2.8,3.8
"....Kalinga","01.1.3 - Fish and other seafood (ND)",0.7,3.5,2.9,3.4,1.7,1.4,2.5,1.7,3.7,4.8,5.7,5.3,3.1
"....Kalinga","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-2.5,1.6,1.2,2.9,0.4,0.7,2.5,1.0,6.1,8.1,9.3,8.7,3.3
"....Kalinga","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",15.1,15.1,15.1,13.0,13.0,13.0,13.0,13.0,0.0,0.0,-1.6,-1.6,8.5
"....Kalinga","01.1.3.3 - Fish preparations (ND)",2.7,3.0,4.2,3.8,3.3,1.2,0.6,0.7,1.9,1.8,3.1,2.6,2.4
"....Kalinga","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",11.4,4.8,-11.0,-21.8,-17.9,-23.2,-25.0,-17.6,-22.6,-28.6,-27.4,-23.9,-17.4
"....Kalinga","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4 - Milk, other dairy products and eggs (ND)",7.7,7.7,7.0,7.2,6.8,11.6,11.3,10.3,10.1,12.0,10.2,10.4,9.4
"....Kalinga","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.3 - Other milk and cream (ND)",11.5,11.4,10.1,9.8,8.8,6.0,5.2,3.9,3.3,3.4,1.6,0.5,6.1
"....Kalinga","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.5 - Cheese (ND)",8.4,8.4,8.0,6.6,8.4,7.9,7.9,6.9,10.7,10.5,10.2,10.5,8.7
"....Kalinga","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.8 - Eggs (ND)",4.1,4.1,4.1,4.6,4.7,17.4,17.4,16.7,16.8,20.7,18.9,20.3,12.5
"....Kalinga","01.1.5 - Oils and fats (ND)",10.4,10.8,9.4,11.6,10.6,8.8,8.1,7.2,7.2,7.4,6.4,5.7,8.6
"....Kalinga","01.1.5.1 - Vegetable oils (ND)",11.1,11.7,9.8,10.5,9.7,7.5,7.0,5.7,5.7,6.0,5.8,5.8,7.9
"....Kalinga","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5.3 - Margarine and similar preparations (ND)",9.2,9.3,8.6,13.4,12.5,11.2,10.1,10.1,10.1,10.1,7.6,5.4,9.8
"....Kalinga","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6 - Fruits and nuts (ND)",5.3,9.7,11.9,19.9,16.6,21.2,-1.7,7.6,15.0,25.0,24.7,24.0,14.8
"....Kalinga","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",6.2,11.4,14.1,23.0,18.8,24.2,-1.6,9.0,16.8,28.3,27.8,27.2,17.0
"....Kalinga","01.1.6.2 - Citrus fruits, fresh (ND)",33.3,-4.5,-26.6,-5.3,25.4,-16.9,-14.9,7.7,37.5,30.3,66.0,32.4,7.0
"....Kalinga","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",8.5,8.5,8.5,8.5,8.5,8.5,8.5,5.6,2.7,2.7,0.0,0.0,5.8
"....Kalinga","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",-2.8,-2.5,-2.3,-2.5,-1.9,-1.2,-2.1,-2.1,1.3,1.0,0.7,0.4,-1.2
"....Kalinga","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",86.7,57.4,30.8,8.5,13.6,9.7,30.6,60.8,52.7,20.9,5.2,-12.6,28.0
"....Kalinga","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",54.1,28.7,20.2,8.1,11.8,7.7,31.3,55.4,50.9,43.1,24.8,-8.9,26.4
"....Kalinga","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",83.6,65.4,44.8,-18.1,-22.5,-29.5,9.0,80.2,66.5,15.6,-14.4,-20.9,17.1
"....Kalinga","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",35.8,44.6,31.5,19.9,20.4,-1.6,-2.0,51.6,74.1,11.5,-9.7,0.7,21.3
