"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Leyte","0 - ALL ITEMS",5.8,5.8,4.9,4.4,3.7,3.0,2.0,2.7,4.4,4.1,3.2,4.1,4.0
"....Leyte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",7.4,8.3,7.7,7.1,7.1,6.2,4.5,4.8,7.9,8.0,6.5,7.5,6.9
"....Leyte","01.1 - FOOD",7.5,8.5,7.9,7.2,7.0,6.2,4.4,4.7,8.1,8.2,6.6,7.8,7.0
"....Leyte","01.1.1 - Cereals and cereal products (ND)",3.2,3.8,4.9,5.3,5.1,6.1,5.6,4.3,9.3,8.9,8.8,14.9,6.7
"....Leyte","01.1.1.1 - Cereals (ND)",-0.6,0.0,1.4,2.0,1.6,3.3,3.5,2.5,9.6,9.2,9.5,17.0,4.9
"....Leyte","01.1.1.12 - Rice",-1.0,-0.3,1.3,2.0,1.5,3.3,3.5,2.6,10.2,9.8,10.0,17.9,5.0
"....Leyte","01.1.1.16 - Corn",7.6,4.8,3.5,3.5,3.5,2.9,2.0,2.3,0.1,0.1,1.1,1.7,2.7
"....Leyte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",20.8,21.3,20.7,19.9,20.5,17.8,14.4,11.0,8.2,7.7,6.4,7.0,14.3
"....Leyte","01.1.1.2 - Flour of cereals (ND)",1.7,-0.6,-0.6,-1.4,-1.4,-1.4,0.9,1.1,1.1,1.6,2.6,4.5,0.7
"....Leyte","01.1.1.3 - Bread and bakery products (ND)",26.4,27.5,26.6,25.7,26.3,22.4,18.0,13.2,8.8,8.1,6.6,7.7,17.4
"....Leyte","01.1.1.4 - Breakfast cereals (ND)",1.3,4.1,4.1,4.1,4.1,2.6,2.6,3.2,3.3,3.3,3.3,3.7,3.3
"....Leyte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",7.6,6.6,6.7,6.2,6.8,7.0,6.9,6.3,7.2,7.7,6.9,6.4,6.9
"....Leyte","01.1.1.9 - Other cereal and grain mill products (ND)",13.9,14.1,14.1,12.9,13.2,9.8,5.3,5.3,5.6,4.8,3.8,2.3,8.6
"....Leyte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",7.7,7.2,5.4,2.1,1.1,-2.7,-4.2,-4.8,0.1,-0.6,-3.5,-2.4,0.3
"....Leyte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",7.8,7.3,5.2,1.5,0.2,-4.1,-5.7,-6.4,-0.5,-1.3,-4.8,-3.2,-0.5
"....Leyte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",12.5,10.0,6.5,3.9,4.0,1.7,2.8,0.0,-1.5,-1.6,-2.5,-2.1,2.7
"....Leyte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",6.5,6.4,6.1,5.3,5.6,5.1,4.2,4.6,3.9,3.3,3.2,2.4,4.7
"....Leyte","01.1.3 - Fish and other seafood (ND)",2.4,7.8,5.5,8.6,10.9,11.7,7.0,8.3,8.3,16.9,11.6,5.0,8.6
"....Leyte","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",1.2,7.2,4.4,8.8,12.1,13.4,7.9,9.5,8.6,20.1,11.9,5.1,9.1
"....Leyte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",3.2,8.6,7.2,8.8,7.2,4.5,-0.4,2.7,7.8,9.4,11.5,6.2,6.4
"....Leyte","01.1.3.3 - Fish preparations (ND)",12.8,16.4,15.5,14.2,13.6,13.6,14.3,13.0,10.1,10.9,10.9,5.5,12.5
"....Leyte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-0.4,1.9,-0.7,-0.3,2.5,7.4,3.4,2.6,3.0,9.2,8.2,1.8,3.1
"....Leyte","01.1.3.6 - Other seafood preparations (ND)",5.9,5.9,5.9,1.9,1.9,1.8,-1.7,-1.7,7.7,3.7,3.7,3.7,3.1
"....Leyte","01.1.4 - Milk, other dairy products and eggs (ND)",12.0,11.1,10.9,9.5,11.3,12.0,11.0,9.1,10.0,7.6,7.4,7.1,9.9
"....Leyte","01.1.4.1 - Raw and whole milk (ND)",4.3,3.8,2.8,3.1,2.9,3.6,3.3,3.1,6.4,6.4,6.0,4.5,4.2
"....Leyte","01.1.4.3 - Other milk and cream (ND)",3.4,4.4,4.4,4.3,5.5,7.0,7.0,6.3,10.1,9.2,9.1,8.3,6.6
"....Leyte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","01.1.4.5 - Cheese (ND)",5.6,9.1,9.6,10.1,10.1,10.0,8.5,7.8,8.2,7.5,7.2,7.3,8.4
"....Leyte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","01.1.4.7 - Milk-based dessert and beverages (ND)",4.1,4.1,4.1,4.1,5.4,5.4,3.9,3.9,3.2,4.5,4.5,7.1,4.5
"....Leyte","01.1.4.8 - Eggs (ND)",24.4,20.6,19.9,16.8,19.3,19.0,16.6,12.8,10.1,5.8,5.6,5.5,14.3
"....Leyte","01.1.5 - Oils and fats (ND)",11.5,11.5,11.5,10.1,9.8,6.9,7.0,4.2,4.3,-0.1,-0.2,-0.7,6.1
"....Leyte","01.1.5.1 - Vegetable oils (ND)",12.9,12.9,12.8,11.2,10.9,7.9,8.0,5.7,5.7,0.3,0.2,-0.3,7.1
"....Leyte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",9.8,9.5,9.5,8.8,8.3,4.1,3.2,0.7,-2.6,-3.2,-3.7,-3.6,3.2
"....Leyte","01.1.5.3 - Margarine and similar preparations (ND)",5.0,5.0,5.7,5.2,4.6,2.3,2.2,-2.5,-1.6,-1.6,-1.6,-2.2,1.7
"....Leyte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","01.1.6 - Fruits and nuts (ND)",8.2,6.5,11.1,13.5,13.5,6.0,3.0,9.7,13.3,14.2,15.8,27.2,11.8
"....Leyte","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",8.1,6.5,11.4,13.9,13.9,6.1,3.0,10.5,14.2,15.2,17.0,29.1,12.4
"....Leyte","01.1.6.2 - Citrus fruits, fresh (ND)",9.0,4.5,4.5,4.5,4.5,4.5,10.3,-7.9,-6.1,-4.1,-4.1,0.0,1.3
"....Leyte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",2.0,-0.9,-16.6,-16.1,-13.7,-11.5,-16.6,-16.6,-5.6,-12.5,-12.5,-13.6,-11.6
"....Leyte","01.1.6.5 - Other fruits, fresh (ND)",5.0,-2.2,-0.2,6.7,5.5,-8.5,-10.1,-6.8,-0.9,-5.8,-12.9,-12.6,-3.9
"....Leyte","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Leyte","01.1.6.8 - Nuts, in shell or shelled (ND)",15.0,14.1,14.5,15.4,15.4,13.6,7.7,3.3,4.2,4.2,4.2,4.7,9.4
"....Leyte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",8.7,7.7,7.5,6.4,7.7,6.4,2.4,2.6,2.6,2.9,1.6,3.1,4.9
"....Leyte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",26.1,27.1,20.9,11.4,7.5,4.8,4.4,12.1,18.4,7.9,5.7,-1.0,12.2
"....Leyte","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",4.9,8.3,11.4,14.9,9.2,3.1,2.6,6.6,8.3,0.1,-2.2,3.8,5.9
"....Leyte","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-4.0,19.1,16.9,-1.1,-0.6,-10.5,-17.6,1.8,17.0,17.1,7.9,8.3,4.3
"....Leyte","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-12.2,-7.1,4.2,5.5,11.9,15.6,6.9,15.0,34.3,20.5,-2.4,0.5,6.4
"....Leyte","01.1.7.4 - Other vegetables, fresh or chilled (ND)",116.0,73.5,43.1,34.3,22.2,41.2,58.6,39.5,32.2,-3.9,1.3,-21.2,32.6
"....Leyte","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",3.0,6.2,13.7,16.8,10.1,10.9,12.3,13.8,20.8,33.5,39.0,28.3,17.1
"....Leyte","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",10.3,-0.3,-0.7,-0.4,0.7,-3.8,-3.8,-4.6,-4.6,-0.1,-0.1,1.4,-0.6
"....Leyte","01.1.8 - Sugar, confectionery and desserts (ND)",31.9,30.5,30.2,29.7,28.5,25.7,19.9,15.0,10.8,6.3,3.7,0.2,18.3
