"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Sorsogon","0 - ALL ITEMS",6.4,6.4,4.4,4.5,3.0,4.0,4.8,3.6,5.1,3.5,3.1,3.3,4.3
"....Sorsogon","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",4.9,6.0,6.0,4.2,3.4,5.8,8.3,7.9,12.3,8.3,9.8,9.5,7.2
"....Sorsogon","01.1 - FOOD",4.8,6.0,5.9,4.0,3.2,5.9,8.6,8.2,12.8,8.6,10.2,9.9,7.3
"....Sorsogon","01.1.1 - Cereals and cereal products (ND)",4.1,4.9,5.2,6.5,6.4,5.4,5.8,9.0,16.8,9.9,13.8,19.7,9.0
"....Sorsogon","01.1.1.1 - Cereals (ND)",1.8,2.7,3.8,5.7,6.0,4.9,6.2,11.6,23.6,13.7,19.9,28.8,10.8
"....Sorsogon","01.1.1.12 - Rice",1.7,2.7,3.7,5.6,5.9,4.8,6.1,11.5,23.7,13.7,20.0,28.9,10.7
"....Sorsogon","01.1.1.16 - Corn",8.5,4.1,11.2,18.4,13.7,13.7,13.7,13.7,13.7,13.7,13.7,18.0,13.1
"....Sorsogon","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",8.6,9.1,8.0,8.1,7.4,6.7,5.4,4.2,3.8,2.8,2.4,2.4,5.7
"....Sorsogon","01.1.1.2 - Flour of cereals (ND)",5.0,8.5,8.2,9.9,14.8,13.0,14.9,14.9,12.2,12.4,8.8,8.8,10.9
"....Sorsogon","01.1.1.3 - Bread and bakery products (ND)",8.0,8.5,7.1,7.0,6.0,5.4,4.4,3.4,3.2,2.1,1.6,1.6,4.8
"....Sorsogon","01.1.1.4 - Breakfast cereals (ND)",2.9,2.9,2.0,2.4,3.2,3.2,4.1,5.1,5.1,6.4,6.4,6.4,4.2
"....Sorsogon","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",15.5,16.1,15.4,15.4,13.8,12.3,9.1,5.9,4.9,3.4,3.7,3.7,9.6
"....Sorsogon","01.1.1.9 - Other cereal and grain mill products (ND)",2.8,2.7,2.6,3.3,4.8,4.8,3.1,4.0,2.9,3.1,3.6,3.8,3.5
"....Sorsogon","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.1,-2.0,-1.9,1.5,2.9,0.1,-2.8,0.9,1.2,2.9,1.7,1.6,0.4
"....Sorsogon","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-1.0,-2.2,-2.2,1.9,3.7,0.4,-3.0,1.4,1.6,3.4,1.6,1.6,0.6
"....Sorsogon","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sorsogon","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-7.6,-8.9,-9.7,-4.9,-4.2,-8.2,-12.4,-7.9,5.2,10.3,11.8,8.3,-3.0
"....Sorsogon","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",-0.5,-0.2,-0.2,0.3,-0.3,-0.2,-0.5,-0.8,-0.9,0.2,1.3,1.1,-0.1
"....Sorsogon","01.1.3 - Fish and other seafood (ND)",-6.7,-1.1,0.4,-8.0,-16.0,0.8,16.5,9.1,14.5,9.5,17.2,13.9,3.1
"....Sorsogon","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-10.2,-2.9,-2.0,-12.6,-24.0,-1.9,18.5,11.0,17.2,8.4,18.9,15.7,1.1
"....Sorsogon","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",14.1,15.8,15.4,12.8,15.8,14.1,16.6,5.9,6.7,6.7,7.4,8.0,11.4
"....Sorsogon","01.1.3.3 - Fish preparations (ND)",13.5,14.7,13.7,14.4,14.4,8.5,6.1,3.9,4.5,4.8,5.0,5.2,8.8
"....Sorsogon","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-13.9,-18.9,-6.0,-4.6,1.4,-1.1,8.8,0.7,11.0,36.8,38.8,18.1,4.0
"....Sorsogon","01.1.3.6 - Other seafood preparations (ND)",6.6,6.6,6.6,6.6,6.6,4.7,8.1,8.1,8.1,8.1,8.1,8.1,7.2
