"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Sulu","0 - ALL ITEMS",4.0,4.0,8.4,6.6,5.9,6.5,5.8,4.1,1.1,-1.6,0.9,0.9,3.8
"....Sulu","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.2,5.2,11.3,8.7,7.5,8.4,7.3,5.0,1.3,-3.2,0.2,0.2,4.6
"....Sulu","01.1 - FOOD",5.0,5.0,11.5,8.7,7.5,8.5,7.3,4.8,1.3,-3.3,0.2,0.2,4.6
"....Sulu","01.1.1 - Cereals and cereal products (ND)",9.0,9.0,8.9,8.7,8.7,8.7,7.9,6.3,3.8,0.9,-0.1,-0.1,5.8
"....Sulu","01.1.1.1 - Cereals (ND)",5.0,5.1,2.2,1.5,1.3,1.2,-1.1,-2.5,6.8,7.4,9.3,8.2,3.7
"....Sulu","01.1.1.12 - Rice",1.0,1.0,-1.6,-0.5,-1.3,-1.0,-1.9,-1.1,28.1,30.1,29.6,26.6,9.1
"....Sulu","01.1.1.16 - Corn",6.9,7.1,4.0,2.4,2.5,2.2,-0.8,-3.1,-2.6,-2.7,0.1,-0.1,1.2
"....Sulu","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",9.2,9.2,9.1,8.9,8.9,8.9,8.1,6.5,3.7,0.7,-0.4,-0.4,5.9
"....Sulu","01.1.1.2 - Flour of cereals (ND)",16.2,16.2,15.2,12.7,12.7,12.7,11.9,7.3,4.3,0.0,0.0,1.8,8.9
"....Sulu","01.1.1.3 - Bread and bakery products (ND)",7.7,7.7,7.7,7.7,7.7,7.7,7.7,5.5,3.6,0.0,0.0,0.0,5.2
"....Sulu","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",1.2,1.2,1.4,1.4,1.4,1.4,0.7,0.0,-0.5,-0.6,-0.5,-0.5,0.6
"....Sulu","01.1.1.9 - Other cereal and grain mill products (ND)",13.6,13.6,13.6,13.6,13.6,13.6,11.7,11.7,6.2,2.8,-1.1,-1.6,9.0
"....Sulu","01.1.2 - Meat and other parts of slaughtered land animals (ND)",10.3,10.8,29.9,32.0,32.0,32.0,31.5,28.6,24.2,19.5,21.4,21.4,24.4
"....Sulu","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",10.3,10.8,29.9,32.0,32.0,32.0,31.5,28.7,24.2,19.5,21.4,21.4,24.4
"....Sulu","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.3 - Fish and other seafood (ND)",-4.2,-4.7,14.4,9.9,6.5,8.8,9.0,6.1,-0.1,-10.7,0.6,1.7,2.8
"....Sulu","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-5.3,-6.0,17.3,11.5,7.5,10.2,10.7,7.9,1.0,-11.5,1.5,3.2,3.6
"....Sulu","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",34.5,34.5,39.7,35.7,37.9,37.7,34.8,25.2,17.7,3.9,9.5,1.8,24.6
"....Sulu","01.1.3.3 - Fish preparations (ND)",0.5,0.5,1.2,1.2,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.9
"....Sulu","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-11.7,-11.8,-9.1,-8.0,-9.9,-9.3,-9.2,-11.8,-15.0,-14.8,-9.7,-8.2,-10.7
"....Sulu","01.1.3.6 - Other seafood preparations (ND)",5.3,5.3,6.4,6.0,5.7,5.7,6.5,6.7,3.0,3.0,3.0,2.3,4.9
"....Sulu","01.1.4 - Milk, other dairy products and eggs (ND)",0.1,1.4,4.5,0.6,0.8,-0.3,-0.9,-1.8,-3.6,-4.1,4.0,4.9,0.4
"....Sulu","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.4.3 - Other milk and cream (ND)",5.2,5.2,5.2,4.9,4.7,4.7,4.7,4.7,1.8,0.7,0.7,1.8,3.6
"....Sulu","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.4.5 - Cheese (ND)",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.3,2.0
"....Sulu","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sulu","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
