"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Surigao del Sur","0 - ALL ITEMS",8.3,8.0,6.2,5.8,5.6,5.6,4.0,5.2,6.9,5.8,4.9,5.7,6.0
"....Surigao del Sur","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",9.1,7.9,6.0,6.4,6.6,5.9,4.1,7.0,11.5,9.1,8.9,9.3,7.7
"....Surigao del Sur","01.1 - FOOD",9.2,7.9,5.9,6.3,6.6,5.7,3.8,7.0,12.0,9.4,9.4,9.9,7.8
"....Surigao del Sur","01.1.1 - Cereals and cereal products (ND)",2.8,1.8,2.4,4.8,4.5,4.9,5.5,15.3,27.6,24.7,27.7,27.7,12.6
"....Surigao del Sur","01.1.1.1 - Cereals (ND)",3.0,1.6,2.2,5.0,4.8,5.4,6.0,17.7,31.8,28.3,31.9,31.9,14.2
"....Surigao del Sur","01.1.1.12 - Rice",2.1,0.8,1.1,4.1,3.8,4.4,4.9,17.4,31.8,28.0,31.9,32.7,13.7
"....Surigao del Sur","01.1.1.16 - Corn",13.8,13.3,17.1,17.1,17.4,17.4,21.4,21.6,32.1,32.1,32.1,21.3,21.6
"....Surigao del Sur","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.8,3.3,3.4,3.4,2.5,2.5,2.6,2.0,3.4,3.8,3.3,3.7,3.1
"....Surigao del Sur","01.1.1.2 - Flour of cereals (ND)",18.5,19.1,19.0,18.7,16.8,16.9,13.5,11.9,9.2,8.2,7.3,6.2,13.5
"....Surigao del Sur","01.1.1.3 - Bread and bakery products (ND)",-1.2,-1.0,-1.0,-0.8,-1.4,-1.3,-0.8,-0.8,1.7,2.1,1.5,2.8,0.0
"....Surigao del Sur","01.1.1.4 - Breakfast cereals (ND)",-0.3,0.4,0.4,0.5,0.5,1.0,3.6,4.2,4.2,5.3,5.5,5.6,2.6
"....Surigao del Sur","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",11.0,12.5,12.8,12.3,11.0,10.9,10.9,8.3,8.1,8.4,7.6,6.1,9.9
"....Surigao del Sur","01.1.1.9 - Other cereal and grain mill products (ND)",5.0,4.8,4.8,4.8,3.3,2.1,1.1,1.1,0.3,1.2,2.1,2.2,2.7
"....Surigao del Sur","01.1.2 - Meat and other parts of slaughtered land animals (ND)",10.9,8.7,7.3,7.1,6.3,3.7,-0.4,-0.1,0.3,-0.2,-0.1,0.0,3.5
"....Surigao del Sur","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",12.1,9.3,7.6,7.2,6.2,3.5,-1.4,-0.7,-0.5,-1.1,-0.8,-0.8,3.2
"....Surigao del Sur","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",8.7,4.0,4.9,5.8,5.1,4.5,1.7,0.9,3.0,1.8,0.3,0.3,3.3
"....Surigao del Sur","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",5.1,6.4,6.4,6.3,7.2,4.8,4.1,3.3,4.0,3.7,4.2,4.4,5.0
"....Surigao del Sur","01.1.3 - Fish and other seafood (ND)",2.6,5.1,2.1,1.9,4.0,1.5,-1.6,-0.5,-0.2,-4.4,-10.5,-6.9,-0.6
"....Surigao del Sur","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",4.0,6.6,0.9,-0.1,3.6,0.7,-3.0,-1.7,-1.6,-7.0,-16.0,-10.9,-2.0
"....Surigao del Sur","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-6.9,1.2,8.0,10.7,12.0,9.8,9.4,7.6,6.4,6.0,4.9,6.4,6.1
"....Surigao del Sur","01.1.3.3 - Fish preparations (ND)",10.3,9.5,11.3,11.9,9.5,7.0,7.6,6.0,5.6,4.4,4.4,2.5,7.4
"....Surigao del Sur","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-2.4,-1.8,-0.7,0.6,-1.9,-2.6,-6.3,-2.8,-1.0,-3.2,-0.5,0.0,-1.9
"....Surigao del Sur","01.1.3.6 - Other seafood preparations (ND)",6.3,11.3,14.2,20.1,20.1,20.1,31.9,31.9,27.9,27.9,23.9,23.9,21.7
"....Surigao del Sur","01.1.4 - Milk, other dairy products and eggs (ND)",2.4,2.0,7.7,7.9,8.2,9.1,7.5,5.4,5.0,7.2,10.7,14.3,7.3
"....Surigao del Sur","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.4.3 - Other milk and cream (ND)",-0.2,-0.2,7.6,8.9,9.4,10.1,10.0,10.0,10.0,10.0,10.1,14.6,8.4
"....Surigao del Sur","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.4.5 - Cheese (ND)",5.5,5.5,6.0,6.2,6.7,6.4,7.9,7.9,7.8,7.8,7.8,7.7,6.9
"....Surigao del Sur","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.4.8 - Eggs (ND)",5.3,4.4,7.8,6.8,6.8,8.0,4.6,0.3,-0.6,4.2,11.4,13.9,6.0
"....Surigao del Sur","01.1.5 - Oils and fats (ND)",19.3,20.2,15.2,12.0,12.1,13.3,11.5,11.4,5.4,4.0,3.5,2.7,10.6
"....Surigao del Sur","01.1.5.1 - Vegetable oils (ND)",20.8,21.8,16.2,12.5,12.5,14.2,12.5,12.5,5.6,4.1,3.6,2.9,11.2
"....Surigao del Sur","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",11.5,22.7,22.7,22.7,23.2,22.5,21.3,21.4,20.0,20.0,20.0,18.8,20.5
"....Surigao del Sur","01.1.5.3 - Margarine and similar preparations (ND)",10.7,10.7,8.6,8.6,8.6,7.5,4.3,4.3,4.2,3.0,1.9,0.0,5.9
"....Surigao del Sur","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Surigao del Sur","01.1.6 - Fruits and nuts (ND)",10.6,12.8,7.7,13.4,9.4,10.6,8.0,7.0,9.8,12.1,11.9,10.6,10.3
"....Surigao del Sur","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",10.3,12.5,7.6,13.5,9.3,10.9,8.4,7.5,10.4,12.5,12.4,10.9,10.5
"....Surigao del Sur","01.1.6.2 - Citrus fruits, fresh (ND)",37.5,32.2,-1.5,-3.3,23.4,4.5,0.0,-44.3,-42.2,-34.9,-27.0,-24.6,-8.3
"....Surigao del Sur","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",19.5,17.1,12.5,15.0,17.1,19.5,14.3,4.4,4.4,11.1,8.5,4.3,12.0
"....Surigao del Sur","01.1.6.5 - Other fruits, fresh (ND)",30.8,36.8,15.5,25.0,9.8,-6.9,-24.1,-2.3,7.3,21.9,17.4,26.1,11.2
"....Surigao del Sur","01.1.6.7 - Fruit, dried and dehydrated (ND)",-2.9,5.3,8.9,9.3,9.3,9.2,9.2,9.4,9.4,11.7,11.7,11.8,8.5
"....Surigao del Sur","01.1.6.8 - Nuts, in shell or shelled (ND)",4.4,11.2,9.6,7.5,5.3,6.5,6.9,8.4,6.1,4.9,4.2,3.8,6.5
"....Surigao del Sur","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",8.2,10.1,11.1,11.3,12.1,11.8,12.0,12.0,9.4,8.5,8.9,9.2,10.4
"....Surigao del Sur","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",42.8,29.1,14.1,7.9,11.7,8.8,6.9,5.3,12.2,3.1,3.8,0.3,12.3
"....Surigao del Sur","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",2.7,6.0,-0.2,2.4,4.8,2.8,0.1,5.8,14.1,7.4,9.7,7.9,5.2
"....Surigao del Sur","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",20.6,23.4,11.3,1.0,-1.1,-4.3,-6.6,-6.4,1.8,2.9,8.3,4.1,4.7
"....Surigao del Sur","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",15.1,18.3,6.7,0.6,-0.7,0.1,-11.6,-9.7,8.1,0.2,-0.3,-5.0,1.7
"....Surigao del Sur","01.1.7.4 - Other vegetables, fresh or chilled (ND)",118.0,61.1,35.5,23.9,50.5,42.9,44.8,29.2,29.5,-6.9,-14.4,-17.4,30.0
"....Surigao del Sur","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",23.2,23.5,12.2,22.2,17.7,20.2,12.7,7.4,16.5,20.3,27.0,27.9,19.0
"....Surigao del Sur","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",14.2,15.5,15.4,17.0,18.7,26.1,28.0,28.0,21.9,16.8,16.8,17.0,19.6
"....Surigao del Sur","01.1.8 - Sugar, confectionery and desserts (ND)",49.9,46.1,39.2,36.8,33.6,29.9,15.2,7.2,0.0,-3.7,-8.4,-9.0,16.5
"....Surigao del Sur","01.1.8.1 - Cane and beet sugar (ND)",83.4,71.7,58.4,53.8,48.2,41.0,18.5,6.0,-4.4,-9.5,-16.1,-16.9,19.9
"....Surigao del Sur","01.1.8.3 - Jams, fruit jellies, marmalades, fruit pur�e and pastes, honey (ND)",15.4,20.4,20.4,20.4,20.4,20.4,22.9,22.9,22.9,9.4,9.4,7.5,17.4
"....Surigao del Sur","01.1.8.4 - Nut pur�e, nut butter and nut pastes (ND)",4.2,7.0,7.1,7.1,5.0,5.0,5.2,5.2,4.2,4.2,5.7,3.7,5.3
"....Surigao del Sur","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",-0.4,0.9,0.9,0.9,2.2,2.2,3.4,3.4,2.8,2.8,2.8,2.8,2.1
"....Surigao del Sur","01.1.8.6 - Ice, ice cream and sorbet (ND)",12.4,15.8,15.8,15.8,15.8,15.8,9.6,9.6,9.1,9.1,9.1,9.1,12.2
"....Surigao del Sur","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",4.4,5.7,6.6,6.2,7.6,10.5,10.2,8.9,9.6,9.6,9.3,8.6,8.1
"....Surigao del Sur","01.1.9 - Ready-made food and other food products n.e.c. (ND)",7.2,8.5,8.4,9.4,9.8,8.9,7.6,6.9,6.8,6.7,7.5,6.2,7.8
"....Surigao del Sur","01.1.9.2 - Baby food (ND)",7.7,9.8,10.7,12.7,17.8,17.3,16.8,15.0,14.8,15.0,15.5,15.5,14.1
"....Surigao del Sur","01.1.9.3 - Salt, condiments and sauces (ND)",9.7,10.9,10.9,10.9,9.8,8.6,6.8,5.7,5.4,5.5,5.4,5.1,7.8
"....Surigao del Sur","01.1.9.4 - Spices, culinary herbs and seeds (ND)",2.8,3.3,1.9,3.5,1.6,0.7,-0.3,0.3,0.6,-0.1,2.5,-1.3,1.2
"....Surigao del Sur","01.1.9.9 - Other food products n.e.c. (ND)",0.3,3.2,4.9,7.4,8.4,10.5,14.1,16.0,18.0,20.4,20.8,21.9,12.2
"....Surigao del Sur","01.2 - NON-ALCOHOLIC BEVERAGES",7.1,7.4,7.3,7.7,7.5,8.4,8.6,7.8,6.1,4.9,3.4,2.4,6.5
