"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Bataan","0 - ALL ITEMS",2.1,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.3,7.7,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1 - FOOD",5.3,8.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1 - Cereals and cereal products (ND)",20.7,21.4,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.1 - Cereals (ND)",28.4,30.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.12 - Rice",29.0,30.7,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.16 - Corn",2.0,0.7,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",7.2,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.2 - Flour of cereals (ND)",4.1,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.3 - Bread and bakery products (ND)",8.2,7.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.4 - Breakfast cereals (ND)",5.3,4.5,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",6.4,5.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.1.9 - Other cereal and grain mill products (ND)",4.2,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",5.4,6.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",6.1,7.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",8.8,10.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",8.9,12.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.9,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3 - Fish and other seafood (ND)",4.2,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",3.6,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",0.8,0.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3.3 - Fish preparations (ND)",7.7,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",6.0,6.4,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.3.6 - Other seafood preparations (ND)",21.0,19.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4 - Milk, other dairy products and eggs (ND)",4.7,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.3 - Other milk and cream (ND)",3.8,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.5 - Cheese (ND)",2.2,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.4.8 - Eggs (ND)",5.7,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.5 - Oils and fats (ND)",-8.9,-8.3,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.5.1 - Vegetable oils (ND)",-9.9,-9.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",1.3,1.4,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.5.3 - Margarine and similar preparations (ND)",0.9,0.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.5.9 - Other animal oils and fats (ND)",-3.1,-3.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6 - Fruits and nuts (ND)",11.6,9.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",10.3,7.5,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.2 - Citrus fruits, fresh (ND)",17.2,23.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",30.9,21.4,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.7 - Fruit, dried and dehydrated (ND)",17.7,13.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.8 - Nuts, in shell or shelled (ND)",47.1,53.5,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",4.1,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-23.1,-4.3,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-9.4,-6.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-14.4,8.5,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-16.5,-21.6,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-49.1,-24.3,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",0.4,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.8,1.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8 - Sugar, confectionery and desserts (ND)",3.7,1.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.1 - Cane and beet sugar (ND)",1.3,-4.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",7.6,6.0,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",13.5,12.1,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",8.3,6.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.6 - Ice, ice cream and sorbet (ND)",0.2,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",8.3,7.9,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.9 - Ready-made food and other food products n.e.c. (ND)",3.4,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.9.2 - Baby food (ND)",0.1,1.9,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.9.3 - Salt, condiments and sauces (ND)",5.7,5.8,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.9.4 - Spices, culinary herbs and seeds (ND)",1.2,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Bataan","01.1.9.9 - Other food products n.e.c. (ND)",6.1,5.8,..,..,..,..,..,..,..,..,..,..,..
