"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Benguet","0 - ALL ITEMS",2.8,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.2,1.4,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1 - FOOD",0.0,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1 - Cereals and cereal products (ND)",7.8,11.3,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.1 - Cereals (ND)",8.3,12.7,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.12 - Rice",8.8,13.2,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.16 - Corn",-10.0,-5.3,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",6.8,7.3,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.2 - Flour of cereals (ND)",16.2,16.4,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.3 - Bread and bakery products (ND)",3.3,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.4 - Breakfast cereals (ND)",6.6,6.0,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.2,5.2,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.1.9 - Other cereal and grain mill products (ND)",31.0,30.1,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-0.6,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-1.5,1.0,..,..,..,..,..,..,..,..,..,..,..
