"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Cebu","0 - ALL ITEMS",-0.4,-0.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",-1.2,-0.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1 - FOOD",-1.6,-0.5,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1 - Cereals and cereal products (ND)",-1.0,0.3,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.1 - Cereals (ND)",-3.8,-2.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.12 - Rice",18.2,18.4,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.16 - Corn",-25.0,-22.4,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",11.4,11.1,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.2 - Flour of cereals (ND)",6.0,3.7,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.3 - Bread and bakery products (ND)",12.9,12.7,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.4 - Breakfast cereals (ND)",9.3,7.9,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",8.2,7.7,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.1.9 - Other cereal and grain mill products (ND)",8.9,8.5,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.2 - Meat and other parts of slaughtered land animals (ND)",10.3,12.5,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",9.5,12.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",0.8,6.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",4.8,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",13.7,14.6,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3 - Fish and other seafood (ND)",-7.7,-7.6,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-12.0,-9.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",6.4,-10.5,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3.3 - Fish preparations (ND)",6.2,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-0.2,3.9,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.3.6 - Other seafood preparations (ND)",-1.9,-3.8,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4 - Milk, other dairy products and eggs (ND)",12.6,11.4,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.3 - Other milk and cream (ND)",8.2,8.3,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.5 - Cheese (ND)",6.1,4.7,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.7 - Milk-based dessert and beverages (ND)",4.2,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.4.8 - Eggs (ND)",19.9,16.5,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.5 - Oils and fats (ND)",2.6,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Cebu","01.1.5.1 - Vegetable oils (ND)",2.6,1.2,..,..,..,..,..,..,..,..,..,..,..
