"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Cebu (Capital)","0 - ALL ITEMS",4.5,4.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",6.6,6.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1 - FOOD",6.7,6.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1 - Cereals and cereal products (ND)",14.4,13.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.1 - Cereals (ND)",17.2,17.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.12 - Rice",19.0,19.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.16 - Corn",-7.5,-16.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",7.0,5.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.2 - Flour of cereals (ND)",7.1,6.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.3 - Bread and bakery products (ND)",8.1,5.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.4 - Breakfast cereals (ND)",11.0,11.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.4,3.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",6.3,5.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.6,-0.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-3.8,-1.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",5.1,5.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.6,4.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",8.4,7.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.3 - Fish and other seafood (ND)",16.3,12.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",18.9,17.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Cebu (Capital)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",0.6,-12.0,..,..,..,..,..,..,..,..,..,..,..
