"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Isabela","0 - ALL ITEMS",6.5,5.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",6.6,7.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1 - FOOD",7.2,7.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1 - Cereals and cereal products (ND)",21.0,21.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.1 - Cereals (ND)",29.2,29.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.12 - Rice",30.0,30.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.16 - Corn",1.3,2.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.7,2.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.2 - Flour of cereals (ND)",2.9,2.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.3 - Bread and bakery products (ND)",4.5,4.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",-3.8,-3.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.9 - Other cereal and grain mill products (ND)",3.7,3.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.3,0.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-1.3,0.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
