"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Olongapo","0 - ALL ITEMS",3.4,4.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.7,3.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1 - FOOD",2.6,3.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1 - Cereals and cereal products (ND)",14.3,14.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.1 - Cereals (ND)",21.2,21.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.12 - Rice",21.8,21.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.16 - Corn",-1.9,1.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.9,5.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.2 - Flour of cereals (ND)",22.5,16.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.3 - Bread and bakery products (ND)",6.2,6.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.4 - Breakfast cereals (ND)",3.6,3.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.5,4.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.9 - Other cereal and grain mill products (ND)",2.5,2.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-4.4,-2.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-6.7,-3.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.1,1.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.3,3.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3 - Fish and other seafood (ND)",1.2,1.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",1.3,1.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",2.6,2.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.3 - Fish preparations (ND)",3.2,1.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-1.4,0.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4 - Milk, other dairy products and eggs (ND)",5.9,1.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.3 - Other milk and cream (ND)",7.8,6.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.5 - Cheese (ND)",3.5,3.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.4.8 - Eggs (ND)",4.7,-3.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.5 - Oils and fats (ND)",-3.0,-3.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.5.1 - Vegetable oils (ND)",-4.5,-5.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",-2.9,-0.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.5.3 - Margarine and similar preparations (ND)",-0.3,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6 - Fruits and nuts (ND)",4.2,9.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",8.3,13.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.2 - Citrus fruits, fresh (ND)",-37.0,-30.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",3.7,13.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.7 - Fruit, dried and dehydrated (ND)",6.3,4.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.8 - Nuts, in shell or shelled (ND)",-22.3,-19.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",21.8,18.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-11.7,-4.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",8.8,-1.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-10.0,9.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-7.0,-1.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-38.7,-29.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",17.3,15.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",16.8,16.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.8 - Sugar, confectionery and desserts (ND)",4.0,3.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.8.1 - Cane and beet sugar (ND)",-7.4,-7.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",4.4,4.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",17.0,12.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",11.7,16.0,..,..,..,..,..,..,..,..,..,..,..
