"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Tacloban (Capital)","0 - ALL ITEMS",3.1,2.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",7.5,6.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1 - FOOD",7.9,6.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1 - Cereals and cereal products (ND)",22.7,20.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.1 - Cereals (ND)",31.1,28.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.12 - Rice",31.2,28.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.16 - Corn",0.0,0.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.9,2.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.2 - Flour of cereals (ND)",0.1,0.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.3 - Bread and bakery products (ND)",2.5,1.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.4 - Breakfast cereals (ND)",6.8,4.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",1.9,2.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",8.8,5.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",1.0,0.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",0.8,-0.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",1.4,0.3,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",1.5,1.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.4,2.0,..,..,..,..,..,..,..,..,..,..,..
"....City of Tacloban (Capital)","01.1.3 - Fish and other seafood (ND)",1.0,2.3,..,..,..,..,..,..,..,..,..,..,..
