"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Masbate","0 - ALL ITEMS",4.2,4.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.3,5.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1 - FOOD",5.7,5.9,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1 - Cereals and cereal products (ND)",18.4,18.6,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.1 - Cereals (ND)",23.4,23.6,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.12 - Rice",24.8,24.9,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.16 - Corn",8.6,8.6,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.9,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.2 - Flour of cereals (ND)",1.2,-0.3,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.3 - Bread and bakery products (ND)",0.6,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.4 - Breakfast cereals (ND)",0.3,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",6.1,4.7,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.1.9 - Other cereal and grain mill products (ND)",0.8,1.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.0,-2.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-2.9,-4.1,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",5.9,0.1,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",6.5,5.0,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3 - Fish and other seafood (ND)",-0.4,-0.2,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-2.8,-2.0,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",13.2,8.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3.3 - Fish preparations (ND)",6.7,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",2.3,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.3.6 - Other seafood preparations (ND)",9.4,9.4,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.4 - Milk, other dairy products and eggs (ND)",5.4,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.4.3 - Other milk and cream (ND)",5.5,5.1,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Masbate","01.1.4.5 - Cheese (ND)",4.2,3.5,..,..,..,..,..,..,..,..,..,..,..
