"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Occidental Mindoro","0 - ALL ITEMS",3.9,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.8,3.7,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1 - FOOD",2.3,3.4,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1 - Cereals and cereal products (ND)",4.7,8.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.1 - Cereals (ND)",4.0,9.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.12 - Rice",4.1,9.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.16 - Corn",1.4,8.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",7.6,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.2 - Flour of cereals (ND)",4.1,0.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.3 - Bread and bakery products (ND)",6.4,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",14.6,11.4,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.9 - Other cereal and grain mill products (ND)",1.6,1.9,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.2 - Meat and other parts of slaughtered land animals (ND)",4.0,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",2.9,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",8.3,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",7.9,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3 - Fish and other seafood (ND)",3.8,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",2.3,2.4,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",15.2,9.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3.3 - Fish preparations (ND)",3.7,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",4.4,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.3.6 - Other seafood preparations (ND)",4.8,-0.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4 - Milk, other dairy products and eggs (ND)",9.0,5.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.3 - Other milk and cream (ND)",4.4,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.4 - Non-animal milk (ND)",16.1,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.5 - Cheese (ND)",9.6,9.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.7 - Milk-based dessert and beverages (ND)",10.6,14.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.4.8 - Eggs (ND)",13.3,8.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.5 - Oils and fats (ND)",13.0,12.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.5.1 - Vegetable oils (ND)",14.5,14.4,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.5.3 - Margarine and similar preparations (ND)",4.2,-0.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6 - Fruits and nuts (ND)",-20.0,-25.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",-23.3,-30.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.2 - Citrus fruits, fresh (ND)",2.8,12.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",24.7,37.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.8 - Nuts, in shell or shelled (ND)",-22.9,-9.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",5.6,10.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-12.9,-9.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-9.2,-7.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-7.8,-6.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-1.3,-4.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-24.3,-14.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-8.8,-13.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",8.1,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8 - Sugar, confectionery and desserts (ND)",-2.5,-6.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.1 - Cane and beet sugar (ND)",-6.8,-11.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",21.1,20.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",5.0,0.2,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",22.3,35.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.6 - Ice, ice cream and sorbet (ND)",8.8,7.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",12.2,7.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.9 - Ready-made food and other food products n.e.c. (ND)",7.9,7.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.9.2 - Baby food (ND)",12.1,8.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.9.3 - Salt, condiments and sauces (ND)",11.8,12.9,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.9.4 - Spices, culinary herbs and seeds (ND)",-14.9,-13.7,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.9.9 - Other food products n.e.c. (ND)",16.7,18.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2 - NON-ALCOHOLIC BEVERAGES",10.5,8.7,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.1 - Fruit and vegetable juices (ND)",14.9,14.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.1.0 - Fruit and vegetable juices (ND)",14.9,14.9,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.2 - Coffee and coffee substitutes (ND)",10.7,10.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.2.0 - Coffee and coffee substitutes (ND)",10.7,10.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.3 - Tea, maté and other plant products for infusion (ND)",13.9,9.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",13.9,9.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.4 - Cocoa drinks (ND)",12.0,5.9,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.4.0 - Cocoa drinks (ND)",12.0,6.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.5 - Water (ND)",5.8,0.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.5.0 - Water (ND)",5.8,0.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.6 - Soft drinks (ND)",13.1,13.8,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.6.0 - Soft drinks (ND)",13.1,13.7,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.9 - Other non-alcoholic beverages (ND)",9.0,8.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.2.9.0 - Other non-alcoholic beverages (ND)",9.1,8.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02 - ALCOHOLIC BEVERAGES AND TOBACCO",20.0,19.0,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1 - ALCOHOLIC BEVERAGES",11.8,11.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.1 - Spirits and liquors (ND)",9.5,9.4,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.1.0 - Spirits and liquors (ND)",9.5,9.3,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.2 - Wine (ND)",20.8,20.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.2.1 - Wine from grapes (ND)",20.8,20.6,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.3 - Beer (ND)",26.4,25.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.1.3.0 - Beer (ND)",26.5,25.1,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.3 - TOBACCO",22.7,21.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.3.0 - Tobacco (ND)",22.7,21.5,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.3.0.1 - Cigarettes (ND)",24.1,22.7,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","02.3.0.9 - Other tobacco products (ND)",4.6,5.1,..,..,..,..,..,..,..,..,..,..,..
