"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Quirino","0 - ALL ITEMS",1.8,2.5,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.3,5.7,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1 - FOOD",5.4,5.8,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1 - Cereals and cereal products (ND)",25.6,26.8,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.1 - Cereals (ND)",30.3,31.7,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.12 - Rice",30.7,32.2,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.16 - Corn",8.9,10.2,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",8.9,8.7,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.2 - Flour of cereals (ND)",6.4,7.3,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.3 - Bread and bakery products (ND)",11.3,10.6,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.4 - Breakfast cereals (ND)",22.6,22.6,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",6.1,6.4,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.1.9 - Other cereal and grain mill products (ND)",5.9,6.5,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-2.0,-1.2,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-3.3,-2.6,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Quirino","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",2.1,6.7,..,..,..,..,..,..,..,..,..,..,..
