"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"..Region IV-A (CALABARZON)","0 - ALL ITEMS",2.0,3.3,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.1,2.4,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1 - FOOD",-0.2,2.5,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1 - Cereals and cereal products (ND)",13.1,12.7,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.1 - Cereals (ND)",17.3,16.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.12 - Rice",17.5,17.1,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.16 - Corn",4.2,0.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.5,5.4,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.2 - Flour of cereals (ND)",1.4,3.0,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.3 - Bread and bakery products (ND)",5.8,5.6,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.4 - Breakfast cereals (ND)",7.1,5.3,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.6,4.2,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.1.9 - Other cereal and grain mill products (ND)",5.3,6.2,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-3.2,-0.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-4.9,-1.8,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",6.1,5.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-1.4,1.1,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.1,1.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3 - Fish and other seafood (ND)",2.2,1.1,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",1.8,0.4,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",6.4,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3.3 - Fish preparations (ND)",9.0,6.5,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-3.1,-0.4,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.3.6 - Other seafood preparations (ND)",4.7,5.0,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.4 - Milk, other dairy products and eggs (ND)",4.4,2.4,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.4.1 - Raw and whole milk (ND)",5.5,4.6,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.4.3 - Other milk and cream (ND)",3.1,3.2,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.4.5 - Cheese (ND)",3.6,3.7,..,..,..,..,..,..,..,..,..,..,..
