"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"..Region XII (SOCCSKSARGEN)","0 - ALL ITEMS",4.1,5.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.6,6.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1 - FOOD",5.7,7.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1 - Cereals and cereal products (ND)",21.3,23.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.1 - Cereals (ND)",26.3,29.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.12 - Rice",28.8,31.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.16 - Corn",-0.9,-0.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.6,4.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.2 - Flour of cereals (ND)",2.2,1.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.3 - Bread and bakery products (ND)",5.7,4.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.4 - Breakfast cereals (ND)",8.2,7.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.7,4.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.1.9 - Other cereal and grain mill products (ND)",6.9,6.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.6,0.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",2.2,-0.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",2.8,0.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",4.0,4.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3 - Fish and other seafood (ND)",-4.2,-0.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-5.2,0.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-7.0,-7.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3.3 - Fish preparations (ND)",7.5,4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-3.6,0.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.3.6 - Other seafood preparations (ND)",3.9,4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4 - Milk, other dairy products and eggs (ND)",10.6,7.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.3 - Other milk and cream (ND)",5.7,4.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.5 - Cheese (ND)",4.4,3.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.6 - Yoghurt and similar products (ND)",1.4,0.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.7 - Milk-based dessert and beverages (ND)",8.7,8.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.8 - Eggs (ND)",15.7,10.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5 - Oils and fats (ND)",-3.3,-2.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.1 - Vegetable oils (ND)",-3.4,-2.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",5.3,5.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.3 - Margarine and similar preparations (ND)",-3.4,-3.4,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.9 - Other animal oils and fats (ND)",-7.0,-5.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6 - Fruits and nuts (ND)",7.3,4.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",8.0,4.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.2 - Citrus fruits, fresh (ND)",-10.2,-11.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-2.0,-2.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.5 - Other fruits, fresh (ND)",-0.6,-4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.7 - Fruit, dried and dehydrated (ND)",4.5,4.5,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.8 - Nuts, in shell or shelled (ND)",-0.8,-3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",1.0,1.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-15.8,-9.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",0.2,3.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",-6.0,4.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-2.1,3.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-36.7,-32.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",13.5,6.3,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.9,3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8 - Sugar, confectionery and desserts (ND)",-5.9,-7.6,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.1 - Cane and beet sugar (ND)",-12.3,-15.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",6.8,6.7,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",7.1,7.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",4.5,4.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.6 - Ice, ice cream and sorbet (ND)",2.5,2.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",7.2,6.9,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.9 - Ready-made food and other food products n.e.c. (ND)",5.7,6.0,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.9.2 - Baby food (ND)",5.6,6.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.9.3 - Salt, condiments and sauces (ND)",5.4,5.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.9.4 - Spices, culinary herbs and seeds (ND)",6.0,7.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.9.9 - Other food products n.e.c. (ND)",9.7,8.2,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.2 - NON-ALCOHOLIC BEVERAGES",3.8,2.8,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.2.1 - Fruit and vegetable juices (ND)",3.0,3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.2.1.0 - Fruit and vegetable juices (ND)",3.0,3.1,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.2.2 - Coffee and coffee substitutes (ND)",4.6,3.1,..,..,..,..,..,..,..,..,..,..,..
