"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Sarangani","0 - ALL ITEMS",4.7,5.0,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",7.5,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1 - FOOD",7.8,8.0,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1 - Cereals and cereal products (ND)",25.8,25.2,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.1 - Cereals (ND)",27.7,28.9,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.12 - Rice",38.5,38.6,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.16 - Corn",0.7,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",20.0,14.4,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.2 - Flour of cereals (ND)",-0.6,-1.0,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.3 - Bread and bakery products (ND)",29.8,20.2,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.5,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.1.9 - Other cereal and grain mill products (ND)",8.5,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Sarangani","01.1.2 - Meat and other parts of slaughtered land animals (ND)",3.8,1.7,..,..,..,..,..,..,..,..,..,..,..
