"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Zamboanga Sibugay","0 - ALL ITEMS",2.1,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.6,4.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1 - FOOD",6.5,5.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1 - Cereals and cereal products (ND)",24.6,25.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.1 - Cereals (ND)",29.7,30.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.12 - Rice",37.2,36.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.16 - Corn",0.0,5.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",3.5,3.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.2 - Flour of cereals (ND)",5.6,0.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.3 - Bread and bakery products (ND)",2.8,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.4 - Breakfast cereals (ND)",4.4,3.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",5.0,4.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.1.9 - Other cereal and grain mill products (ND)",3.0,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-0.4,-2.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",-1.4,-4.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",3.3,-1.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.7,7.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3 - Fish and other seafood (ND)",-2.4,-3.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-5.6,-7.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",2.1,-4.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3.3 - Fish preparations (ND)",6.5,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",5.0,8.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4 - Milk, other dairy products and eggs (ND)",12.6,7.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.3 - Other milk and cream (ND)",7.8,6.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.5 - Cheese (ND)",4.6,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.4.8 - Eggs (ND)",19.2,7.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.5 - Oils and fats (ND)",-1.8,-1.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.5.1 - Vegetable oils (ND)",-2.0,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",2.3,1.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.5.3 - Margarine and similar preparations (ND)",2.2,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.5.9 - Other animal oils and fats (ND)",0.0,0.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6 - Fruits and nuts (ND)",4.6,0.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",5.5,1.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.2 - Citrus fruits, fresh (ND)",-16.5,-12.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-14.3,-14.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.7 - Fruit, dried and dehydrated (ND)",1.1,0.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.8 - Nuts, in shell or shelled (ND)",-4.8,-11.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",1.0,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-19.8,-22.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga Sibugay","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",0.2,-16.1,..,..,..,..,..,..,..,..,..,..,..
