"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Zamboanga del Norte","0 - ALL ITEMS",0.1,-0.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.3,0.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1 - FOOD",2.2,0.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1 - Cereals and cereal products (ND)",14.7,16.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.1 - Cereals (ND)",16.6,18.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.12 - Rice",22.5,23.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.16 - Corn",4.7,7.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.7,5.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.2 - Flour of cereals (ND)",0.7,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.3 - Bread and bakery products (ND)",3.3,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.4 - Breakfast cereals (ND)",-1.2,-3.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",7.6,6.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.1.9 - Other cereal and grain mill products (ND)",19.0,16.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",1.5,-0.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",1.5,-1.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",6.7,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.0,1.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3 - Fish and other seafood (ND)",-11.8,-14.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",-13.0,-15.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",6.4,1.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3.3 - Fish preparations (ND)",27.6,43.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-36.7,-40.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4 - Milk, other dairy products and eggs (ND)",11.6,9.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.3 - Other milk and cream (ND)",8.2,7.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.5 - Cheese (ND)",10.4,6.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.4.8 - Eggs (ND)",15.7,11.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.5 - Oils and fats (ND)",-5.4,-8.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.5.1 - Vegetable oils (ND)",-7.8,-10.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.5.3 - Margarine and similar preparations (ND)",1.7,-1.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6 - Fruits and nuts (ND)",4.5,5.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",4.6,6.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.2 - Citrus fruits, fresh (ND)",-0.6,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",25.5,5.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.5 - Other fruits, fresh (ND)",7.0,-11.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.7 - Fruit, dried and dehydrated (ND)",2.9,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.8 - Nuts, in shell or shelled (ND)",0.0,-1.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",4.9,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-13.4,-19.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",3.7,-11.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",0.6,-11.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",1.8,-13.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.4 - Other vegetables, fresh or chilled (ND)",-39.2,-38.9,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",25.8,13.6,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8 - Sugar, confectionery and desserts (ND)",-5.4,-10.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.1 - Cane and beet sugar (ND)",-12.0,-18.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",17.2,17.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",14.2,9.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",13.1,7.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.6 - Ice, ice cream and sorbet (ND)",4.5,3.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",19.6,17.1,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.9 - Ready-made food and other food products n.e.c. (ND)",9.8,7.2,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.9.2 - Baby food (ND)",6.4,4.8,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.9.3 - Salt, condiments and sauces (ND)",10.4,8.3,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.9.4 - Spices, culinary herbs and seeds (ND)",12.1,7.7,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.1.9.9 - Other food products n.e.c. (ND)",6.3,4.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.2 - NON-ALCOHOLIC BEVERAGES",5.9,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.2.1 - Fruit and vegetable juices (ND)",6.4,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.2.1.0 - Fruit and vegetable juices (ND)",6.3,3.4,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Norte","01.2.2 - Coffee and coffee substitutes (ND)",10.8,5.9,..,..,..,..,..,..,..,..,..,..,..
