"Geolocation","Commodity Description","1993 Jan","1993 Feb","1993 Mar","1993 Apr","1993 May","1993 Jun","1993 Jul","1993 Aug","1993 Sep","1993 Oct","1993 Nov","1993 Dec","1993 Ave"
"PHILIPPINES","0 - ALL ITEMS",7.4,7.3,6.8,6.8,6.0,6.2,6.1,6.3,6.7,6.9,6.9,7.4,6.7
"..National Capital Region (NCR)","0 - ALL ITEMS",9.9,9.7,8.7,9.0,7.0,8.0,8.1,8.1,8.3,10.0,9.7,10.7,8.9
"..Areas Outside National Capital Region (NCR)","0 - ALL ITEMS",6.5,6.4,5.9,5.9,5.9,4.9,5.8,5.5,5.7,5.7,6.1,6.1,5.9
"..Cordillera Administrative Region (CAR)","0 - ALL ITEMS",4.5,3.4,5.2,6.0,6.7,6.4,8.1,7.6,8.5,8.9,7.4,7.4,6.7
"....Abra","0 - ALL ITEMS",1.8,1.8,3.0,6.8,5.6,6.3,7.8,6.7,11.1,8.8,7.8,8.9,6.4
"....Benguet","0 - ALL ITEMS",4.9,2.8,5.0,5.4,6.8,6.5,8.7,7.7,7.6,9.7,7.0,6.5,6.5
"....Ifugao","0 - ALL ITEMS",6.5,7.2,10.3,5.9,6.2,7.5,7.7,9.6,11.5,11.0,9.3,9.7,8.5
"....Kalinga","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","0 - ALL ITEMS",6.8,7.2,9.4,10.1,10.3,10.0,9.7,9.2,7.8,7.2,8.8,9.2,8.8
"....Apayao","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","0 - ALL ITEMS",8.2,7.4,9.3,10.0,10.0,8.0,9.7,8.8,9.2,10.4,10.1,8.9,9.2
"....Ilocos Norte","0 - ALL ITEMS",12.0,10.0,11.1,11.8,11.2,10.1,12.8,13.2,12.6,11.0,9.8,8.6,11.2
