"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"PHILIPPINES","Ammophos (16-20-0)",975.46,963.11,966.01,976.06,971.19,959.59,932.95,914.34,916.27,929.91,940.43,972.30,951.47
"PHILIPPINES","Ammosul (21-0-0)",550.86,542.76,548.06,569.02,562.66,556.26,528.46,516.28,521.06,536.47,542.05,559.98,544.49
"PHILIPPINES","Complete (14-14-14)",1117.53,1118.01,1116.55,1112.17,1108.07,1095.88,1069.44,1044.47,1038.54,1047.69,1050.43,1082.10,1083.41
"PHILIPPINES","Urea (45-0-0)",1007.73,1012.28,1011.21,1008.26,1000.50,984.52,953.47,927.85,922.10,955.69,974.81,1014.93,981.11
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",1008.80,981.50,949.00,934.80,944.00,929.00,918.00,896.50,893.00,882.80,901.50,924.50,930.28
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",522.00,550.00,560.50,566.70,574.00,583.00,565.20,551.50,542.50,561.40,575.00,575.00,560.57
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",1094.67,1086.67,1076.25,1070.67,1077.71,1072.08,1043.00,1025.83,1011.42,1021.67,1029.38,1041.67,1054.25
