"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"PHILIPPINES","Ammophos (16-20-0)",327.91,328.00,330.81,329.00,328.56,330.29,331.91,334.06,335.83,336.69,337.18,338.43,332.44
"PHILIPPINES","Ammosul (21-0-0)",223.84,225.37,229.18,227.62,232.97,230.40,233.31,231.33,230.90,229.63,227.78,227.84,229.21
"PHILIPPINES","Complete (14-14-14)",337.00,338.71,339.25,338.18,340.36,343.19,344.46,344.24,342.80,343.76,344.51,344.75,341.76
"PHILIPPINES","Urea (45-0-0)",387.38,389.28,389.56,389.40,389.40,391.32,391.72,389.61,388.84,387.56,385.64,383.83,388.72
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",358.00,356.25,359.33,358.50,353.75,349.80,352.50,352.25,353.50,352.75,351.00,351.25,354.07
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",260.40,253.40,249.60,250.00,250.00,249.00,246.00,239.60,241.80,242.00,241.20,242.60,247.13
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",378.00,387.80,383.50,373.60,374.00,381.80,378.80,366.80,361.85,361.20,361.00,361.80,372.51
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",409.00,406.60,404.80,395.00,407.00,400.60,399.60,391.80,389.10,391.20,385.80,384.80,397.11
"....Abra","Ammophos (16-20-0)",340.00,335.00,..,340.00,325.00,331.00,325.00,326.00,330.00,330.00,320.00,320.00,329.27
"....Abra","Ammosul (21-0-0)",230.00,230.00,228.00,220.00,220.00,220.00,220.00,210.00,210.00,210.00,208.00,210.00,218.00
"....Abra","Complete (14-14-14)",340.00,340.00,..,325.00,325.00,377.00,330.00,333.00,333.75,329.00,330.00,331.00,335.80
"....Abra","Urea (45-0-0)",380.00,380.00,380.00,380.00,380.00,380.00,380.00,370.00,372.50,380.00,352.00,350.00,373.71
"....Apayao","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
