"Geolocation","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2012 Annual"
"PHILIPPINES","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,17.13,16.25,16.58,15.82,10.46,11.34,14.60
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",15.37,16.01,15.92,15.99,16.22,16.42,16.35,16.37,15.84,15.42,15.53,15.64,15.92
"PHILIPPINES","Corngrain [Maize] White, matured",13.99,14.45,14.38,14.31,14.35,13.47,13.48,13.25,13.71,13.02,14.39,15.69,14.04
"PHILIPPINES","Corngrain [Maize] Yellow, matured",13.63,13.05,12.37,12.48,12.52,11.98,12.11,11.93,12.38,12.51,12.76,12.94,12.56
"PHILIPPINES","Green Corn (Maize, green), White",14.70,14.70,15.26,14.94,15.12,15.39,15.56,15.64,16.30,16.82,17.27,15.68,15.62
"PHILIPPINES","Green Corn (Maize, green), Yellow",32.41,28.19,25.20,23.71,22.53,26.53,28.06,32.91,36.21,35.36,44.97,12.07,29.01
"..National Capital Region (NCR)","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Corngrain [Maize] Yellow, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",16.04,16.75,15.84,16.81,16.46,17.33,17.31,18.30,16.97,16.11,16.35,16.39,16.72
"..Cordillera Administrative Region (CAR)","Corngrain [Maize] White, matured",..,14.88,15.92,..,..,..,..,14.22,15.18,15.45,..,..,15.13
"..Cordillera Administrative Region (CAR)","Corngrain [Maize] Yellow, matured",..,11.94,12.47,11.40,11.71,12.02,..,11.93,12.52,12.85,12.74,..,12.18
"..Cordillera Administrative Region (CAR)","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",16.35,16.55,..,18.58,17.52,17.33,17.31,18.30,17.03,16.53,15.33,15.69,16.96
"....Abra","Corngrain [Maize] White, matured",..,14.88,15.92,..,..,..,..,14.22,15.18,15.45,..,..,15.13
"....Abra","Corngrain [Maize] Yellow, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",..,..,15.44,15.59,15.75,..,..,..,15.93,16.01,16.37,..,15.85
"....Apayao","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Corngrain [Maize] Yellow, matured",..,..,..,10.85,12.06,12.02,..,..,12.21,12.72,12.74,..,12.10
"....Apayao","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Corngrain [Maize] Yellow, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",15.72,16.94,15.16,16.65,16.11,..,..,..,18.26,15.24,16.85,..,16.37
"....Ifugao","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Corngrain [Maize] Yellow, matured",..,11.74,13.25,12.48,..,..,..,12.82,13.25,12.28,..,..,12.64
"....Ifugao","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",..,..,16.92,16.41,16.47,..,..,..,16.67,16.67,16.83,17.08,16.72
"....Kalinga","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Corngrain [Maize] Yellow, matured",..,12.14,11.94,11.34,12.18,..,..,12.73,12.37,12.88,..,..,12.23
"....Kalinga","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Corngrain [Maize] Yellow, matured",..,..,12.21,10.91,10.88,..,..,10.23,12.23,13.50,..,..,11.66
"....Mountain Province","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",17.09,17.22,17.29,17.13,17.14,17.29,17.42,17.49,16.97,16.45,16.45,16.84,17.07
"..REGION I (ILOCOS REGION)","Corngrain [Maize] White, matured",17.35,17.58,22.77,22.60,22.31,22.76,22.78,26.21,26.71,..,23.72,31.54,23.30
"..REGION I (ILOCOS REGION)","Corngrain [Maize] Yellow, matured",14.86,13.06,11.79,12.04,12.02,11.91,11.47,12.00,12.29,..,..,..,12.38
"..REGION I (ILOCOS REGION)","Green Corn (Maize, green), White",14.31,14.32,14.74,15.05,15.43,15.86,16.30,16.31,16.12,17.84,16.81,16.40,15.79
"..REGION I (ILOCOS REGION)","Green Corn (Maize, green), Yellow",32.41,28.19,25.20,23.71,22.53,26.53,28.06,32.91,36.21,35.36,44.97,12.07,29.01
"....Ilocos Norte","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",17.44,17.56,17.42,16.89,17.00,17.44,17.20,17.48,17.13,16.42,16.39,17.14,17.13
"....Ilocos Norte","Corngrain [Maize] White, matured",17.88,17.51,22.85,21.92,21.89,23.21,23.77,26.21,26.71,..,..,..,22.44
"....Ilocos Norte","Corngrain [Maize] Yellow, matured",15.64,13.39,11.45,11.92,11.30,11.08,11.09,12.00,12.29,..,..,..,12.24
"....Ilocos Norte","Green Corn (Maize, green), White",8.64,8.21,8.14,9.05,9.43,10.23,9.85,9.42,9.57,9.79,10.20,8.90,9.29
"....Ilocos Norte","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",16.89,16.72,16.83,16.89,16.96,17.07,17.13,17.23,17.14,16.45,16.47,16.66,16.87
"....Ilocos Sur","Corngrain [Maize] White, matured",16.81,17.64,22.68,23.28,22.73,22.30,21.78,..,..,..,23.72,31.54,22.50
"....Ilocos Sur","Corngrain [Maize] Yellow, matured",13.45,12.31,11.91,11.88,11.69,11.39,11.30,..,..,..,..,..,11.99
"....Ilocos Sur","Green Corn (Maize, green), White",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",15.96,16.93,17.15,17.39,17.04,17.12,17.33,17.27,16.09,16.44,16.36,16.82,16.83
"....La Union","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Corngrain [Maize] Yellow, matured",14.89,13.29,11.82,11.61,11.52,11.84,..,..,..,..,..,..,12.50
"....La Union","Green Corn (Maize, green), White",16.80,16.30,16.92,16.96,17.05,17.34,19.36,20.27,21.13,23.97,20.96,21.81,19.07
"....La Union","Green Corn (Maize, green), Yellow",32.41,28.19,25.20,23.71,22.53,26.53,28.06,32.91,36.21,35.36,44.97,12.07,29.01
"....Pangasinan","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",18.05,17.66,17.75,17.33,17.55,17.53,18.02,17.98,17.51,16.50,16.59,16.72,17.43
"....Pangasinan","Corngrain [Maize] White, matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","Corngrain [Maize] Yellow, matured",15.44,13.25,11.98,12.74,13.57,13.34,12.01,..,..,..,..,..,13.19
"....Pangasinan","Green Corn (Maize, green), White",17.50,18.45,19.16,19.14,19.81,20.01,19.68,19.25,17.67,19.76,19.28,18.49,19.02
"....Pangasinan","Green Corn (Maize, green), Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Palay [Paddy] Fancy, dry (conv. to 14% mc)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",16.51,16.21,15.89,16.02,16.26,16.59,17.03,16.45,16.10,15.87,15.80,16.23,16.25
"..REGION II (CAGAYAN VALLEY)","Corngrain [Maize] White, matured",..,..,11.23,10.75,..,..,..,11.83,..,..,..,..,11.27
"..REGION II (CAGAYAN VALLEY)","Corngrain [Maize] Yellow, matured",15.26,12.34,11.39,11.72,12.41,12.30,11.95,12.87,13.07,13.12,13.04,..,12.68
