"Geolocation","Commodity","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"PHILIPPINES","Abaca",37.09,36.90,36.83,36.25,36.09,40.04,36.55,37.18,38.13,39.04,39.46,39.63,37.77
"PHILIPPINES","African Palm Oil",4.02,3.97,3.93,3.85,3.96,4.13,3.92,3.92,4.02,3.93,3.95,4.16,3.98
"PHILIPPINES","Cacao, dry beans [Cocoa beans]",70.49,71.03,72.46,72.45,72.77,69.67,70.64,73.09,73.87,73.90,75.09,76.07,72.63
"PHILIPPINES","Cashew Nut w/o apple, with shell",..,44.08,36.97,34.38,34.40,27.64,..,..,..,..,..,..,35.49
"PHILIPPINES","Cashew Nut, without shell",..,372.50,273.24,286.15,287.20,..,..,..,..,..,..,..,304.77
"PHILIPPINES","Castor beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coconut green, young 'buko'",6.96,6.92,6.93,7.16,7.06,6.99,7.18,7.19,7.36,7.40,7.80,8.23,7.27
"PHILIPPINES","Coconut matured",6.10,6.15,6.17,6.14,6.20,6.27,6.26,6.45,6.57,6.71,7.12,7.57,6.48
"PHILIPPINES","Coffee Arabica, green coffee beans",72.28,81.14,80.29,100.75,104.35,104.74,65.54,63.03,..,63.11,99.04,99.56,84.89
"PHILIPPINES","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Excelsa, green coffee beans",55.47,66.51,70.91,71.68,72.89,71.39,70.55,71.42,65.09,64.62,60.87,63.11,67.04
"PHILIPPINES","Coffee Excelsa, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Excelsa, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Robusta, green coffee beans",67.36,67.94,68.88,71.62,64.22,59.94,63.53,65.29,67.40,64.49,63.65,67.24,65.96
"PHILIPPINES","Coffee Robusta, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Robusta, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Copra Corriente",13.12,13.37,13.02,12.54,13.18,14.85,15.14,15.80,16.88,17.50,21.35,23.83,15.88
"PHILIPPINES","Copra Resecada",16.40,16.22,16.41,16.19,16.32,18.80,19.01,19.06,20.85,21.86,27.55,29.85,19.88
"PHILIPPINES","Copra, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Cotton (Seed cotton)",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Maguey",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Pili Nut, with hull",13.52,12.28,13.58,14.62,13.83,13.58,12.28,12.17,12.31,11.91,12.52,11.97,12.88
"PHILIPPINES","Pili Nut, with shell",40.83,42.03,44.39,37.65,38.18,36.44,36.29,33.73,34.96,35.34,35.70,38.34,37.82
"PHILIPPINES","Pili Nut, without shell",406.85,406.06,593.63,416.06,360.83,291.18,247.21,204.34,206.40,192.39,269.04,207.05,316.75
"PHILIPPINES","Pi˝a/Pineapple, Fiber",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Ramie",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Rubber Coagulated",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Rubber Cuplump",46.66,47.19,45.81,39.16,38.87,37.03,37.58,37.85,35.37,36.15,37.03,37.73,39.70
"PHILIPPINES","Soybeans",20.28,22.28,22.30,21.81,21.53,21.60,22.77,22.60,21.84,22.67,23.27,22.78,22.14
"PHILIPPINES","Sugarcane Centrifugal, sugar",26.22,25.68,26.15,26.59,26.69,28.50,31.77,29.05,30.04,28.86,28.90,27.14,27.97
"PHILIPPINES","Sugarcane for Chewing",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Sugarcane for milling",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Sugarcane Muscovado, sugar",33.81,31.87,32.30,33.48,33.44,35.17,34.65,35.29,35.12,37.49,38.90,37.50,34.92
"PHILIPPINES","Tiger Grass",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Tobacco Burley, dry",..,..,58.67,68.51,66.43,73.64,80.33,..,..,..,..,..,69.52
"PHILIPPINES","Tobacco Burley, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Tobacco Native, dry",256.81,184.20,144.60,125.29,171.68,108.79,103.24,193.28,197.08,135.16,179.82,208.97,167.41
"PHILIPPINES","Tobacco Native, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Tobacco Virginia, dry",..,60.67,70.29,67.37,54.38,66.25,..,..,..,..,..,..,63.79
"PHILIPPINES","Tobacco Virginia, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Abaca",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","African Palm Oil",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cacao, dry beans [Cocoa beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cashew Nut w/o apple, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cashew Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Castor beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coconut green, young 'buko'",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coconut matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Arabica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
