"Geolocation","Commodity","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2022 Annual"
"PHILIPPINES","Garlic",88.20,82.24,120.63,128.98,147.63,151.52,94.35,88.33,89.18,93.86,132.15,132.64,112.48
"PHILIPPINES","Ginger Hawaiian",48.32,43.43,40.41,40.84,40.75,41.97,42.31,40.16,41.70,41.26,38.36,40.50,41.67
"PHILIPPINES","Ginger native",48.50,46.85,42.51,45.64,43.45,41.05,39.73,41.50,40.60,43.01,42.75,40.86,43.04
"PHILIPPINES","Onion Leaves",54.45,56.87,54.09,50.31,51.68,52.49,50.82,53.21,61.51,70.83,60.44,63.47,56.68
"PHILIPPINES","Onion Leeks",46.38,46.32,49.65,45.38,37.94,44.77,41.96,43.35,47.69,51.12,50.83,53.86,46.60
"PHILIPPINES","Onion native (red shallot), multiplier",51.89,46.98,60.50,40.47,38.89,35.00,41.42,39.29,50.00,86.68,101.02,116.80,59.08
"PHILIPPINES","Onion Red Creole (Bermuda Red)",90.13,31.11,39.67,38.84,80.18,50.63,..,..,..,..,..,334.88,95.06
"PHILIPPINES","Onion White (Yellow Granex)",..,20.00,14.00,20.00,25.56,..,..,..,..,..,..,..,19.89
"PHILIPPINES","Pepper Bell, red and green",80.51,84.09,93.19,95.96,83.80,76.32,76.76,78.99,73.17,85.65,88.72,119.27,86.37
"PHILIPPINES","Pepper Black",257.61,265.78,222.20,254.62,255.65,236.21,278.22,283.31,272.01,278.93,273.67,288.65,263.91
"PHILIPPINES","Pepper finger, green",58.55,53.43,49.05,48.50,48.10,58.01,51.35,49.26,51.87,71.88,105.34,77.56,60.24
"PHILIPPINES","Pepper hot, red labuyo [Chili pepper]",36.11,39.03,36.01,43.41,94.37,109.78,119.01,154.77,96.29,115.57,184.81,197.40,102.21
"..National Capital Region (NCR)","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
