"Geolocation","Commodity","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2022 Annual"
"PHILIPPINES","Anthurium",50.22,90.02,61.36,96.30,71.71,75.43,81.32,78.72,86.12,107.79,98.26,81.23,81.54
"PHILIPPINES","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Chrysanthemum",79.61,88.17,76.53,109.36,72.05,108.70,103.43,82.95,83.96,111.19,90.20,89.08,91.27
"PHILIPPINES","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Dendrobium",200.00,160.00,150.00,160.00,140.00,150.00,100.00,105.00,80.00,100.00,90.00,92.86,127.32
"PHILIPPINES","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Gladiola",54.62,60.00,100.00,85.00,73.00,52.00,60.00,55.65,70.00,80.00,70.00,79.81,70.01
"PHILIPPINES","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Roses",110.99,134.10,98.89,84.65,83.78,93.48,79.44,95.02,83.87,134.45,64.16,91.40,96.19
"PHILIPPINES","Sampaguita",255.63,338.53,298.90,319.02,190.17,226.65,219.94,250.75,273.18,215.92,263.84,263.72,259.69
"PHILIPPINES","Vanda",95.00,80.00,70.00,80.00,100.00,100.00,100.00,70.00,75.00,100.00,110.00,100.00,90.00
"..National Capital Region (NCR)","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Anthurium",50.44,130.04,82.72,142.60,75.08,68.86,92.63,99.11,94.73,115.57,116.51,82.45,95.90
"..Cordillera Administrative Region (CAR)","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chrysanthemum",61.53,87.33,57.49,78.71,64.10,137.40,136.55,95.89,97.84,132.37,100.40,98.15,95.65
"..Cordillera Administrative Region (CAR)","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Roses",136.98,212.64,121.11,89.30,91.44,106.95,98.88,116.29,107.74,188.90,58.32,82.79,117.61
"..Cordillera Administrative Region (CAR)","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Anthurium",50.44,130.04,82.72,142.60,75.08,68.86,92.63,99.11,94.73,115.57,116.51,82.45,95.90
"....Benguet","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Chrysanthemum",61.53,87.33,57.49,78.71,64.10,137.40,136.55,95.89,97.84,132.37,100.40,98.15,95.65
"....Benguet","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Roses",136.98,212.64,121.11,89.30,91.44,106.95,98.88,116.29,107.74,188.90,58.32,82.79,117.61
"....Benguet","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Aster",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chrysanthemum",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Daisy",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Dendrobium",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Euphorbia",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Gladiola",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Oncidium (dancing Lady)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Roses",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Sampaguita",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Vanda",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Anthurium",..,..,..,..,..,..,..,..,..,..,..,..,..
