"Geolocation","Commodity","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December","2017 Annual"
"PHILIPPINES","Atis [Sugarapple]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Avocado",26.58,..,..,14.35,21.48,19.02,15.87,16.29,25.00,..,..,..,19.80
"PHILIPPINES","Banana Bungulan, green",13.44,13.47,13.54,12.94,14.19,13.64,13.43,12.70,12.86,13.24,12.74,12.71,13.24
"PHILIPPINES","Banana Cavendish",..,..,..,..,..,..,10.44,9.14,8.36,7.38,9.70,10.37,9.23
"PHILIPPINES","Banana Lakatan, green",23.43,23.23,23.98,23.11,22.26,23.44,24.51,24.28,22.97,24.19,22.98,24.20,23.55
"PHILIPPINES","Banana Latundan, green",16.10,16.21,15.63,15.49,15.68,15.71,15.74,15.74,15.81,15.85,15.75,16.02,15.81
"PHILIPPINES","Banana Saba, green",12.71,12.73,12.36,12.71,12.85,12.81,12.66,12.63,12.37,12.64,12.18,12.64,12.61
"PHILIPPINES","Calamansi",27.69,24.98,25.15,27.48,27.27,25.65,21.85,21.49,19.82,22.35,23.04,24.52,24.27
"PHILIPPINES","Chico [Sapota]",16.44,..,..,..,..,..,..,..,..,..,19.85,19.14,18.48
"PHILIPPINES","Dragon fruit",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Durian",43.20,39.80,36.52,60.81,49.09,50.70,53.03,47.20,41.09,41.60,44.95,44.68,46.06
"PHILIPPINES","Grapes, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Grapes, red",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Guapple",60.53,44.68,48.44,49.29,37.55,36.37,36.05,39.44,39.23,40.65,38.88,48.32,43.29
"PHILIPPINES","Guava",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Guayabano [Soursop]",26.28,22.00,23.60,22.59,23.62,26.73,23.24,22.21,23.23,26.74,23.36,22.78,23.87
"PHILIPPINES","Honeydew melon",41.00,42.20,37.62,37.57,29.18,31.01,35.00,..,45.00,37.38,31.63,37.73,36.85
"PHILIPPINES","Jackfruit, ripe",17.95,17.99,16.31,17.29,17.46,17.57,15.67,14.93,18.95,21.79,23.39,18.88,18.18
"PHILIPPINES","Lanzones",..,..,..,33.80,32.74,32.62,47.25,67.89,51.16,54.83,79.32,103.47,55.90
"PHILIPPINES","Mandarin King",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Mandarin Ladu",9.03,7.08,7.84,6.46,..,..,..,..,..,9.86,7.88,11.33,8.50
"PHILIPPINES","Mandarin Szinkom",13.46,14.79,18.56,16.63,17.55,14.42,15.46,16.59,12.91,14.38,14.34,17.33,15.54
"PHILIPPINES","Mango Carabao, green",54.23,46.13,47.40,43.83,37.92,35.45,38.59,44.51,54.30,56.65,51.93,66.82,48.15
"PHILIPPINES","Mango Indian, green",9.12,8.66,12.89,13.76,11.35,10.89,11.71,12.27,15.68,8.55,11.20,8.50,11.22
"PHILIPPINES","Mango Piko, green",29.63,31.66,32.97,33.34,25.14,21.17,20.37,17.24,..,..,..,35.70,27.47
"PHILIPPINES","Mango, Other Variety",11.56,12.72,12.14,16.16,22.03,16.28,18.57,17.65,18.83,20.90,19.56,17.73,17.01
"PHILIPPINES","Mangosteen",..,..,..,..,..,..,..,..,51.36,51.80,..,..,51.58
"PHILIPPINES","Marang",11.18,10.55,10.25,13.25,13.26,14.08,11.39,11.44,11.63,12.87,14.24,13.33,12.29
"PHILIPPINES","Muskmelon",..,30.00,20.00,18.26,16.18,..,..,..,..,..,..,..,21.11
"PHILIPPINES","Orange",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Papaya Hawaiian",13.67,15.32,14.09,14.29,14.76,13.61,13.57,13.91,14.63,14.81,14.34,14.07,14.26
"PHILIPPINES","Papaya native",8.25,9.62,8.42,9.01,8.48,8.56,8.47,8.49,8.94,9.73,10.05,11.09,9.09
"PHILIPPINES","Papaya Sinta",8.09,18.38,13.97,12.60,10.68,15.51,13.25,12.66,15.01,14.47,15.21,17.03,13.91
"PHILIPPINES","Papaya Solo",12.79,13.82,14.88,27.34,27.15,27.14,26.26,25.22,23.42,26.90,25.43,24.73,22.92
"PHILIPPINES","Pineapple Formosa",6.06,7.91,6.53,12.40,7.95,9.10,8.13,8.90,9.71,13.07,9.22,8.18,8.93
"PHILIPPINES","Pineapple Hawaiian",18.82,19.17,16.61,16.34,15.71,15.69,14.26,15.40,15.52,18.89,18.82,17.21,16.87
"PHILIPPINES","Pineapple native",14.13,9.26,9.36,11.72,12.20,13.46,13.04,12.45,12.62,17.27,13.91,11.92,12.61
"PHILIPPINES","Pineapple queen",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Pomelo",13.77,13.50,14.23,16.16,17.05,12.93,22.22,24.62,26.50,18.20,22.65,23.60,18.79
"PHILIPPINES","Rambutan",19.61,33.00,..,..,..,..,30.79,37.71,37.36,42.00,31.94,65.00,37.18
"PHILIPPINES","Santol Bangkok/Improved",..,..,..,..,..,..,5.29,2.80,..,..,..,..,4.05
"PHILIPPINES","Santol native",..,..,..,..,16.65,17.20,16.89,24.16,..,..,..,..,18.73
"PHILIPPINES","Siniguelas [Jamaica plum]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Starapple",..,26.01,15.06,8.67,..,..,..,..,..,..,..,..,16.58
"PHILIPPINES","Strawberry",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Tamarind",8.50,5.24,3.96,..,..,..,..,..,..,6.84,6.93,9.67,6.86
"PHILIPPINES","Watermelon",13.62,16.87,14.17,14.56,12.97,13.49,12.39,11.83,15.50,13.92,19.04,18.14,14.71
"..National Capital Region (NCR)","Atis [Sugarapple]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Avocado",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Bungulan, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Cavendish",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Lakatan, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Latundan, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Saba, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Calamansi",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chico [Sapota]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Dragon fruit",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Durian",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Grapes, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Grapes, red",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Guapple",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Guava",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Guayabano [Soursop]",..,..,..,..,..,..,..,..,..,..,..,..,..
