"Geolocation","Commodity","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2016 Annual"
"PHILIPPINES","Ampalaya [Bitter gourd]",34.48,32.38,30.96,32.45,32.76,34.08,32.92,30.99,31.66,38.85,37.05,38.49,33.92
"PHILIPPINES","Banana Blossom",8.57,6.83,4.61,8.45,6.33,8.05,8.59,6.58,6.75,7.05,8.67,6.76,7.27
"PHILIPPINES","Chayote",9.77,8.54,8.86,11.16,13.58,12.42,9.47,9.84,11.73,12.37,14.68,13.67,11.34
"PHILIPPINES","Cucumber",14.36,19.39,18.35,18.20,18.75,16.96,11.52,13.36,15.86,17.99,18.30,16.80,16.65
"PHILIPPINES","Eggplant long, purple",24.36,24.24,22.17,22.52,20.95,19.50,20.79,21.96,20.31,26.95,23.96,27.92,22.97
"PHILIPPINES","Eggplant native, round",25.80,22.37,25.08,20.73,19.71,19.55,21.71,22.17,15.80,33.32,26.97,37.39,24.22
"PHILIPPINES","Jackfruit, green",10.62,10.57,9.97,9.81,9.57,9.81,9.80,10.70,11.20,10.03,9.33,11.53,10.25
"PHILIPPINES","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Okra",19.26,19.53,19.32,20.94,21.32,19.91,16.86,16.59,17.34,24.20,21.19,23.28,19.98
"PHILIPPINES","Papaya, green",9.23,8.52,8.82,9.32,9.44,9.82,9.73,9.49,9.30,8.05,7.96,8.48,9.01
"PHILIPPINES","Patola [Dishrag gourd], Baguio",14.07,16.60,17.09,20.28,18.64,18.57,16.33,14.64,14.67,14.60,15.99,17.00,16.54
"PHILIPPINES","Patola [Dishrag gourd], native",25.39,23.01,19.50,18.10,20.05,20.98,16.66,16.83,16.36,22.63,20.63,20.92,20.09
"PHILIPPINES","Squash",14.33,12.50,11.83,11.72,10.51,11.64,12.34,11.63,11.41,12.52,13.38,14.81,12.39
"PHILIPPINES","Tomato",25.59,19.67,18.35,19.93,21.34,22.55,24.54,21.41,26.59,25.01,24.54,24.67,22.85
"PHILIPPINES","Upo [Bottle gourd]",12.18,12.52,12.00,12.58,12.06,12.74,12.19,10.55,11.28,12.56,12.26,13.10,12.17
