"Geolocation","Commodity","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2022 Annual"
"PHILIPPINES","Alugbati",32.26,34.55,49.12,47.87,52.78,43.63,41.21,35.58,28.63,37.73,35.89,39.15,39.87
"PHILIPPINES","Ampalaya [Bitter gourd] leaves",70.28,40.49,39.57,47.04,56.26,46.00,57.51,46.88,58.08,49.98,55.63,70.39,53.18
"PHILIPPINES","Asparagus",95.91,100.00,102.50,96.51,99.53,107.19,100.00,100.00,100.00,100.00,100.00,100.00,100.14
"PHILIPPINES","Broccoli",87.38,110.55,76.11,76.65,74.63,97.19,102.38,81.39,85.48,108.73,128.91,111.52,95.08
"PHILIPPINES","Cabbage",29.74,20.92,17.85,20.55,21.55,29.04,22.93,23.73,26.68,28.42,38.78,38.29,26.54
"PHILIPPINES","Camote [Sweet potato] tops",20.14,20.96,21.41,21.20,20.45,19.79,20.91,20.18,19.30,21.79,21.84,20.26,20.69
"PHILIPPINES","Cauliflower",60.75,50.53,50.65,48.11,72.39,86.55,84.11,91.51,111.12,96.54,87.94,87.14,77.28
"PHILIPPINES","Celery",13.79,5.20,5.82,18.97,10.11,28.19,20.79,24.92,71.30,46.32,69.78,33.85,29.09
"PHILIPPINES","Chayote tops",18.06,21.02,18.34,19.53,18.56,18.42,24.96,22.02,21.73,23.77,23.28,32.66,21.86
"PHILIPPINES","Gabi [Dasheen] leaves",22.48,21.65,18.56,19.96,20.85,19.32,23.17,23.41,20.46,21.38,25.23,23.57,21.67
"PHILIPPINES","Kangkong [Morning glory]",20.02,19.25,18.25,17.77,19.00,18.62,18.15,18.05,17.52,18.21,19.71,19.01,18.63
"PHILIPPINES","Lettuce",44.61,40.27,37.78,72.17,54.97,67.51,58.26,51.74,50.12,55.05,83.60,75.97,57.67
"PHILIPPINES","Malunggay [Horseradish] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Mustard",34.60,32.08,27.67,36.43,29.70,34.84,38.50,33.71,38.51,42.89,43.80,35.92,35.72
"PHILIPPINES","Pechay Baguio [Chinese cabbage]",18.34,10.72,10.90,13.39,16.85,20.24,15.48,14.59,11.18,15.53,27.17,22.77,16.43
"PHILIPPINES","Pechay native",33.30,30.60,28.38,31.40,31.76,34.52,34.51,33.99,33.94,36.70,38.38,36.00,33.62
"PHILIPPINES","Saluyot [Jews mallows]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Sili [Chili pepper] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Sitao [Stringbeans] tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Squash tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Alugbati",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Ampalaya [Bitter gourd] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Asparagus",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Broccoli",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cabbage",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Camote [Sweet potato] tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cauliflower",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Celery",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chayote tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi [Dasheen] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Kangkong [Morning glory]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Lettuce",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Malunggay [Horseradish] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Mustard",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pechay Baguio [Chinese cabbage]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pechay native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Saluyot [Jews mallows]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sili [Chili pepper] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sitao [Stringbeans] tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Squash tops",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Alugbati",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Ampalaya [Bitter gourd] leaves",70.28,40.49,39.57,47.04,56.26,46.00,57.51,46.88,58.08,49.98,55.63,70.39,53.18
"..Cordillera Administrative Region (CAR)","Asparagus",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Broccoli",37.21,30.98,36.59,32.63,35.07,30.36,36.47,37.70,40.68,46.89,57.18,56.09,39.82
"..Cordillera Administrative Region (CAR)","Cabbage",15.22,9.01,14.05,20.53,14.50,9.14,9.21,10.42,23.53,24.30,32.32,38.59,18.40
"..Cordillera Administrative Region (CAR)","Camote [Sweet potato] tops",23.10,24.74,24.59,24.26,23.80,19.58,22.75,17.33,18.12,26.13,23.26,16.66,22.03
"..Cordillera Administrative Region (CAR)","Cauliflower",9.92,11.65,22.83,17.46,21.92,33.40,29.90,43.92,42.43,52.87,51.12,45.76,31.93
"..Cordillera Administrative Region (CAR)","Celery",13.79,5.20,5.82,18.97,10.11,28.19,20.79,24.92,71.30,46.32,69.78,33.85,29.09
"..Cordillera Administrative Region (CAR)","Chayote tops",18.06,21.02,18.34,19.53,18.56,18.42,24.96,22.02,21.73,23.77,23.28,32.66,21.86
