"Geolocation","Type","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"PHILIPPINES","Carabao for Breeding",66.150000,68.420000,68.780000,74.100000,72.000000,71.930000,73.050000,77.130000,76.860000,76.590000,76.520000,77.400000,73.240000
"PHILIPPINES","Carabao for Fattening",104.310000,104.350000,106.430000,106.760000,104.030000,104.340000,106.640000,106.730000,105.400000,106.350000,104.560000,104.630000,105.380000
"PHILIPPINES","Carabao for Slaughter",76.460000,75.770000,76.240000,76.180000,76.060000,76.090000,76.790000,77.130000,76.820000,77.560000,78.490000,77.190000,76.730000
"PHILIPPINES","Carabao for Work",71.730000,72.350000,73.120000,73.840000,73.810000,74.000000,76.030000,75.980000,75.840000,75.790000,76.050000,76.890000,74.620000
"PHILIPPINES","Cattle for Fattening",98.750000,98.660000,98.730000,98.740000,98.230000,98.370000,99.040000,98.640000,96.780000,97.960000,98.610000,99.430000,98.500000
"PHILIPPINES","Cattle for Slaughter",92.730000,92.800000,93.140000,93.040000,92.930000,93.280000,93.160000,93.670000,93.610000,93.920000,95.590000,95.650000,93.630000
"PHILIPPINES","Cattle for Work",94.760000,95.630000,95.660000,95.570000,96.740000,97.690000,99.100000,98.880000,98.640000,98.030000,97.630000,93.020000,96.780000
"PHILIPPINES","Cattle for Breeding",85.960000,89.960000,93.670000,93.170000,93.880000,94.000000,96.230000,96.640000,91.450000,96.290000,97.630000,101.410000,94.190000
"PHILIPPINES","Goat for Slaughter",105.300000,105.270000,106.110000,106.270000,107.230000,107.500000,108.620000,108.720000,107.930000,108.630000,109.650000,111.260000,107.710000
"PHILIPPINES","Goat for Breeding",80.790000,79.730000,87.360000,81.150000,80.470000,85.470000,81.450000,84.600000,83.370000,83.320000,88.990000,90.720000,83.950000
"PHILIPPINES","Hogs Upgraded for Breeding",119.070000,119.100000,120.790000,118.240000,115.860000,120.370000,119.990000,125.930000,121.710000,120.290000,117.540000,118.940000,119.820000
"PHILIPPINES","Hogs Upgraded for Slaughter",93.140000,94.750000,96.620000,98.500000,98.860000,98.750000,97.790000,96.240000,95.350000,94.870000,95.690000,96.990000,96.460000
"PHILIPPINES","Chicken Broiler, other breed",93.430000,93.180000,92.680000,91.700000,92.790000,93.590000,92.930000,94.440000,92.780000,93.160000,93.800000,95.250000,93.310000
"PHILIPPINES","Chicken Fighting Cock",792.870000,768.590000,777.570000,786.660000,772.160000,768.850000,735.230000,721.520000,804.440000,782.590000,735.560000,776.170000,768.520000
"PHILIPPINES","Chicken Layer (culls)",36.180000,33.150000,34.010000,37.650000,34.190000,36.700000,38.470000,40.620000,41.540000,..,..,48.540000,38.110000
"PHILIPPINES","Chicken Native/Improved",123.980000,124.000000,123.840000,123.670000,123.130000,123.030000,123.480000,121.910000,123.920000,124.290000,124.800000,127.360000,123.950000
"PHILIPPINES","Duck for meat",99.700000,96.940000,98.320000,98.980000,99.500000,98.610000,102.580000,102.810000,99.670000,99.330000,98.600000,99.340000,99.530000
"PHILIPPINES","Chicken egg, other breed",5.440000,5.610000,5.570000,5.570000,5.380000,5.500000,5.610000,5.470000,5.620000,5.540000,5.770000,5.720000,5.570000
"PHILIPPINES","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Duck egg",5.660000,5.590000,5.500000,5.420000,5.530000,5.470000,5.560000,5.570000,5.660000,5.340000,5.490000,5.680000,5.540000
"..National Capital Region (NCR)","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Slaughter",88.160000,88.760000,88.960000,88.970000,88.590000,87.890000,87.750000,89.530000,89.460000,89.570000,88.720000,89.220000,88.800000
"..Cordillera Administrative Region (CAR)","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Slaughter",104.420000,103.520000,108.230000,109.800000,108.750000,107.380000,108.600000,108.390000,107.110000,107.760000,108.920000,110.050000,107.740000
"..Cordillera Administrative Region (CAR)","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Goat for Slaughter",91.700000,91.000000,92.320000,91.250000,95.080000,94.980000,95.270000,96.510000,95.400000,93.330000,93.190000,97.150000,93.930000
"..Cordillera Administrative Region (CAR)","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Slaughter",103.270000,103.440000,105.430000,112.710000,112.350000,112.060000,110.470000,108.660000,106.530000,105.830000,106.010000,108.250000,107.920000
"..Cordillera Administrative Region (CAR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
