"Geolocation","Type","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2016 Annual"
"PHILIPPINES","Carabao for Slaughter",105.720000,108.970000,96.760000,82.460000,90.450000,94.810000,79.580000,101.200000,115.130000,74.410000,97.020000,110.340000,96.400000
"PHILIPPINES","Cattle for Slaughter",125.660000,116.520000,108.370000,108.010000,109.630000,103.690000,103.670000,102.440000,112.200000,102.900000,99.560000,111.380000,108.670000
"PHILIPPINES","Goat for Slaughter",133.900000,127.220000,122.830000,126.740000,130.800000,121.440000,138.150000,141.700000,132.900000,125.710000,125.320000,136.450000,130.260000
"PHILIPPINES","Hogs Upgraded for Fattening",214.130000,209.930000,197.590000,229.130000,221.210000,205.280000,208.380000,216.000000,216.700000,197.410000,217.920000,207.650000,211.780000
"PHILIPPINES","Hogs Upgraded for Slaughter",102.010000,101.610000,100.750000,101.940000,102.180000,100.260000,102.570000,102.330000,102.230000,102.550000,101.330000,104.460000,102.020000
"PHILIPPINES","Chicken Broiler, other breed",89.330000,91.130000,88.960000,87.890000,90.630000,90.580000,90.020000,85.000000,81.620000,81.290000,80.490000,82.000000,86.580000
"PHILIPPINES","Chicken Fighting Cock",4400.160000,3224.710000,3666.150000,3541.200000,3866.610000,3705.300000,3107.120000,2758.580000,2050.070000,2130.950000,2217.570000,2507.450000,3097.990000
"PHILIPPINES","Chicken Layer (culls)",69.580000,71.190000,71.960000,72.190000,73.040000,70.310000,71.030000,70.260000,69.810000,71.900000,69.660000,67.190000,70.680000
"PHILIPPINES","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Duck for meat",73.070000,71.190000,72.510000,72.360000,71.710000,72.740000,68.710000,71.420000,72.060000,71.300000,77.690000,72.820000,72.300000
"PHILIPPINES","Chicken egg, other breed",4.830000,4.780000,4.760000,4.730000,4.760000,4.830000,4.940000,5.000000,5.120000,5.070000,5.180000,5.180000,4.930000
"PHILIPPINES","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Duck egg",6.360000,6.370000,6.410000,6.330000,6.300000,6.210000,6.200000,6.380000,6.200000,6.190000,6.300000,6.390000,6.300000
"..National Capital Region (NCR)","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Slaughter",..,..,123.030000,98.180000,97.970000,111.900000,..,..,123.800000,..,123.770000,105.280000,111.990000
"..Cordillera Administrative Region (CAR)","Cattle for Slaughter",..,..,117.940000,148.000000,127.810000,118.210000,..,..,116.920000,135.000000,117.040000,117.330000,124.780000
"..Cordillera Administrative Region (CAR)","Goat for Slaughter",..,..,90.000000,..,..,95.000000,..,..,92.600000,..,97.420000,..,93.760000
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Slaughter",107.740000,105.840000,104.120000,104.350000,99.990000,101.100000,102.570000,100.830000,101.130000,106.630000,102.690000,105.400000,103.530000
"..Cordillera Administrative Region (CAR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken Layer (culls)",..,..,72.280000,..,..,90.000000,..,..,81.500000,125.280000,88.470000,..,91.510000
"..Cordillera Administrative Region (CAR)","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken egg, other breed",4.790000,4.790000,5.080000,4.980000,4.900000,4.990000,5.200000,5.260000,5.310000,5.010000,5.550000,5.160000,5.090000
"..Cordillera Administrative Region (CAR)","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cattle for Slaughter",..,..,115.820000,..,..,113.250000,..,..,..,..,..,111.190000,113.420000
"....Abra","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Hogs Upgraded for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Hogs Upgraded for Slaughter",107.740000,105.840000,104.840000,108.700000,99.970000,103.310000,109.030000,106.390000,108.800000,106.630000,108.060000,110.790000,106.680000
"....Abra","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
