"Geolocation","Commodity","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"PHILIPPINES","Arrowroot",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Carrots",15.71,13.08,14.79,19.05,22.53,32.61,31.46,30.39,22.36,22.43,22.76,22.40,22.46
"PHILIPPINES","Cassava, dried chips",6.42,6.46,6.42,6.33,6.38,6.47,6.20,6.33,6.28,6.26,6.38,6.20,6.34
"PHILIPPINES","Cassava, fresh tubers for food",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Cassava, fresh tubers for industrial use",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Gabi Cebu, for ginataan [Taro (cocoyam)]",9.98,10.08,10.19,10.05,10.39,9.43,10.46,10.26,11.24,11.99,10.69,10.94,10.48
"PHILIPPINES","Gabi Pao-galiang [Pao-galiang (cocoyam)]",3.83,3.69,4.48,4.83,4.06,4.51,9.43,9.33,11.54,10.83,11.42,10.05,7.33
"PHILIPPINES","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",12.28,12.59,13.01,12.57,13.05,13.78,14.36,14.56,14.67,14.58,15.17,14.37,13.75
"PHILIPPINES","Gabi with stalk [Dasheen]",11.58,11.73,11.50,11.27,12.01,11.72,11.40,11.84,12.32,11.87,11.79,11.39,11.70
"PHILIPPINES","Radish",12.11,12.73,12.62,13.85,14.13,13.47,12.87,13.29,15.79,13.65,14.85,14.73,13.67
"PHILIPPINES","Sweet Potato",9.79,9.41,9.43,9.80,10.05,10.21,10.63,10.81,10.99,11.15,10.90,10.93,10.34
"PHILIPPINES","Turnips",10.22,9.42,9.66,9.49,11.68,10.09,..,..,..,..,13.43,15.39,11.17
"PHILIPPINES","Ube [Purple yam]",14.41,11.69,13.00,20.50,20.77,25.00,..,..,..,22.09,15.88,17.06,17.82
"PHILIPPINES","White/Irish Potato",26.14,24.41,26.92,32.48,39.71,36.15,30.96,30.54,27.80,29.30,29.89,38.88,31.10
"..National Capital Region (NCR)","Arrowroot",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, dried chips",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, fresh tubers for food",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, fresh tubers for industrial use",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Pao-galiang [Pao-galiang (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
