"Geolocation","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2012 Annual"
"PHILIPPINES","Bush Sitao, Paayap [Cowpea]",22.49,21.50,16.34,19.18,15.38,16.65,18.99,26.00,23.05,22.67,22.02,22.46,20.56
"PHILIPPINES","Habitchuelas [Snap beans]",21.77,20.84,16.40,17.74,17.03,19.47,18.89,25.43,19.29,20.19,22.27,24.19,20.29
"PHILIPPINES","Kadios [Pigeon pea], dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Kadios [Pigeon pea], green",67.57,67.24,69.51,..,..,..,..,..,..,..,94.03,82.21,76.11
"PHILIPPINES","Mongo [Mungbean] green, labo",54.36,54.36,53.22,52.77,48.28,48.44,49.09,48.78,47.91,50.00,50.47,49.22,50.58
"PHILIPPINES","Mongo [Mungbean] green, shiny",45.22,45.65,44.03,44.85,43.57,43.98,46.28,44.52,40.85,37.54,39.94,40.93,43.11
"PHILIPPINES","Mongo [Mungbean] yellow, labo",..,..,..,..,..,..,..,..,..,..,..,61.69,61.69
"PHILIPPINES","Mongo [Mungbean] yellow, shiny",63.99,61.88,48.87,53.66,55.53,56.86,60.56,61.70,64.34,63.04,62.33,61.53,59.52
"PHILIPPINES","Patani [Lima beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Peanut with shell, fresh",29.70,29.63,30.66,30.10,29.59,30.39,31.24,31.99,31.15,30.59,31.74,30.10,30.57
"PHILIPPINES","Peanut with shell, dry",33.73,33.35,33.42,32.71,33.56,33.25,33.36,35.00,34.33,33.08,33.61,33.54,33.58
"PHILIPPINES","Peanut without shell, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Peanut without shell, dry",63.74,65.74,67.86,67.69,71.71,76.07,72.84,66.31,68.68,67.60,66.52,65.93,68.39
"PHILIPPINES","Sigarillas [Winged beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Stringbeans",21.07,20.57,19.51,18.38,18.12,18.09,18.87,20.72,20.94,19.22,19.74,20.46,19.64
"PHILIPPINES","Sweet Peas, Baguio",53.39,76.63,54.84,38.20,44.54,87.44,122.75,107.10,108.61,90.54,81.57,77.93,78.63
"PHILIPPINES","Sweet Peas, Native",82.64,..,..,..,..,..,..,..,..,..,..,78.21,80.43
"PHILIPPINES","Yambean, pods",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Habitchuelas [Snap beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Kadios [Pigeon pea], dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Kadios [Pigeon pea], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Mongo [Mungbean] green, labo",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Mongo [Mungbean] green, shiny",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Mongo [Mungbean] yellow, labo",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Mongo [Mungbean] yellow, shiny",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Patani [Lima beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Peanut with shell, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Peanut without shell, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
