"Geolocation","Commodity","2019 January","2019 February","2019 March","2019 April","2019 May","2019 June","2019 July","2019 August","2019 September","2019 October","2019 November","2019 December","2019 Annual"
"PHILIPPINES","Abaca",62.94,62.28,62.34,61.96,63.35,62.78,63.70,62.32,63.95,63.07,62.86,60.94,62.71
"PHILIPPINES","African Palm Oil",2.78,2.74,2.98,3.07,2.91,2.95,2.84,2.82,2.86,2.77,2.92,3.00,2.89
"PHILIPPINES","Cacao, dry beans [Cocoa beans]",97.84,95.44,93.18,93.26,100.68,97.09,90.88,94.06,97.09,98.69,100.63,106.11,97.08
"PHILIPPINES","Cashew Nut w/o apple, with shell",..,64.74,65.07,55.33,51.49,45.84,..,100.00,..,..,..,40.00,60.35
"PHILIPPINES","Cashew Nut, without shell",..,255.71,327.89,348.06,229.03,..,..,..,..,..,..,..,290.17
"PHILIPPINES","Castor beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coconut green, young 'buko'",8.69,8.50,8.74,8.89,8.65,8.62,8.55,8.41,8.69,8.70,8.76,8.95,8.68
"PHILIPPINES","Coconut matured",7.10,6.94,7.00,7.01,6.86,6.86,6.82,6.72,6.52,6.66,6.70,7.16,6.86
"PHILIPPINES","Coffee Arabica, green coffee beans",108.89,112.48,107.36,138.28,118.45,97.62,96.45,92.99,96.72,96.23,92.38,100.69,104.88
"PHILIPPINES","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Excelsa, green coffee beans",96.96,90.16,86.17,94.84,92.21,89.80,80.39,78.25,89.50,80.42,78.03,86.18,86.91
"PHILIPPINES","Coffee Excelsa, dry berries",43.00,40.00,41.17,40.00,38.00,40.00,50.00,47.24,50.00,45.96,..,50.00,44.12
"PHILIPPINES","Coffee Excelsa, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Liberica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Coffee Robusta, green coffee beans",80.69,80.09,81.43,82.21,82.78,81.42,85.30,83.99,69.62,74.85,76.45,75.49,79.53
"PHILIPPINES","Coffee Robusta, dry berries",43.81,55.48,42.00,46.79,44.59,46.75,45.00,37.53,41.00,45.65,47.50,48.39,45.37
"PHILIPPINES","Coffee Robusta, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Copra Corriente",16.15,14.29,13.61,13.53,13.64,13.53,13.44,13.59,13.59,13.42,14.42,18.00,14.27
"PHILIPPINES","Copra Resecada",17.13,16.00,16.14,16.44,16.14,16.04,15.76,15.57,16.03,15.85,16.62,23.38,16.76
"PHILIPPINES","Copra, fresh",6.44,6.00,5.97,5.44,5.95,5.94,5.98,6.38,6.12,6.40,6.56,7.09,6.19
"PHILIPPINES","Cotton (Seed cotton)",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Maguey",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Pili Nut, with hull",19.91,25.09,20.07,22.00,23.11,19.86,15.88,14.99,20.21,17.65,14.94,17.69,19.28
"PHILIPPINES","Pili Nut, with shell",51.74,53.13,61.66,52.43,49.78,59.29,48.31,52.75,48.65,48.92,51.80,56.24,52.89
