"Geolocation","Commodity","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"PHILIPPINES","Ampalaya [Bitter gourd]",31.99,29.62,28.28,25.82,26.82,27.89,26.40,27.36,28.22,31.81,35.06,31.95,29.27
"PHILIPPINES","Banana Blossom",5.15,4.48,4.11,4.09,3.70,5.19,3.74,5.04,4.19,6.00,7.04,9.91,5.22
"PHILIPPINES","Chayote",9.59,7.09,6.72,7.03,7.02,6.80,6.84,7.09,8.25,8.29,8.21,7.87,7.57
"PHILIPPINES","Cucumber",16.58,11.52,12.69,13.24,14.22,10.83,10.08,12.39,11.24,13.17,13.89,12.58,12.70
"PHILIPPINES","Eggplant long, purple",21.48,18.74,18.60,18.16,17.63,16.65,15.89,17.60,17.16,20.36,23.92,22.74,19.08
"PHILIPPINES","Eggplant native, round",19.87,15.28,16.18,15.27,18.72,18.46,14.69,23.62,16.87,25.66,28.18,29.33,20.18
"PHILIPPINES","Jackfruit, green",7.23,7.06,7.01,7.14,7.15,7.29,7.28,7.81,8.84,8.04,7.97,11.45,7.86
"PHILIPPINES","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Okra",17.61,16.05,16.36,15.75,15.28,15.05,13.68,15.29,16.31,19.98,20.58,19.59,16.79
"PHILIPPINES","Papaya, green",7.22,7.69,7.56,7.36,7.41,7.61,7.27,7.55,7.52,8.22,8.27,8.23,7.66
"PHILIPPINES","Patola [Dishrag gourd], Baguio",15.54,14.92,14.19,13.54,13.41,13.62,12.22,13.31,14.51,13.84,15.69,14.47,14.11
"PHILIPPINES","Patola [Dishrag gourd], native",20.80,20.86,20.69,20.47,20.84,20.45,18.32,19.23,18.79,20.23,21.14,19.43,20.10
"PHILIPPINES","Squash",11.57,11.40,10.87,9.81,8.87,8.50,9.22,8.93,9.72,10.91,13.29,12.89,10.50
"PHILIPPINES","Tomato",18.13,17.52,13.99,14.08,17.41,23.45,29.41,26.15,22.85,21.67,21.40,20.07,20.51
"PHILIPPINES","Upo [Bottle gourd]",11.78,11.19,10.89,10.40,10.79,10.97,10.72,11.17,11.72,11.69,12.24,12.04,11.30
"..National Capital Region (NCR)","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Papaya, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tomato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Ampalaya [Bitter gourd]",19.98,17.76,25.67,19.41,26.27,30.69,24.22,23.14,22.96,27.37,28.27,23.82,24.13
"..Cordillera Administrative Region (CAR)","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chayote",10.39,7.86,7.35,6.45,5.78,5.90,5.76,5.41,8.00,7.85,9.92,7.04,7.31
"..Cordillera Administrative Region (CAR)","Cucumber",28.32,11.57,11.08,14.47,15.88,9.52,5.20,15.55,13.49,19.82,18.14,17.33,15.03
"..Cordillera Administrative Region (CAR)","Eggplant long, purple",20.29,19.85,20.47,19.95,21.22,20.03,19.35,20.29,20.01,18.71,23.92,23.70,20.65
"..Cordillera Administrative Region (CAR)","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Okra",19.09,16.32,19.55,17.52,19.21,19.53,18.50,21.63,21.53,22.16,28.55,25.43,20.75
"..Cordillera Administrative Region (CAR)","Papaya, green",7.75,9.73,9.05,9.88,9.15,8.85,8.98,9.79,9.87,10.81,10.68,9.85,9.53
"..Cordillera Administrative Region (CAR)","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Squash",..,13.69,13.34,13.48,12.74,..,..,..,13.08,12.07,17.40,16.95,14.09
"..Cordillera Administrative Region (CAR)","Tomato",15.78,14.77,14.93,17.07,23.87,33.68,37.21,33.00,26.39,28.59,30.73,27.00,25.25
"..Cordillera Administrative Region (CAR)","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ampalaya [Bitter gourd]",16.84,13.55,..,..,..,..,..,..,..,..,19.76,21.82,17.99
"....Abra","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Eggplant long, purple",16.35,16.73,16.70,16.88,16.92,14.47,16.44,19.95,20.30,18.48,18.91,21.08,17.77
"....Abra","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Papaya, green",8.02,11.59,11.32,11.93,11.34,10.44,10.40,11.75,11.59,13.16,12.42,11.83,11.32
"....Abra","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Squash",..,13.10,12.37,..,..,..,..,..,..,..,..,..,12.74
"....Abra","Tomato",10.16,10.54,14.38,16.76,..,..,..,..,..,..,..,..,12.96
"....Abra","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Eggplant long, purple",21.74,22.18,20.59,21.07,21.62,21.54,20.55,19.13,18.25,20.26,20.12,20.35,20.62
"....Apayao","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Papaya, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Squash",..,..,12.57,12.60,12.74,..,..,..,13.08,12.46,15.22,..,13.11
"....Apayao","Tomato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Chayote",11.09,4.11,4.43,4.35,2.08,2.50,3.06,3.44,4.00,6.90,5.12,4.77,4.65
"....Benguet","Cucumber",28.32,11.57,11.65,20.53,17.24,9.52,5.20,15.55,15.30,19.60,14.69,14.37,15.30
"....Benguet","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Papaya, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Tomato",27.52,16.30,19.53,24.14,23.87,33.68,37.21,43.33,29.04,31.72,31.92,28.14,28.87
"....Benguet","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Papaya, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Tomato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Ampalaya [Bitter gourd]",23.11,21.97,25.67,19.41,26.27,30.69,24.22,23.14,22.96,27.37,36.77,25.82,25.62
"....Kalinga","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chayote",12.94,11.28,11.22,8.63,8.66,6.86,6.77,5.77,13.27,8.96,16.06,10.90,10.11
"....Kalinga","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Eggplant long, purple",22.79,20.63,24.11,21.91,25.13,24.07,21.05,21.79,21.48,17.39,32.72,29.66,23.56
"....Kalinga","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Okra",19.09,16.32,19.55,17.52,19.21,19.53,18.50,21.63,21.53,22.16,28.55,25.43,20.75
"....Kalinga","Papaya, green",7.47,7.86,6.77,7.82,6.96,7.26,7.56,7.82,8.14,8.45,8.93,7.86,7.74
"....Kalinga","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Squash",..,14.28,15.07,14.35,..,..,..,..,..,11.68,19.57,16.95,15.32
"....Kalinga","Tomato",..,17.46,10.87,10.31,..,..,..,22.67,23.73,21.44,26.44,..,18.99
"....Kalinga","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chayote",7.14,8.20,6.40,6.37,6.61,8.34,7.46,7.01,6.74,7.69,8.58,5.45,7.17
"....Mountain Province","Cucumber",..,..,10.51,8.40,14.52,..,..,..,11.68,20.04,21.58,20.29,15.29
"....Mountain Province","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Papaya, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Tomato",9.66,..,..,..,..,..,..,..,..,32.61,33.84,25.86,25.49
"....Mountain Province","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Ampalaya [Bitter gourd]",31.45,26.68,27.36,24.87,26.42,28.16,26.23,30.36,32.05,36.60,35.46,33.10,29.90
"..REGION I (ILOCOS REGION)","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Eggplant long, purple",15.29,11.58,13.86,10.86,12.00,12.70,11.92,16.18,14.46,23.26,31.18,25.79,16.59
"..REGION I (ILOCOS REGION)","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Jackfruit, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Kamansi [Seeded breadfruit]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Okra",13.71,14.62,15.22,15.01,15.84,13.69,11.71,16.07,15.17,21.56,23.41,20.17,16.35
"..REGION I (ILOCOS REGION)","Papaya, green",8.35,9.64,8.52,9.09,9.08,10.00,8.42,9.40,8.72,8.84,8.99,8.41,8.96
"..REGION I (ILOCOS REGION)","Patola [Dishrag gourd], Baguio",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Patola [Dishrag gourd], native",20.50,19.55,20.04,20.31,21.28,22.04,16.30,17.59,17.00,23.48,23.58,17.32,19.92
"..REGION I (ILOCOS REGION)","Squash",14.68,14.41,14.32,13.91,12.71,12.46,12.64,12.35,12.89,14.83,15.65,14.33,13.77
"..REGION I (ILOCOS REGION)","Tomato",10.93,10.26,9.33,11.04,15.84,..,43.60,31.77,30.16,24.37,22.14,17.35,20.62
"..REGION I (ILOCOS REGION)","Upo [Bottle gourd]",10.78,10.25,10.22,11.40,13.94,12.40,16.00,17.92,15.66,16.67,14.78,10.85,13.41
"....Ilocos Norte","Ampalaya [Bitter gourd]",25.95,19.76,19.60,25.16,24.68,26.43,24.17,27.86,26.91,36.67,39.62,28.40,27.10
"....Ilocos Norte","Banana Blossom",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Eggplant long, purple",16.33,11.18,10.72,10.91,10.93,10.49,9.69,11.78,10.36,18.57,40.06,26.53,15.63
