"Geolocation","Commodity","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2015 Annual"
"PHILIPPINES","Alugbati",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Ampalaya [Bitter gourd] leaves",57.57,46.70,45.34,40.55,48.46,43.05,37.64,40.72,83.48,71.94,59.45,62.55,53.12
"PHILIPPINES","Asparagus",95.00,95.00,93.69,92.56,92.46,89.15,88.70,85.79,85.39,87.74,88.36,84.81,89.89
"PHILIPPINES","Broccoli",21.02,18.25,33.19,20.69,24.77,19.18,37.19,46.59,68.06,58.17,39.39,26.31,34.40
"PHILIPPINES","Cabbage",21.47,17.82,18.72,20.46,23.62,22.08,26.71,27.76,26.81,34.04,26.72,27.40,24.47
"PHILIPPINES","Camote [Sweet potato] tops",12.90,12.97,13.26,13.84,13.64,13.12,13.65,13.93,13.84,13.81,13.86,14.02,13.57
"PHILIPPINES","Cauliflower",38.20,32.39,32.93,29.38,51.66,51.17,74.33,81.26,74.93,58.83,55.78,49.01,52.49
"PHILIPPINES","Celery",19.48,14.30,12.42,14.60,41.27,28.59,21.89,45.30,51.16,27.84,20.04,12.89,25.82
"PHILIPPINES","Chayote tops",14.51,16.03,19.29,20.79,20.20,21.55,24.15,22.61,23.69,21.95,21.86,22.02,20.72
"PHILIPPINES","Gabi [Dasheen] leaves",7.87,6.88,6.89,7.29,7.18,7.11,7.35,7.50,6.72,7.50,7.51,8.28,7.34
"PHILIPPINES","Kangkong [Morning glory]",11.94,10.93,11.26,12.23,12.38,11.23,11.96,11.80,11.51,11.72,12.25,12.19,11.78
"PHILIPPINES","Lettuce",36.87,19.13,11.53,30.73,40.38,46.56,64.21,88.27,25.40,32.33,24.51,31.90,37.65
"PHILIPPINES","Malunggay [Horseradish] leaves",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Mustard",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Pechay Baguio [Chinese cabbage]",12.41,8.04,10.99,13.38,19.51,16.98,30.02,31.86,25.78,14.94,13.36,9.19,17.21
"PHILIPPINES","Pechay native",21.15,18.82,19.18,21.92,22.13,22.84,25.16,24.65,24.24,25.79,23.73,25.25,22.91
"PHILIPPINES","Saluyot [Jews mallows]",..,..,..,..,..,..,..,..,..,..,..,..,..
