"Geolocation","Type","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2020 Annual"
"PHILIPPINES","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Carabao for Fattening",122.080000,125.290000,125.440000,127.960000,124.470000,124.980000,123.770000,120.410000,124.570000,124.210000,124.220000,122.840000,124.190000
"PHILIPPINES","Carabao for Slaughter",108.770000,108.720000,110.800000,107.890000,110.250000,107.570000,109.740000,109.900000,109.850000,111.560000,112.820000,115.490000,110.280000
"PHILIPPINES","Carabao for Work",107.500000,106.260000,104.340000,103.540000,108.900000,108.220000,107.370000,107.650000,110.030000,109.510000,110.670000,108.890000,107.740000
"PHILIPPINES","Cattle for Fattening",130.580000,126.530000,121.430000,120.370000,129.420000,123.130000,138.020000,127.350000,130.030000,124.840000,126.420000,133.140000,127.610000
"PHILIPPINES","Cattle for Slaughter",126.140000,125.460000,127.840000,126.560000,129.740000,127.730000,128.280000,127.320000,128.250000,128.960000,132.540000,135.730000,128.710000
"PHILIPPINES","Cattle for Work",112.630000,110.990000,..,..,..,123.340000,..,122.780000,..,123.680000,124.050000,123.370000,120.120000
"PHILIPPINES","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Goat for Slaughter",148.040000,147.620000,147.240000,145.700000,149.060000,150.370000,148.550000,150.100000,149.540000,151.570000,154.430000,157.050000,149.940000
"PHILIPPINES","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Hogs Upgraded for Breeding",249.090000,237.890000,150.090000,241.540000,230.500000,237.110000,214.790000,189.450000,242.940000,214.070000,213.410000,138.970000,213.320000
"PHILIPPINES","Hogs Upgraded for Slaughter",103.650000,104.450000,104.840000,105.890000,108.330000,111.760000,111.050000,108.810000,108.190000,117.790000,126.010000,133.000000,111.980000
"PHILIPPINES","Chicken Broiler, other breed",119.660000,109.570000,109.800000,102.920000,106.340000,111.630000,108.000000,107.810000,112.780000,105.930000,108.170000,113.860000,109.710000
"PHILIPPINES","Chicken Fighting Cock",1272.030000,1263.430000,997.590000,1398.550000,933.200000,1269.770000,929.750000,981.500000,942.080000,932.090000,1013.970000,1144.340000,1089.860000
"PHILIPPINES","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Chicken Native/Improved",156.190000,155.150000,154.560000,155.920000,156.130000,157.150000,154.480000,155.840000,155.670000,156.890000,169.140000,161.840000,157.410000
"PHILIPPINES","Duck for meat",156.840000,159.180000,142.460000,160.060000,181.670000,157.820000,167.420000,166.740000,175.070000,170.600000,183.560000,178.430000,166.650000
"PHILIPPINES","Chicken egg, other breed",6.460000,6.710000,7.210000,7.000000,6.790000,6.810000,7.150000,6.980000,7.130000,7.090000,6.900000,7.080000,6.940000
"PHILIPPINES","Chicken egg, Native",6.970000,6.980000,6.720000,6.680000,7.180000,6.940000,7.280000,7.520000,7.200000,7.350000,7.520000,7.490000,7.150000
"PHILIPPINES","Duck egg",6.980000,7.050000,6.920000,6.570000,7.100000,7.060000,7.260000,7.100000,7.080000,6.820000,7.110000,6.910000,7.000000
"..National Capital Region (NCR)","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Hogs Upgraded for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carabao for Slaughter",108.140000,109.060000,116.670000,118.810000,119.500000,121.400000,120.780000,121.160000,120.300000,122.190000,129.490000,131.250000,119.900000
"..Cordillera Administrative Region (CAR)","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Slaughter",124.230000,124.620000,152.800000,152.500000,157.110000,129.890000,127.480000,132.840000,133.750000,133.330000,152.910000,150.490000,139.330000
"..Cordillera Administrative Region (CAR)","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Goat for Slaughter",130.960000,127.390000,139.310000,118.350000,148.640000,131.770000,136.040000,131.510000,128.650000,124.150000,143.780000,139.610000,133.350000
"..Cordillera Administrative Region (CAR)","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Hogs Upgraded for Slaughter",112.310000,113.230000,114.220000,116.390000,117.020000,120.510000,121.920000,126.690000,123.540000,127.670000,137.820000,156.240000,123.960000
"..Cordillera Administrative Region (CAR)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Chicken Native/Improved",202.250000,182.070000,218.350000,221.450000,191.530000,194.060000,183.600000,182.940000,193.900000,203.410000,203.170000,202.190000,198.240000
