"Geolocation","Commodity","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2014 Annual"
"PHILIPPINES","Arrowroot",5.55,5.35,5.52,5.71,..,..,..,..,..,..,..,5.80,5.59
"PHILIPPINES","Carrots",31.27,26.80,24.94,25.95,30.22,36.04,33.61,30.17,27.10,27.54,31.42,35.37,30.04
"PHILIPPINES","Cassava, dried chips",7.50,7.42,7.54,7.40,7.52,7.57,8.23,7.50,7.47,7.39,7.39,7.63,7.55
"PHILIPPINES","Cassava, fresh tubers for food",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Cassava, fresh tubers for industrial use",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Gabi Cebu, for ginataan [Taro (cocoyam)]",14.44,13.18,12.38,12.44,12.97,11.41,11.12,11.51,13.83,13.19,13.53,13.34,12.78
"PHILIPPINES","Gabi Pao-galiang [Pao-galiang (cocoyam)]",8.44,7.24,10.52,7.58,8.37,9.23,9.92,14.52,16.41,18.40,16.28,22.24,12.43
"PHILIPPINES","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",15.74,15.68,15.73,17.33,16.81,16.29,16.19,16.76,14.59,16.48,17.12,15.34,16.17
"PHILIPPINES","Gabi with stalk [Dasheen]",14.25,12.98,13.44,13.82,13.85,13.35,13.84,13.59,13.38,13.51,13.77,14.53,13.69
"PHILIPPINES","Radish",18.37,17.90,15.49,16.34,16.55,17.94,16.81,18.53,19.71,16.90,17.79,19.37,17.64
"PHILIPPINES","Sweet Potato",13.45,13.08,12.73,12.93,13.42,13.78,14.53,14.01,14.90,14.65,14.28,15.21,13.91
"PHILIPPINES","Turnips",14.14,11.46,8.94,8.21,10.13,..,..,..,..,..,23.37,21.52,13.97
"PHILIPPINES","Ube [Purple yam]",18.36,20.64,22.06,19.67,19.84,23.59,24.85,23.32,21.03,26.27,20.39,22.10,21.84
"PHILIPPINES","White/Irish Potato",45.00,42.15,38.91,33.13,31.49,31.57,28.67,30.86,33.52,36.21,33.91,33.39,34.90
"..National Capital Region (NCR)","Arrowroot",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, dried chips",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, fresh tubers for food",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cassava, fresh tubers for industrial use",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Pao-galiang [Pao-galiang (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Gabi with stalk [Dasheen]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Turnips",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Ube [Purple yam]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Arrowroot",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Carrots",25.08,17.60,15.41,13.13,17.26,39.09,29.91,21.74,17.57,21.67,26.13,18.88,21.96
"..Cordillera Administrative Region (CAR)","Cassava, dried chips",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cassava, fresh tubers for food",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cassava, fresh tubers for industrial use",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Gabi Pao-galiang [Pao-galiang (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
