"Cereals: Retail Prices of Agricultural Commodities by Region/Province, Commodity, year and period"

"Region/Province","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December"
"PHILIPPINES","CORN, WHOLE GRAIN, YELLOW, 1 KG",20.89,20.76,21.31,21.39,21.06,21.55,21.55,21.55,21.55,21.55,21.47,21.55,21.63,21.75,22.00,22.17,22.17,22.12,22.21,22.63,22.46,21.86,21.90,21.90,22.06,22.08,22.25,22.25,22.37,22.46,22.80,22.72,22.35,22.35,22.35,22.35,22.67,22.67,22.67,22.85,23.21,23.43,23.43,23.43,23.19,23.27,23.27,23.27,23.35,23.10,23.10,23.10,22.94,22.94,23.10,22.94,22.94,23.10,23.19,23.10,23.19,23.02,23.02,23.02,23.02,23.02,23.02,23.02,23.02,22.77,22.77,22.77
"PHILIPPINES","WHOLE CORN GRAIN, POPCORN, YELLOW, 1 KG",18.48,18.48,18.48,18.48,18.48,18.48,20.79,20.79,21.78,21.78,21.78,21.78,21.78,21.78,22.28,23.93,24.92,25.00,24.92,26.07,26.07,27.23,27.23,29.21,28.54,28.54,28.22,28.71,28.71,28.71,28.71,29.53,28.71,28.71,28.71,28.71,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,29.50,31.25,31.38,31.38,31.38,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50
"PHILIPPINES","WHOLE CORN GRAIN, WHITE, 1 KG",25.02,24.69,23.85,24.18,24.22,24.45,24.72,24.74,24.79,25.23,25.23,25.27,25.48,25.52,25.52,25.52,25.69,25.77,25.77,25.77,26.06,26.10,26.10,26.18,26.18,26.18,26.39,26.34,26.24,26.33,26.54,26.68,26.57,26.66,26.58,26.75,26.86,26.90,26.90,26.93,26.93,26.96,26.91,26.99,27.07,26.76,26.76,26.79,26.32,26.29,25.77,26.04,26.23,26.06,26.32,27.18,27.42,27.51,27.43,27.43,27.25,27.21,26.94,27.06,27.01,26.63,26.88,26.88,27.18,27.26,27.58,27.68
"PHILIPPINES","WHOLE CORN GRAIN, YELLOW, 1 KG",24.31,25.10,25.13,25.04,25.01,24.86,24.77,24.58,24.29,24.36,24.48,24.26,24.41,24.45,24.37,24.59,24.50,24.24,24.07,24.22,24.23,24.31,24.48,24.47,24.26,24.12,24.23,24.49,24.55,24.92,24.99,25.15,25.33,25.31,25.10,25.36,25.47,25.58,25.60,25.60,25.45,25.46,25.18,25.17,25.16,25.25,25.19,25.25,25.64,25.62,25.60,25.29,25.09,25.23,25.21,25.79,25.48,25.49,25.47,25.27,25.61,25.60,25.08,25.14,25.17,25.30,25.33,25.46,25.90,25.96,25.66,25.74
"PHILIPPINES","WHOLE CORN ON THE COB, SWEET CORN, 1 KG",29.07,29.21,29.29,29.63,29.98,30.83,31.50,31.55,31.42,31.20,31.35,31.41,31.44,31.71,31.50,31.74,32.21,32.32,32.94,32.96,33.33,33.86,33.75,33.88,33.99,34.22,35.03,35.19,35.53,35.73,35.95,36.27,36.05,35.94,36.19,36.30,36.54,36.64,36.74,36.79,37.08,36.83,36.88,36.70,36.41,36.33,36.65,36.98,37.24,36.97,37.09,37.38,37.31,37.35,37.84,38.18,38.15,37.34,38.34,38.39,38.40,38.15,38.40,38.48,39.00,38.79,38.70,38.98,40.44,39.64,39.51,39.41
"..NATIONAL CAPITAL REGION (NCR)","CORN, WHOLE GRAIN, YELLOW, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","WHOLE CORN GRAIN, POPCORN, YELLOW, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","WHOLE CORN GRAIN, WHITE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","WHOLE CORN GRAIN, YELLOW, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","WHOLE CORN ON THE COB, SWEET CORN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","CORN, WHOLE GRAIN, YELLOW, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","WHOLE CORN GRAIN, POPCORN, YELLOW, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
