"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2020 Annual"
"PHILIPPINES","FRESH FISH, CATFISH, HITO, MEDIUM, 1 KG",158.63,159.05,160.75,162.01,161.67,161.37,161.65,161.07,160.27,160.01,159.93,161.09,160.62
"PHILIPPINES","FRESH FISH, DALAG, MEDIUM, 1 KG",214.40,209.43,207.44,210.52,211.15,212.06,213.39,221.60,221.36,233.48,226.67,226.35,217.32
"PHILIPPINES","FRESH FISH, GUTOB, MEDIUM, 1 KG",199.64,176.38,170.72,157.91,154.51,160.40,149.69,144.50,144.55,151.01,153.62,153.56,159.71
"PHILIPPINES","FRESH FISH, LAGAO, MEDIUM, 1 KG",273.17,272.37,265.43,268.20,270.39,258.67,246.35,241.77,256.72,267.06,273.66,264.28,263.17
"PHILIPPINES","FRESH FISH, TILAPIA, MEDIUM, 1 KG",142.82,143.65,144.39,146.04,145.65,144.34,141.91,140.25,141.46,141.95,142.49,144.04,143.25
"PHILIPPINES","FRESH FISH, ALOY/TULINGAN, MEDIUM, 1 KG",168.27,165.02,165.34,160.66,155.76,155.09,148.71,150.15,149.65,158.19,168.10,169.25,159.51
"PHILIPPINES","FRESH FISH, BARILIS, MEDIUM, 1 KG",300.62,300.22,290.22,265.53,248.30,246.85,223.50,214.98,246.06,252.93,247.18,254.14,257.54
"PHILIPPINES","FRESH FISH, BARILISION, MEDIUM, 1 KG",213.83,218.28,202.99,186.72,172.00,173.60,141.46,141.40,148.47,169.41,173.77,168.07,175.83
"PHILIPPINES","FRESH FISH, OCEANIC BONITO, TULINGANG PUTI, MEDIUM, 1 KG",205.57,198.05,193.79,189.83,179.61,172.89,164.01,162.04,165.61,166.46,171.76,179.76,179.12
"PHILIPPINES","FRESH FISH, SKIPJACK (GULYASAN), MEDIUM, 1 KG",197.91,197.25,190.52,178.71,168.28,162.00,158.64,149.38,150.92,158.97,195.37,222.24,177.52
"PHILIPPINES","FRESH FISH, TULINGAN (FRIGATE TUNA), MEDIUM, 1 KG",205.73,208.64,201.20,185.12,180.55,178.33,172.34,172.44,172.37,173.72,188.12,190.77,185.78
"PHILIPPINES","FRESH FISH, TUNA, YELLOW-FIN (TAMBAKOL), MEDIUM, 1 KG",253.88,263.11,259.59,249.19,241.21,233.60,220.22,214.03,213.85,215.01,225.70,230.69,235.01
"PHILIPPINES","FRESH FISH, BIG-EYED SCAD, MATAMBAKA, MEDIUM, 1 KG",203.38,205.66,201.06,192.72,182.46,180.16,169.00,166.16,167.55,173.84,180.50,195.10,184.80
"PHILIPPINES","FRESH FISH, BUDBURON, MEDIUM, 1 KG",179.17,187.31,183.17,165.95,154.97,150.12,128.08,130.43,156.03,161.76,160.11,153.26,159.20
"PHILIPPINES","FRESH FISH, BUDBURON, SMALL, 1 KG",135.68,144.42,147.85,161.72,179.88,178.00,175.43,147.33,147.08,147.33,163.61,191.87,160.01
"PHILIPPINES","FRESH FISH, BURAW/BORAO, MEDIUM, 1 KG",203.67,216.01,218.60,217.22,212.70,195.13,186.48,178.91,178.06,182.00,201.41,209.88,200.01
"PHILIPPINES","FRESH FISH, BUROT, MEDIUM, 1 KG",163.97,166.52,168.09,147.35,140.05,132.04,126.65,123.44,129.30,138.03,140.04,145.31,143.40
"PHILIPPINES","FRESH FISH, BUSLOGAN, 1 KG",215.00,235.00,255.00,247.50,252.50,235.00,207.50,190.00,187.50,186.25,192.50,190.00,216.15
"PHILIPPINES","FRESH FISH, DILIS (ANCHOVIES), 1 KG",137.58,137.17,136.11,133.62,133.66,134.54,132.53,129.19,127.96,131.14,134.94,136.61,133.76
"PHILIPPINES","FRESH FISH, FLYING FISH (BANGSI), MEDIUM, 1 KG",136.33,132.31,134.93,134.65,129.71,129.18,124.14,121.73,122.58,120.70,122.33,121.95,127.55
"PHILIPPINES","FRESH FISH, FLYING FISH (BARUNGOY), MEDIUM, 1 KG",160.77,170.04,182.41,192.07,163.67,166.37,157.58,155.55,148.79,147.70,148.38,148.79,161.84
"PHILIPPINES","FRESH FISH, MACKEREL, ANDUHAU, MEDIUM, 1 KG",200.30,202.14,206.84,209.22,196.52,197.56,194.90,193.21,188.90,186.51,191.60,196.78,197.04
