"Geolocation","Commodity","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2024 Annual"
"PHILIPPINES","FRESH FRUIT, AVOCADO, 1 KG",118.95,117.84,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",31.25,28.41,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",83.82,84.51,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",49.35,49.54,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",36.84,36.92,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",92.47,89.41,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",128.94,122.97,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",59.63,61.39,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",173.84,163.71,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",146.88,130.90,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",136.76,133.46,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",164.17,149.89,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",174.31,170.31,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",44.22,43.27,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",47.17,46.92,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",53.48,53.67,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",36.29,35.55,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",62.97,62.03,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",54.64,54.06,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",71.76,75.86,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",66.58,67.88,..,..,..,..,..,..,..,..,..,..,..
