"Geolocation","Commodity","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2024 Annual"
"PHILIPPINES","CABBAGE, 1 KG",78.53,73.59,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","CAULIFLOWER, 1 KG",160.83,132.11,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","BANANA BLOSSOM (PUSO NG SAGING), 1 KG",28.94,32.12,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","ALUGBATI, 1 KG",62.50,65.91,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","CAMOTE TOPS, 1 KG",44.85,44.99,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","CHAYOTE LEAVES, 1 KG",44.27,46.14,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","GABI LEAVES, 1 KG",87.75,89.42,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","KANGKONG, 1 KG",49.80,51.23,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","MALUNGGAY, 1 KG",59.13,55.34,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","PECHAY, CHINESE, 1 KG",68.00,66.29,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","PECHAY, NATIVE, 1 KG",88.09,89.13,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","ONION LEAVES, 1 KG",136.85,139.71,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","CABBAGE, 1 KG",62.65,64.40,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","CAULIFLOWER, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","BANANA BLOSSOM (PUSO NG SAGING), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","ALUGBATI, 1 KG",72.87,74.47,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","CAMOTE TOPS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","CHAYOTE LEAVES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","GABI LEAVES, 1 KG",270.57,271.03,..,..,..,..,..,..,..,..,..,..,..
