"Geolocation","Commodity","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2024 Annual"
"PHILIPPINES","FRESH BEEF, BRISKET WITH BONES, 1 KG",314.58,319.74,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH BEEF, MEAT WITH BONES, 1 KG",340.25,340.06,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH BEEF, PURE MEAT, 1 KG",410.67,412.40,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH CARABEEF, MEAT WITH BONES, 1 KG",291.48,293.98,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH CARABEEF, PURE MEAT, 1 KG",389.27,388.39,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, KASIM, 1 KG",319.39,322.45,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, LIEMPO, 1 KG",334.04,336.37,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, MEAT WITH BONES, 1 KG",286.71,290.56,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, PATA, FORE (FRONT), 1 KG",281.82,283.48,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, PORK CHOP, 1 KG",318.87,322.38,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","FRESH PORK, SPARE RIBS, 1 KG",285.29,294.63,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","EDIBLE OFFAL, LIVER, PORK, 1 KG",252.59,254.31,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",266.50,270.25,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",300.00,303.33,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH BEEF, MEAT WITH BONES, 1 KG",399.74,400.39,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH BEEF, PURE MEAT, 1 KG",451.75,452.68,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, KASIM, 1 KG",316.94,327.17,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, LIEMPO, 1 KG",363.34,370.99,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, MEAT WITH BONES, 1 KG",295.83,305.49,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, LIVER, PORK, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH BEEF, MEAT WITH BONES, 1 KG",338.33,335.61,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH BEEF, PURE MEAT, 1 KG",365.06,365.28,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, KASIM, 1 KG",294.57,293.06,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, LIEMPO, 1 KG",306.17,302.14,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, MEAT WITH BONES, 1 KG",290.36,288.01,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, LIVER, PORK, 1 KG",238.29,236.50,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH BEEF, MEAT WITH BONES, 1 KG",295.00,285.00,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH BEEF, PURE MEAT, 1 KG",298.75,296.25,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, KASIM, 1 KG",270.00,262.50,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, LIEMPO, 1 KG",280.00,260.00,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, MEAT WITH BONES, 1 KG",260.00,246.25,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, LIVER, PORK, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH BEEF, MEAT WITH BONES, 1 KG",312.50,295.00,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH BEEF, PURE MEAT, 1 KG",335.00,325.00,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, KASIM, 1 KG",268.75,260.00,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, LIEMPO, 1 KG",268.75,260.00,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, MEAT WITH BONES, 1 KG",262.50,252.50,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","EDIBLE OFFAL, LIVER, PORK, 1 KG",270.00,257.50,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
