"Geolocation","Commodity","2019 January","2019 February","2019 March","2019 April","2019 May","2019 June","2019 July","2019 August","2019 September","2019 October","2019 November","2019 December","2019 Annual"
"PHILIPPINES","CARROT, 1 KG",89.89,79.89,76.52,81.84,87.27,88.30,99.26,98.46,93.46,93.67,87.59,86.30,88.54
"PHILIPPINES","TURNIP (SINGKAMAS), 1 KG",39.27,41.28,43.48,38.66,41.08,42.31,45.90,45.69,45.44,45.41,47.64,48.12,43.69
"PHILIPPINES","RADDISH (LABANOS), 1 KG",60.36,60.64,59.88,64.37,70.75,68.16,65.28,64.59,65.04,65.73,64.95,62.92,64.39
"PHILIPPINES","POTATO, 1 KG",88.00,83.50,78.61,77.87,79.08,80.34,81.22,81.47,85.62,88.51,91.22,88.95,83.70
"PHILIPPINES","POTATO, BAGUIO, GOOD QUALITY, 1 KG",73.52,63.04,57.54,55.75,58.50,52.36,52.88,61.88,69.80,81.97,76.15,61.03,63.70
"PHILIPPINES","POTATO, IRISH (WHITE), 1 KG",103.19,86.18,82.17,83.51,80.84,83.18,88.39,87.15,103.88,125.19,121.55,107.09,96.03
"PHILIPPINES","SWEET POTATO (CAMOTE), 1 KG",46.82,46.12,44.15,42.90,43.63,44.05,44.35,45.74,45.98,46.37,47.40,47.85,45.45
"PHILIPPINES","SWEET POTATO (CAMOTE), NATIVE, 1 KG",44.93,44.49,44.15,44.14,49.22,48.76,51.63,53.17,54.04,53.35,50.59,49.04,48.96
"PHILIPPINES","SWEET POTATO (CAMOTE), WHITE, MEDIUM, 1 KG",45.84,43.08,40.83,39.78,42.02,43.34,45.61,49.37,51.70,52.32,49.87,48.64,46.03
"PHILIPPINES","SWEET POTATO (CAMOTE), YELLOW, 1 KG",46.54,45.64,44.99,44.63,45.41,46.22,46.78,48.96,49.58,49.63,48.22,47.84,47.04
"PHILIPPINES","CASSAVA (KAMOTENG KAHOY), 1 KG",31.22,31.55,30.52,30.84,31.25,31.40,31.30,31.33,31.36,31.78,32.13,33.23,31.49
"PHILIPPINES","UBE, 1 KG",58.75,58.13,56.15,57.15,57.00,54.99,54.47,55.25,55.17,54.16,55.80,55.96,56.08
"PHILIPPINES","GABI TUBERS, 1 KG",50.28,48.66,48.97,48.46,49.55,50.23,50.11,51.81,54.21,54.93,54.33,53.89,51.29
"PHILIPPINES","GABI TUBERS, CEBU, 1 KG",44.31,44.01,44.57,45.13,47.61,48.70,49.06,51.77,49.58,49.02,46.49,49.29,47.46
"PHILIPPINES","GABI TUBERS, CEBU/BUTIG, 1 KG",37.66,40.29,44.67,48.09,55.89,55.89,62.63,64.21,65.09,64.38,50.19,48.53,53.13
"PHILIPPINES","GABI TUBERS, MALAGKIT WITH STALK, 1 KG",78.73,72.04,66.94,66.94,66.94,66.94,66.94,66.94,65.04,66.94,75.55,81.29,70.11
"PHILIPPINES","GABI TUBERS, NATIVE, 1 KG",48.20,47.82,47.37,48.54,49.97,51.26,51.38,53.49,53.52,56.39,55.88,56.26,51.67
"PHILIPPINES","GABI TUBERS, SAN FERNANDO, 1 KG",37.90,34.46,32.78,35.34,35.40,37.38,38.65,38.18,43.21,43.76,44.83,43.89,38.82
"PHILIPPINES","GABI TUBERS, TAGALOG, 1 KG",53.45,52.97,52.69,53.54,55.51,59.04,58.90,64.51,65.43,67.87,65.42,65.86,59.60
"PHILIPPINES","GABI TUBERS, WHITE, 1 KG",39.09,38.38,38.81,39.24,40.38,40.17,40.17,40.38,41.46,42.46,42.46,42.39,40.45
"PHILIPPINES","GABI TUBES, PLASTIC, CELLOPHANE, 1 KG",52.62,54.56,59.72,68.11,57.45,63.60,61.97,69.07,68.42,78.75,78.75,84.89,66.49
"PHILIPPINES","GABI, MALAGKIT, 1 KG",48.81,48.61,48.61,50.21,53.40,53.40,52.60,65.35,66.95,68.81,70.66,70.66,58.17
"PHILIPPINES","KARLANG, 1 KG",41.01,48.71,45.70,47.75,48.52,48.19,52.48,52.02,54.49,54.15,54.82,50.89,49.89
"PHILIPPINES","PALAWAN, YELLOW, 1 KG",20.73,20.73,20.73,20.73,20.73,21.63,20.73,20.73,18.93,18.93,18.93,18.93,20.21
"PHILIPPINES","PAO GALLIANG, FRESH TUBER, 1 KG",35.51,36.78,38.05,36.78,36.78,39.32,39.32,38.05,36.78,37.42,38.05,38.69,37.63
"..National Capital Region (NCR)","CARROT, 1 KG",67.90,59.94,66.17,85.68,81.67,85.89,89.38,76.27,82.93,89.66,85.97,85.47,79.74
"..National Capital Region (NCR)","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","RADDISH (LABANOS), 1 KG",69.97,69.57,68.69,68.09,68.68,69.33,69.34,70.00,69.41,69.15,69.40,71.70,69.44
"..National Capital Region (NCR)","POTATO, 1 KG",70.28,58.93,59.24,63.26,67.73,71.68,72.86,77.39,92.45,98.55,93.34,85.12,75.90
"..National Capital Region (NCR)","POTATO, BAGUIO, GOOD QUALITY, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","POTATO, IRISH (WHITE), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","SWEET POTATO (CAMOTE), 1 KG",49.00,46.15,45.76,46.72,47.78,50.39,49.25,47.83,50.38,47.11,45.25,45.06,47.56
"..National Capital Region (NCR)","SWEET POTATO (CAMOTE), NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
