"Geolocation","Commodity","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2023 Annual"
"PHILIPPINES","MATURED COCONUT, MEDIUM, 1 PC",26.93,26.67,26.50,26.54,26.43,26.31,26.22,26.19,26.28,26.35,26.40,26.42,26.44
"PHILIPPINES","YOUNG COCONUT, MEDIUM, 1 PC",29.06,29.09,29.19,29.17,29.22,29.40,29.65,29.63,29.65,29.70,29.74,29.89,29.45
"..National Capital Region (NCR)","MATURED COCONUT, MEDIUM, 1 PC",32.31,31.99,31.93,32.07,31.77,31.28,31.64,31.77,31.92,31.76,31.74,31.78,31.83
"..National Capital Region (NCR)","YOUNG COCONUT, MEDIUM, 1 PC",34.03,33.69,33.99,33.81,33.29,33.43,33.31,33.48,33.47,33.54,33.42,34.64,33.68
"..Cordillera Administrative Region (CAR)","MATURED COCONUT, MEDIUM, 1 PC",37.62,36.72,36.74,37.19,37.49,37.56,37.74,37.67,37.90,38.19,38.30,38.40,37.63
"..Cordillera Administrative Region (CAR)","YOUNG COCONUT, MEDIUM, 1 PC",42.01,42.02,41.97,42.34,42.37,42.65,43.00,43.67,44.20,44.07,44.26,44.30,43.07
"....Abra","MATURED COCONUT, MEDIUM, 1 PC",40.63,40.63,40.63,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.10
"....Abra","YOUNG COCONUT, MEDIUM, 1 PC",47.14,47.14,47.14,47.14,47.14,47.14,47.14,48.57,48.57,48.57,48.13,48.13,47.66
"....Apayao","MATURED COCONUT, MEDIUM, 1 PC",19.38,18.59,18.75,18.75,18.75,18.75,17.97,16.88,16.88,17.34,17.50,18.75,18.19
"....Apayao","YOUNG COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","MATURED COCONUT, MEDIUM, 1 PC",41.25,41.25,41.25,42.50,42.50,42.50,42.50,42.50,42.50,42.50,43.00,43.00,42.27
"....Benguet","YOUNG COCONUT, MEDIUM, 1 PC",43.75,43.75,43.75,45.00,45.00,45.00,45.00,45.00,45.00,45.00,48.00,49.00,45.27
"....Ifugao","MATURED COCONUT, MEDIUM, 1 PC",35.71,38.57,38.57,38.57,39.29,37.86,37.86,37.86,39.29,39.29,39.29,39.29,38.45
"....Ifugao","YOUNG COCONUT, MEDIUM, 1 PC",35.00,35.00,35.00,35.00,35.71,37.14,37.14,38.57,40.00,38.57,38.57,38.57,37.02
"....Kalinga","MATURED COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","YOUNG COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","MATURED COCONUT, MEDIUM, 1 PC",47.50,40.00,40.00,40.63,41.88,43.75,45.00,45.00,43.75,43.75,45.00,45.00,43.44
"....Mountain Province","YOUNG COCONUT, MEDIUM, 1 PC",39.38,39.38,39.38,40.00,39.38,39.38,40.63,40.63,40.63,40.63,40.00,40.00,39.95
"....City of Baguio","MATURED COCONUT, MEDIUM, 1 PC",41.25,41.25,41.25,41.43,41.25,41.25,41.88,42.50,43.75,45.00,43.75,43.13,42.31
"....City of Baguio","YOUNG COCONUT, MEDIUM, 1 PC",44.80,44.85,44.60,44.56,44.60,44.60,45.10,45.60,46.80,47.60,46.60,45.80,45.46
"..REGION I (ILOCOS REGION)","MATURED COCONUT, MEDIUM, 1 PC",36.67,36.67,36.88,36.46,36.88,37.09,37.09,37.09,37.09,37.50,37.71,37.50,37.05
"..REGION I (ILOCOS REGION)","YOUNG COCONUT, MEDIUM, 1 PC",35.47,35.47,35.26,35.11,35.31,35.16,35.16,34.85,35.00,35.32,35.32,35.47,35.24
"....Ilocos Norte","MATURED COCONUT, MEDIUM, 1 PC",36.88,36.88,36.88,35.63,36.88,36.88,36.88,36.88,36.88,36.88,37.50,37.50,36.88
"....Ilocos Norte","YOUNG COCONUT, MEDIUM, 1 PC",33.75,33.75,33.75,32.50,33.75,33.75,33.75,33.75,34.38,34.38,34.38,34.38,33.86
"....Ilocos Sur","MATURED COCONUT, MEDIUM, 1 PC",38.13,38.13,38.13,38.13,38.13,38.75,38.75,38.75,38.75,40.00,40.00,40.00,38.80
"....Ilocos Sur","YOUNG COCONUT, MEDIUM, 1 PC",36.88,36.88,36.88,37.50,37.50,38.13,38.13,38.13,38.13,39.38,39.38,39.38,38.03
"....La Union","MATURED COCONUT, MEDIUM, 1 PC",35.00,35.00,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.00,35.47
"....La Union","YOUNG COCONUT, MEDIUM, 1 PC",36.25,36.25,36.25,36.25,35.00,33.75,33.75,33.75,33.75,33.75,33.75,34.38,34.74
"....Pangasinan","MATURED COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","YOUNG COCONUT, MEDIUM, 1 PC",35.00,35.00,34.17,34.17,35.00,35.00,35.00,33.75,33.75,33.75,33.75,33.75,34.34
"..REGION II (CAGAYAN VALLEY)","MATURED COCONUT, MEDIUM, 1 PC",32.50,32.50,32.19,31.88,32.50,32.92,33.86,32.92,32.29,31.98,32.09,32.09,32.48
"..REGION II (CAGAYAN VALLEY)","YOUNG COCONUT, MEDIUM, 1 PC",29.88,30.13,30.00,30.00,29.46,30.25,30.50,30.63,29.96,29.59,29.13,29.13,29.89
"....Batanes","MATURED COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batanes","YOUNG COCONUT, MEDIUM, 1 PC",38.33,38.33,38.33,38.33,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,36.11
"....Cagayan","MATURED COCONUT, MEDIUM, 1 PC",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","YOUNG COCONUT, MEDIUM, 1 PC",26.25,26.88,26.25,26.25,25.63,25.00,25.63,26.25,26.25,26.25,26.25,26.25,26.10
"....Isabela","MATURED COCONUT, MEDIUM, 1 PC",27.50,27.50,27.50,27.50,27.50,30.83,30.83,30.83,30.83,30.83,29.17,29.17,29.17
