"Geolocation","Commodity","2018 January","2018 February","2018 March","2018 April","2018 May","2018 June","2018 July","2018 August","2018 September","2018 October","2018 November","2018 December","2018 Annual"
"PHILIPPINES","GARLIC, IMPORTED, 1 KG",128.67,124.13,122.75,115.82,113.30,112.02,108.79,105.96,107.40,105.86,103.05,99.94,112.31
"PHILIPPINES","GARLIC, LOCAL, 1 KG",142.90,140.83,141.16,136.56,138.73,136.87,120.28,121.60,110.83,112.60,111.00,111.40,127.07
"PHILIPPINES","GARLIC, NATIVE, 1 KG",160.14,150.44,150.65,148.84,146.02,141.99,141.60,143.43,143.82,144.01,138.81,137.56,145.61
"PHILIPPINES","ONION RED CREOLE (BERMUDA RED), 1 KG",132.38,118.97,106.05,102.12,102.84,107.39,113.34,118.00,124.47,117.80,111.79,109.73,113.74
"PHILIPPINES","ONION WHITE (YELLOW GRANEX), 1 KG",79.57,82.17,78.36,76.99,74.23,77.48,84.99,95.37,98.29,91.64,87.11,84.15,84.19
"PHILIPPINES","ONION, NATIVE, 1 KG",125.69,112.46,107.85,103.43,99.99,106.15,107.92,108.83,125.63,115.18,112.19,111.94,111.44
"PHILIPPINES","GINGER, LOOSE, 1 KG",76.07,75.03,73.16,71.47,72.48,73.38,72.03,73.51,76.59,78.96,80.31,79.12,75.18
"..National Capital Region (NCR)","GARLIC, IMPORTED, 1 KG",102.72,98.74,95.64,93.92,92.45,92.19,88.35,83.31,84.41,83.39,85.39,84.90,90.45
"..National Capital Region (NCR)","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","GARLIC, NATIVE, 1 KG",267.92,271.07,264.58,256.15,214.51,207.99,216.53,213.81,212.43,217.20,222.10,224.03,232.36
"..National Capital Region (NCR)","ONION RED CREOLE (BERMUDA RED), 1 KG",108.86,83.42,76.50,79.94,83.71,94.00,99.06,107.32,102.25,84.56,88.69,86.20,91.21
"..National Capital Region (NCR)","ONION WHITE (YELLOW GRANEX), 1 KG",62.37,59.24,56.18,58.98,60.24,70.70,81.73,109.44,88.02,69.06,69.78,67.24,71.08
"..National Capital Region (NCR)","ONION, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","GINGER, LOOSE, 1 KG",75.48,74.63,73.16,71.77,80.61,84.35,83.89,84.11,91.51,96.05,90.69,85.58,82.65
"..Cordillera Administrative Region (CAR)","GARLIC, IMPORTED, 1 KG",111.70,103.46,98.76,107.00,102.30,104.65,110.52,110.52,115.22,117.57,116.40,116.40,109.54
"..Cordillera Administrative Region (CAR)","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","GARLIC, NATIVE, 1 KG",143.36,144.28,136.05,125.43,119.67,116.14,149.34,163.32,155.28,153.13,150.40,141.88,141.52
