"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2021 Annual"
"PHILIPPINES","CUCUMBER (PIPINO), 1 KG",66.44,62.07,59.26,55.87,52.84,54.21,55.17,56.35,54.70,55.46,57.40,56.72,57.21
"PHILIPPINES","EGGPLANT, LONG, PURPLE, 1 KG",100.60,95.91,82.31,76.20,67.92,66.04,61.40,71.25,63.61,65.37,70.66,70.60,74.32
"PHILIPPINES","TOMATO, 1 KG",113.54,86.46,62.40,50.03,49.05,51.82,71.33,75.06,73.37,68.83,66.08,63.50,69.29
"PHILIPPINES","BITTER GOURD (AMPALAYA), FRUIT, 1 KG",116.80,108.98,91.78,84.65,78.49,79.48,82.64,92.96,87.98,91.78,90.03,89.76,91.28
"PHILIPPINES","CHAYOTE, 1 KG",37.05,36.73,32.26,30.08,31.46,32.28,36.21,39.73,48.25,40.95,36.93,35.86,36.48
"PHILIPPINES","COMMON GOURD (UPO), 1 KG",42.06,40.10,35.87,34.35,33.65,35.54,36.66,39.70,38.86,37.59,37.19,37.28,37.41
"PHILIPPINES","PATOLA, 1 KG",61.05,60.88,54.71,53.62,52.52,55.61,55.43,60.32,56.06,58.18,57.50,58.23,57.01
"PHILIPPINES","SQUASH, 1 KG",52.54,61.97,49.01,39.61,35.11,32.02,32.31,35.19,37.93,40.37,37.11,35.14,40.69
"PHILIPPINES","OKRA, 1 KG",77.50,73.77,65.77,65.03,59.25,60.71,62.10,62.03,62.01,60.71,59.88,63.97,64.40
"..National Capital Region (NCR)","CUCUMBER (PIPINO), 1 KG",89.26,80.09,70.80,70.61,66.67,70.90,76.15,74.90,76.15,79.01,75.30,68.92,74.90
"..National Capital Region (NCR)","EGGPLANT, LONG, PURPLE, 1 KG",145.03,94.43,70.73,66.46,57.57,54.46,62.01,97.03,62.01,82.16,80.44,91.44,80.31
"..National Capital Region (NCR)","TOMATO, 1 KG",117.53,62.32,38.14,35.99,36.53,59.89,91.98,91.18,91.98,59.21,57.49,56.61,66.57
"..National Capital Region (NCR)","BITTER GOURD (AMPALAYA), FRUIT, 1 KG",144.67,95.50,72.93,67.28,61.42,75.40,82.06,108.06,82.06,93.14,71.64,87.03,86.77
"..National Capital Region (NCR)","CHAYOTE, 1 KG",36.59,34.70,29.79,30.43,32.50,39.14,44.55,71.47,44.55,44.99,42.40,43.54,41.22
"..National Capital Region (NCR)","COMMON GOURD (UPO), 1 KG",53.42,42.53,36.94,34.02,34.68,39.22,43.13,53.62,43.13,41.51,35.25,34.43,40.99
