"Geolocation","Commodity","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2022 Annual"
"PHILIPPINES","FRESH BEEF, BRISKET WITH BONES, 1 KG",291.56,281.62,290.02,292.67,295.18,297.10,304.22,303.52,303.23,304.71,303.72,304.61,297.68
"PHILIPPINES","FRESH BEEF, MEAT WITH BONES, 1 KG",304.78,307.37,310.76,313.67,317.74,320.75,324.62,326.05,326.33,327.02,328.01,328.93,319.67
"PHILIPPINES","FRESH BEEF, PURE MEAT, 1 KG",364.60,367.29,372.75,375.87,380.87,384.28,387.40,388.93,391.17,390.90,391.20,393.29,382.38
"PHILIPPINES","FRESH CARABEEF, MEAT WITH BONES, 1 KG",275.54,281.55,278.69,282.38,287.64,287.44,297.00,299.50,293.19,289.62,289.91,290.75,287.77
"PHILIPPINES","FRESH CARABEEF, PURE MEAT, 1 KG",341.30,345.62,357.53,363.55,368.36,372.84,372.37,374.55,374.33,372.44,375.94,374.85,366.14
"PHILIPPINES","FRESH PORK, KASIM, 1 KG",298.46,303.81,311.22,315.02,317.96,321.17,320.93,318.86,312.15,309.88,307.88,307.56,312.08
"PHILIPPINES","FRESH PORK, LIEMPO, 1 KG",300.01,308.29,318.31,323.53,327.47,331.01,331.42,328.60,324.05,321.76,320.00,320.88,321.28
"PHILIPPINES","FRESH PORK, MEAT WITH BONES, 1 KG",268.53,271.19,278.78,284.66,289.61,292.63,293.00,289.36,283.81,282.06,281.20,281.99,283.07
"PHILIPPINES","FRESH PORK, PATA, FORE (FRONT), 1 KG",250.67,255.83,259.35,269.05,270.89,272.36,269.32,273.88,276.53,274.66,270.62,262.02,267.10
"PHILIPPINES","FRESH PORK, PORK CHOP, 1 KG",310.78,311.16,318.43,323.51,328.35,328.99,327.50,320.64,312.57,308.50,309.00,311.88,317.61
"PHILIPPINES","FRESH PORK, SPARE RIBS, 1 KG",305.17,305.69,311.67,311.27,316.06,320.00,317.73,314.92,301.38,292.21,287.21,291.38,306.23
"PHILIPPINES","EDIBLE OFFAL, LIVER, PORK, 1 KG",228.93,233.50,239.92,243.65,247.54,249.37,250.36,248.79,246.23,244.92,244.92,243.65,243.48
"PHILIPPINES","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",259.31,262.36,264.72,271.88,275.97,278.06,276.74,271.32,244.21,236.50,230.25,231.08,258.53
"PHILIPPINES","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",277.92,278.75,276.67,278.75,279.38,284.79,294.17,295.42,295.42,295.42,298.19,296.61,287.62
"..National Capital Region (NCR)","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH BEEF, MEAT WITH BONES, 1 KG",373.55,373.56,375.20,375.73,378.51,383.99,387.17,388.57,392.65,393.55,393.05,392.13,383.97
"..National Capital Region (NCR)","FRESH BEEF, PURE MEAT, 1 KG",423.05,423.89,425.10,425.05,428.24,430.61,433.60,434.62,434.94,437.53,441.00,441.96,431.63
"..National Capital Region (NCR)","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, KASIM, 1 KG",338.72,335.73,334.75,340.82,346.76,348.06,345.05,328.89,312.89,314.99,314.34,316.95,331.50
"..National Capital Region (NCR)","FRESH PORK, LIEMPO, 1 KG",364.72,366.21,369.74,375.63,381.29,380.84,377.72,365.70,353.62,357.67,358.43,362.47,367.84
"..National Capital Region (NCR)","FRESH PORK, MEAT WITH BONES, 1 KG",313.65,309.98,310.60,317.72,320.63,323.93,321.21,305.97,294.42,294.71,294.85,296.36,308.67
"..National Capital Region (NCR)","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, LIVER, PORK, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH BEEF, MEAT WITH BONES, 1 KG",311.20,308.58,313.57,318.57,319.99,323.24,324.50,330.63,329.46,331.24,333.40,332.34,323.06
"..Cordillera Administrative Region (CAR)","FRESH BEEF, PURE MEAT, 1 KG",339.35,338.57,341.85,349.26,349.38,351.11,353.71,360.52,357.12,354.87,353.53,352.08,350.11
"..Cordillera Administrative Region (CAR)","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, KASIM, 1 KG",308.07,307.70,305.29,307.54,312.48,317.19,318.22,318.27,315.62,310.67,308.88,307.45,311.45
"..Cordillera Administrative Region (CAR)","FRESH PORK, LIEMPO, 1 KG",302.69,309.62,309.26,311.88,316.44,319.41,319.70,319.61,317.06,310.69,308.67,307.00,312.67
"..Cordillera Administrative Region (CAR)","FRESH PORK, MEAT WITH BONES, 1 KG",294.90,295.19,295.75,299.58,305.39,310.29,311.29,309.11,306.56,301.52,300.15,298.76,302.37
"..Cordillera Administrative Region (CAR)","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, LIVER, PORK, 1 KG",211.97,209.29,213.53,216.17,218.46,218.64,223.18,219.72,217.44,219.17,224.73,219.77,217.67
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH BEEF, MEAT WITH BONES, 1 KG",255.00,261.25,261.25,261.25,263.75,263.75,266.25,266.25,266.25,271.25,271.25,271.25,264.90
"....Abra","FRESH BEEF, PURE MEAT, 1 KG",268.75,276.25,276.25,276.25,278.75,280.00,287.50,287.50,287.50,287.50,287.50,287.50,281.77
"....Abra","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, KASIM, 1 KG",230.00,235.00,237.50,237.50,241.25,246.25,248.75,248.75,248.75,253.75,253.75,253.75,244.58
"....Abra","FRESH PORK, LIEMPO, 1 KG",230.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,250.00,250.00,250.00,241.67
"....Abra","FRESH PORK, MEAT WITH BONES, 1 KG",218.75,223.75,226.25,226.25,233.75,236.25,238.75,238.75,240.00,245.00,245.00,245.00,234.79
"....Abra","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, LIVER, PORK, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH BEEF, MEAT WITH BONES, 1 KG",260.00,255.00,261.67,291.67,290.00,296.67,296.67,320.00,310.00,308.75,316.25,303.44,292.51
"....Apayao","FRESH BEEF, PURE MEAT, 1 KG",293.33,307.50,313.33,338.33,326.67,331.67,335.00,352.50,340.00,338.75,343.75,332.50,329.44
"....Apayao","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, KASIM, 1 KG",245.71,250.00,254.29,258.57,268.75,280.00,280.00,295.00,300.00,300.00,298.75,293.75,277.07
"....Apayao","FRESH PORK, LIEMPO, 1 KG",245.71,250.00,250.00,252.50,268.75,280.00,283.75,295.00,300.00,300.00,298.75,293.75,276.52
"....Apayao","FRESH PORK, MEAT WITH BONES, 1 KG",233.75,236.25,238.75,256.25,271.25,282.50,287.50,285.00,288.75,295.00,293.75,282.81,270.96
"....Apayao","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","EDIBLE OFFAL, LIVER, PORK, 1 KG",240.00,240.00,247.50,250.00,263.75,267.50,277.50,260.00,260.00,272.50,276.25,250.94,258.83
"....Apayao","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH BEEF, MEAT WITH BONES, 1 KG",352.50,353.75,356.75,356.50,355.00,355.00,356.25,376.25,373.75,382.75,394.25,396.75,367.46
"....Benguet","FRESH BEEF, PURE MEAT, 1 KG",378.75,380.00,381.25,384.38,381.25,381.25,381.25,397.50,393.75,391.25,392.50,396.25,386.62
"....Benguet","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH PORK, KASIM, 1 KG",362.00,360.00,348.40,348.40,356.00,356.00,356.00,352.00,342.00,340.00,340.00,340.00,350.07
"....Benguet","FRESH PORK, LIEMPO, 1 KG",348.57,363.33,351.00,343.50,348.75,348.75,346.25,343.75,335.00,326.25,321.25,322.50,341.58
"....Benguet","FRESH PORK, MEAT WITH BONES, 1 KG",336.25,333.75,332.50,332.50,336.25,336.25,333.75,331.25,321.25,320.00,322.50,322.50,329.90
"....Benguet","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","EDIBLE OFFAL, LIVER, PORK, 1 KG",226.00,226.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,240.00,240.00,229.67
"....Benguet","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH BEEF, MEAT WITH BONES, 1 KG",303.33,291.67,313.33,310.00,310.00,310.00,310.00,310.00,310.00,310.00,305.00,305.00,307.36
"....Ifugao","FRESH BEEF, PURE MEAT, 1 KG",330.00,325.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,325.00,325.00,328.75
"....Ifugao","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH PORK, KASIM, 1 KG",350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,345.00,325.00,321.67,320.00,342.64
"....Ifugao","FRESH PORK, LIEMPO, 1 KG",350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,345.00,325.00,321.67,320.00,342.64
"....Ifugao","FRESH PORK, MEAT WITH BONES, 1 KG",347.14,347.14,350.00,350.00,350.00,350.00,350.00,350.00,347.14,318.57,315.71,314.29,340.83
"....Ifugao","FRESH PORK, PATA, FORE (FRONT), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH PORK, PORK CHOP, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","FRESH PORK, SPARE RIBS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","EDIBLE OFFAL, LIVER, PORK, 1 KG",204.29,194.29,204.29,204.29,204.29,204.29,215.71,215.71,212.86,208.57,208.57,208.57,207.14
"....Ifugao","EDIBLE OFFAL, LIVER, PORK, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","EDIBLE OFFAL, TRIPE (TUWALYA), BEEF, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","FRESH BEEF, BRISKET WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","FRESH BEEF, MEAT WITH BONES, 1 KG",313.75,310.00,310.00,313.75,322.50,332.50,335.00,335.00,337.50,337.50,340.00,338.75,327.19
"....Kalinga","FRESH BEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","FRESH CARABEEF, MEAT WITH BONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","FRESH CARABEEF, PURE MEAT, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..
