"Geolocation","Commodity","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December","2017 Annual"
"PHILIPPINES","Habitchuelas [Snap beans]",38.60,44.80,37.58,34.45,33.86,40.32,38.36,37.55,45.37,44.75,47.84,54.00,41.18
"PHILIPPINES","Kidney Beans, white",54.10,58.55,59.81,73.81,73.56,73.72,56.58,62.23,..,63.15,63.54,65.38,64.46
"PHILIPPINES","Mongo [Mungbean], green",67.16,74.56,74.82,74.42,67.40,65.64,68.35,..,..,..,..,..,70.34
"PHILIPPINES","Mongo [Mungbean], Yellow",84.90,98.53,99.13,97.00,96.26,95.80,94.90,..,..,..,..,..,95.22
"PHILIPPINES","Peanut with shell, dry",85.54,76.25,70.86,64.83,73.93,79.60,60.88,76.83,87.90,97.86,101.25,107.50,64.41
"PHILIPPINES","Peanut without shell, dry",80.54,73.42,70.45,66.06,64.98,70.19,73.14,75.43,79.07,83.50,86.30,85.83,74.08
"PHILIPPINES","Stringbeans",35.84,34.35,32.85,29.07,26.68,28.39,24.82,22.17,29.64,26.97,32.44,39.93,30.57
"PHILIPPINES","Sweet Peas",87.52,93.61,106.59,115.25,114.19,184.13,166.82,198.71,138.94,189.92,226.69,198.20,145.34
"PHILIPPINES","Sweet Peas Native",41.60,57.06,69.51,87.29,99.44,175.65,134.26,188.00,147.85,216.92,209.15,164.83,132.63
"..NATIONAL CAPITAL REGION (NCR)","Habitchuelas [Snap beans]",33.28,41.19,32.49,32.71,30.48,54.45,44.40,..,..,..,..,..,38.43
"..NATIONAL CAPITAL REGION (NCR)","Kidney Beans, white",46.68,55.10,55.40,85.79,84.12,82.89,51.38,..,..,..,..,..,65.91
"..NATIONAL CAPITAL REGION (NCR)","Mongo [Mungbean], green",67.16,74.56,74.82,74.42,67.40,65.64,68.35,..,..,..,..,..,70.34
"..NATIONAL CAPITAL REGION (NCR)","Mongo [Mungbean], Yellow",84.90,98.53,99.13,97.00,96.26,95.80,94.90,..,..,..,..,..,95.22
"..NATIONAL CAPITAL REGION (NCR)","Peanut with shell, dry",..,..,..,..,..,..,45.60,..,..,..,..,..,45.60
"..NATIONAL CAPITAL REGION (NCR)","Peanut without shell, dry",85.35,73.94,70.47,67.32,55.49,65.73,72.40,..,..,..,..,..,70.10
"..NATIONAL CAPITAL REGION (NCR)","Stringbeans",51.94,35.98,38.00,36.51,31.71,34.06,30.69,..,..,..,..,..,36.98
"..NATIONAL CAPITAL REGION (NCR)","Sweet Peas",89.50,101.13,123.63,137.86,133.87,234.11,192.00,..,..,..,..,..,144.59
"..NATIONAL CAPITAL REGION (NCR)","Sweet Peas Native",..,..,..,..,..,..,..,..,..,..,..,..,..
