"Geolocation","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2012 Annual"
"PHILIPPINES","Rice Special",39.65,39.80,39.26,38.85,38.84,39.19,39.75,39.67,39.46,39.27,39.72,39.43,40.51
"PHILIPPINES","Rice Premium",35.98,35.94,36.05,36.16,36.14,36.37,36.53,36.67,36.59,36.27,36.27,36.25,36.28
"PHILIPPINES","Well Milled Rice (WMR)",32.54,32.38,32.59,32.70,32.78,32.90,33.19,33.26,33.04,32.75,32.75,32.73,32.70
"PHILIPPINES","Regular Milled Rice (RMR)",29.74,29.74,29.91,29.94,30.03,30.17,30.43,30.54,30.23,29.91,29.89,29.85,30.00
"PHILIPPINES","Corngrain Yellow",16.06,15.77,14.98,15.24,15.80,15.86,15.78,15.85,15.71,15.94,16.17,16.11,16.23
"PHILIPPINES","Corngrain White",16.00,15.86,15.43,15.38,15.35,14.69,15.25,15.36,15.05,15.73,15.94,16.20,15.85
"PHILIPPINES","Corngrits Yellow",22.15,22.33,22.56,22.34,22.16,22.02,22.02,22.22,21.93,22.03,22.36,22.34,22.33
"PHILIPPINES","Corngrits White",26.60,25.89,25.54,25.26,25.05,24.53,24.30,23.67,23.57,24.40,25.78,26.17,25.21
"..NATIONAL CAPITAL REGION (NCR)","Rice Special",36.00,35.90,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,35.99
"..NATIONAL CAPITAL REGION (NCR)","Rice Premium",33.00,32.85,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,32.99
"..NATIONAL CAPITAL REGION (NCR)","Well Milled Rice (WMR)",31.65,30.90,30.72,30.40,30.40,30.40,30.40,30.40,30.88,30.50,30.45,30.44,30.63
"..NATIONAL CAPITAL REGION (NCR)","Regular Milled Rice (RMR)",29.20,28.90,28.72,28.40,28.40,28.40,28.40,28.40,28.88,28.40,28.40,28.40,28.58
