"Geolocation","Commodity","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"PHILIPPINES","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Garlic",138.66,136.31,125.69,123.77,133.74,140.50,147.08,157.62,155.22,164.61,163.77,170.46,146.45
"PHILIPPINES","Ginger Hawaiian",40.18,37.81,40.51,54.30,64.88,66.69,62.25,63.37,62.03,57.67,49.96,43.45,53.50
"PHILIPPINES","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Onion Leeks",30.98,31.56,33.69,33.69,47.66,47.94,49.77,34.76,32.65,32.52,30.69,32.90,36.57
"PHILIPPINES","Onion native (red shallot), multiplier",65.19,37.85,33.21,28.23,27.23,33.25,38.44,75.72,77.51,77.94,49.13,57.75,48.53
"PHILIPPINES","Onion Red Creole (Bermuda Red)",72.48,47.89,29.87,24.32,23.63,31.03,36.45,43.79,45.69,45.91,45.37,52.22,43.73
"PHILIPPINES","Onion White (Yellow Granex)",36.02,27.74,11.98,13.48,17.43,21.56,26.55,31.37,34.91,39.33,41.65,40.25,28.53
"PHILIPPINES","Pepper bell",63.73,53.81,48.25,55.27,58.25,52.79,70.37,86.94,95.97,90.12,86.26,94.79,71.10
"PHILIPPINES","Pepper finger, green",31.15,19.90,16.70,25.53,27.61,18.55,11.67,15.58,16.68,35.16,89.32,67.02,27.94
"PHILIPPINES","Pepper hot, red labuyo [Chili pepper]",156.42,233.57,209.40,58.49,62.19,101.44,76.38,20.41,26.16,34.52,70.32,175.26,115.27
"..NATIONAL CAPITAL REGION (NCR)","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Garlic",123.55,135.71,135.71,132.31,123.28,124.12,124.85,121.46,119.81,115.91,110.00,110.32,123.09
"..NATIONAL CAPITAL REGION (NCR)","Ginger Hawaiian",40.24,36.64,44.40,71.60,78.60,84.32,79.33,64.06,63.17,47.31,40.58,34.61,57.07
"..NATIONAL CAPITAL REGION (NCR)","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Onion Leeks",37.71,38.15,50.38,50.58,45.51,44.44,40.61,41.44,42.04,47.86,47.11,51.83,44.81
"..NATIONAL CAPITAL REGION (NCR)","Onion native (red shallot), multiplier",56.00,28.49,27.62,27.03,28.92,37.04,40.00,105.00,105.00,105.00,..,..,56.01
"..NATIONAL CAPITAL REGION (NCR)","Onion Red Creole (Bermuda Red)",73.15,31.06,16.12,14.17,15.49,21.03,26.77,33.33,35.11,34.38,34.24,41.30,31.35
"..NATIONAL CAPITAL REGION (NCR)","Onion White (Yellow Granex)",30.80,19.17,11.63,12.98,15.98,20.01,23.45,33.36,35.89,44.75,44.85,40.79,27.81
"..NATIONAL CAPITAL REGION (NCR)","Pepper bell",74.76,45.07,29.22,34.34,47.30,49.83,70.00,108.59,110.06,103.11,105.22,141.77,76.61
"..NATIONAL CAPITAL REGION (NCR)","Pepper finger, green",17.75,12.06,13.54,22.68,26.49,16.65,9.36,14.36,12.92,34.38,81.16,50.74,26.01
"..NATIONAL CAPITAL REGION (NCR)","Pepper hot, red labuyo [Chili pepper]",182.98,233.22,138.80,46.41,65.49,82.87,53.87,22.07,20.76,36.81,61.88,163.84,92.42
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ginger Hawaiian",42.74,46.67,41.29,65.91,90.00,94.51,81.86,81.31,84.03,81.36,79.92,64.72,71.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion Leeks",24.84,22.28,23.56,25.16,21.62,22.80,27.56,24.52,22.03,23.44,24.60,27.55,24.16
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion Red Creole (Bermuda Red)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion White (Yellow Granex)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper bell",46.90,35.19,22.24,14.50,29.36,36.63,51.57,90.87,111.95,111.19,98.35,138.67,65.62
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper hot, red labuyo [Chili pepper]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ginger Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion Leeks",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion Red Creole (Bermuda Red)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion White (Yellow Granex)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper bell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper hot, red labuyo [Chili pepper]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ginger Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..
