"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2020 Annual"
"PHILIPPINES","Alumahan [Indian mackerel]",170.08,142.21,157.90,154.94,150.98,150.15,150.36,143.19,144.57,152.91,165.21,166.47,152.62
"PHILIPPINES","Bangus [Milkfish]",135.64,138.55,135.88,133.30,134.23,129.00,126.25,124.82,123.99,121.45,126.19,132.91,130.37
"PHILIPPINES","Bisugo [Threadfin bream]",233.13,194.01,220.65,214.26,211.95,210.12,221.97,201.30,198.00,217.33,245.14,233.72,217.08
"PHILIPPINES","Crab, Alimasag [Blue crab]",219.50,190.23,225.22,203.70,199.14,194.14,201.66,201.28,199.21,225.64,236.71,247.03,212.58
"PHILIPPINES","Dalagang-Bukid, bilog [Caesio]",155.59,129.25,169.85,171.73,157.36,152.34,155.09,154.19,160.33,162.03,179.50,209.72,164.90
"PHILIPPINES","Dalagang-Bukid, lapad [Caesio]",173.24,138.17,212.39,197.30,192.61,211.26,201.62,179.80,170.42,170.04,201.04,209.05,180.11
"PHILIPPINES","Dilis [Anchovies]",79.51,71.59,68.05,76.41,75.02,75.74,69.38,74.20,73.77,77.27,88.14,85.09,73.88
"PHILIPPINES","Espada [Hairtail]",123.16,127.50,..,..,124.00,126.00,126.15,131.76,135.00,147.50,127.50,..,129.84
"PHILIPPINES","Galunggong [Roundscad]",139.20,131.08,119.67,119.86,123.19,117.50,116.66,113.21,118.67,127.44,147.45,146.04,126.72
"PHILIPPINES","Hasa-hasa [Indo-Pacific mackerel]",183.79,139.72,153.28,156.60,160.41,153.72,145.49,150.63,143.65,155.31,172.12,174.98,156.18
"PHILIPPINES","Kalaso [Lizard fish]",96.55,94.83,94.60,97.75,94.15,93.38,94.00,94.50,92.91,95.54,93.45,101.25,95.24
"PHILIPPINES","Lapu-lapu [Grouper]",322.54,332.44,391.77,246.67,293.41,285.88,295.44,329.50,286.41,325.37,403.25,426.50,334.49
"PHILIPPINES","Lapu-lapu [Grouper], other than red species",354.08,356.56,349.54,334.26,306.94,332.51,310.22,297.68,325.52,332.45,378.96,359.46,326.37
"PHILIPPINES","Matang-baka [Big-eyed scad]",159.98,145.72,126.21,132.88,133.45,128.09,140.65,138.03,134.04,144.80,148.33,155.73,140.48
"PHILIPPINES","Pusit [Squid]",230.71,172.95,217.28,226.67,211.31,210.04,209.93,213.52,213.05,222.44,248.03,244.04,218.16
"PHILIPPINES","Salay-salay [Crevalle]",178.92,169.39,151.09,157.03,158.24,160.60,158.93,164.67,147.57,160.12,172.57,170.69,162.86
"PHILIPPINES","Sapsap [Slipmouth]",173.40,96.96,164.78,187.84,176.52,175.39,176.97,158.54,155.42,156.43,187.10,166.37,162.33
"PHILIPPINES","Shrimp, Suaje [Endeavor prawn]",374.30,375.53,342.72,340.08,354.49,346.98,390.67,340.41,340.27,343.37,345.09,366.72,346.37
"PHILIPPINES","Shrimp, Sugpo [Tiger prawn]",581.50,468.39,434.20,425.92,415.59,408.86,502.07,510.67,536.49,514.59,532.11,572.06,472.09
"PHILIPPINES","Talakitok [Cavalla]",253.77,228.22,251.41,239.21,232.04,231.01,235.40,242.24,245.05,240.85,263.90,235.12,238.81
"PHILIPPINES","Tambakol [Yellowfin tuna]",198.59,156.58,174.87,180.62,181.92,171.36,167.84,160.45,159.07,171.85,189.26,186.27,176.01
"PHILIPPINES","Tamban [Indian sardines]",40.31,39.18,34.55,35.06,36.76,34.66,31.59,34.31,36.59,40.58,43.78,44.06,37.93
"PHILIPPINES","Tanigue [Spanish mackerel]",194.92,172.17,197.45,177.43,178.15,188.62,219.71,220.00,160.00,190.00,..,250.00,195.31
"PHILIPPINES","Tilapia",99.65,99.79,94.70,95.88,98.06,100.17,96.30,94.67,95.23,100.27,99.33,98.34,99.27
"PHILIPPINES","Tulingan [Frigate tuna]",138.38,135.49,128.21,130.01,124.73,120.21,116.04,111.84,121.44,127.04,143.14,154.00,129.42
"PHILIPPINES","White Shrimp",374.65,359.87,281.45,290.60,333.94,327.23,338.61,295.26,269.75,288.98,331.23,345.73,323.13
"..NATIONAL CAPITAL REGION (NCR)","Alumahan [Indian mackerel]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Bangus [Milkfish]",125.78,138.63,..,136.44,133.78,124.63,122.10,119.63,..,..,129.79,136.00,129.64
"..NATIONAL CAPITAL REGION (NCR)","Bisugo [Threadfin bream]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Crab, Alimasag [Blue crab]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Dalagang-Bukid, bilog [Caesio]",..,..,..,130.00,138.33,132.50,128.89,143.75,..,..,..,175.00,141.41
