"Geolocation","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2012 Annual"
"PHILIPPINES","Ampalaya [Bitter gourd]",37.95,32.53,31.44,32.10,29.22,31.58,31.24,43.19,38.69,42.32,37.95,32.58,34.74
"PHILIPPINES","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Chayote",11.73,11.21,10.49,9.63,9.65,10.53,10.95,20.60,25.00,17.32,13.40,15.69,13.85
"PHILIPPINES","Cucumber",21.95,29.78,29.95,21.05,20.45,19.68,19.80,37.92,21.58,19.02,19.60,31.53,24.36
"PHILIPPINES","Eggplant long, purple",31.99,25.29,21.11,21.97,18.99,19.97,21.23,26.72,19.40,26.25,28.27,25.55,23.91
"PHILIPPINES","Eggplant native, round",29.67,22.34,16.79,19.52,19.29,23.37,27.39,43.24,20.96,41.04,48.15,26.19,28.16
"PHILIPPINES","Jackfruit Green [Vegetable]",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Okra",25.97,22.14,22.85,20.88,18.88,16.77,14.66,24.83,25.88,29.72,24.44,20.53,22.30
"PHILIPPINES","Patola [Dishrag gourd], native",18.70,17.26,19.12,18.84,18.16,19.70,17.73,27.08,23.39,19.49,20.04,19.70,19.28
"PHILIPPINES","Squash",12.84,10.37,10.31,11.00,11.16,12.89,12.20,14.35,16.37,18.79,16.96,15.91,13.81
"PHILIPPINES","Tomato",24.75,15.86,19.00,29.92,33.91,30.47,21.22,21.44,26.56,28.03,22.06,17.20,23.87
"PHILIPPINES","Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Upo [Bottle gourd]",13.78,11.28,11.29,15.75,13.92,15.74,18.07,18.76,18.98,18.38,15.04,12.69,15.31
"..NATIONAL CAPITAL REGION (NCR)","Ampalaya [Bitter gourd]",32.33,33.59,37.01,33.03,27.89,32.83,32.29,47.28,37.60,42.10,34.52,35.16,35.47
"..NATIONAL CAPITAL REGION (NCR)","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Chayote",7.32,8.95,6.37,6.57,6.51,9.42,8.89,29.99,32.47,13.25,11.53,15.84,13.09
"..NATIONAL CAPITAL REGION (NCR)","Cucumber",21.81,29.49,31.33,24.13,23.49,22.53,21.54,39.37,24.65,22.00,23.12,35.54,26.58
"..NATIONAL CAPITAL REGION (NCR)","Eggplant long, purple",33.54,28.56,21.49,23.90,19.00,26.67,30.24,33.32,21.79,30.69,35.67,32.29,28.10
"..NATIONAL CAPITAL REGION (NCR)","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
