"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2021 Annual"
"PHILIPPINES","Celery",83.85,67.68,71.07,89.69,87.07,63.94,54.26,81.48,75.00,79.87,77.69,70.36,70.72
"PHILIPPINES","Broccoli",82.95,48.81,41.70,47.05,45.62,53.36,41.89,85.89,..,..,..,..,53.39
"PHILIPPINES","Cabbage",81.18,64.20,39.11,30.10,26.07,30.46,42.28,74.63,65.21,58.50,51.06,47.67,51.50
"PHILIPPINES","Cauliflower",80.85,44.00,43.56,58.85,57.27,59.85,54.11,92.47,122.85,120.95,109.19,108.57,66.92
"PHILIPPINES","Lettuce head",111.69,32.98,40.29,67.77,70.00,57.17,49.53,132.62,..,..,..,..,62.95
"PHILIPPINES","Pechay Baguio [Chinese cabbage]",61.28,38.13,28.32,26.50,21.88,26.90,27.69,67.58,42.28,31.50,29.64,33.28,36.07
"PHILIPPINES","Pechay native",50.56,41.21,30.96,35.17,36.67,51.15,45.35,49.56,47.82,53.37,40.99,43.32,44.45
"..NATIONAL CAPITAL REGION (NCR)","Celery",78.94,65.91,..,104.24,96.95,..,52.50,..,..,..,..,55.00,75.59
"..NATIONAL CAPITAL REGION (NCR)","Broccoli",82.95,68.66,41.70,47.05,45.62,..,46.69,..,..,..,..,..,55.45
"..NATIONAL CAPITAL REGION (NCR)","Cabbage",92.70,71.65,22.74,21.86,20.60,32.20,47.95,..,..,..,..,31.09,42.60
"..NATIONAL CAPITAL REGION (NCR)","Cauliflower",76.51,51.15,48.63,75.66,80.09,..,64.65,..,..,..,..,..,66.12
"..NATIONAL CAPITAL REGION (NCR)","Lettuce head",111.69,43.45,40.29,67.77,70.00,72.58,56.54,..,..,..,..,..,66.05
"..NATIONAL CAPITAL REGION (NCR)","Pechay Baguio [Chinese cabbage]",58.56,25.76,17.97,25.46,18.54,19.38,19.04,..,..,25.21,21.35,21.04,25.23
"..NATIONAL CAPITAL REGION (NCR)","Pechay native",41.39,31.13,19.23,28.68,28.94,..,38.90,..,..,28.23,19.32,..,29.48
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Celery",..,57.00,..,..,..,50.18,38.73,89.11,..,..,..,..,58.76
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Broccoli",..,28.95,..,..,..,53.36,37.09,85.89,..,..,..,..,51.32
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cabbage",..,69.03,..,..,..,20.09,36.60,96.02,..,..,..,..,55.44
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cauliflower",..,22.25,..,..,..,50.44,33.89,70.70,..,..,..,..,44.32
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Lettuce head",..,22.50,..,..,..,41.76,42.51,132.62,..,..,..,..,59.85
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pechay Baguio [Chinese cabbage]",..,25.08,..,..,..,20.36,23.33,72.62,..,..,..,..,35.35
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pechay native",..,40.75,..,..,..,48.56,41.40,67.69,..,..,..,..,49.60
"....Abra","Celery",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Broccoli",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cabbage",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cauliflower",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Lettuce head",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pechay Baguio [Chinese cabbage]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pechay native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Celery",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Broccoli",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cabbage",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cauliflower",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Lettuce head",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Pechay Baguio [Chinese cabbage]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Pechay native",..,..,..,..,..,..,..,..,..,..,..,..,..
